,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,74,107,W,0.0, ,4.5, ,121.2,2,d,10471680,17280,EC,100, , , , , , , , , , , , 
2,2,2,74,107,W,113.4,0.14,5.5, , , , , , , , , , , , , , , , , , , , 
3,3,3,74,107,W,250.72,0.22,6.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,74,107,W,365.55,0.13,2.5, ,14.59,15,us,0.00001459,0.00000015, , , , , , , , , , , , , , 
5,5,5,74,107,W,385.19,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,74,107,W,409.23,0.16,3.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,74,107,W,414.3,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,74,107,W,450.12,0.16,1.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,74,107,W,457.84,0.18,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,74,107,W,475.6,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,74,107,W,488.43,0.17,2.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,74,107,W,528.6,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,74,107,W,529.42,0.16,1.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,74,107,W,560.43,0.15,2.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,74,107,W,599.4,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,74,107,W,609.2,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,74,107,W,643.03,0.16,3.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,74,107,W,661.67,0.16,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,74,107,W,675.2,0.5,5.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,74,107,W,715.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,74,107,W,726.27,0.16,1.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,74,107,W,761.7,0.4,5.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,74,107,W,784.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,74,107,W,805.3,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,74,107,W,807.51,0.16,2.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,74,107,W,814.2,0.5,9.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,74,107,W,848.2,0.5,6.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,74,107,W,937.0,6,3.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,74,107,W,953.45,0.15,3.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,74,107,W,975.3,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,74,107,W,993.5,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,74,107,W,1009.32,0.17,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,74,107,W,1039.0,0.6,10.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,74,107,W,1046.3,0.6,7.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,74,107,W,1084.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,74,107,W,1086.79,0.21,3.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,74,107,W,1124.0, ,6.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,74,107,W,1188.33,0.18,1.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,74,107,W,1193.0,5,3.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,74,107,W,1248.85,0.18,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,74,107,W,1262.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,74,107,W,1268.2,0.6,8.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,74,107,W,1271.98,0.18,2.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,74,107,W,1274.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,74,107,W,1310.2,0.6,11.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,74,107,W,1318.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,74,107,W,1329.89,0.25,3.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,74,107,W,1355.3,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,74,107,W,1365.6,0.15,1.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,74,107,W,1369.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,74,107,W,1377.75,0.22,2.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,74,107,W,1422.8,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,74,107,W,1440.55,0.19,3.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,74,107,W,1469.11,0.19,2.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,74,107,W,1498.14,0.2,3.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,74,107,W,1502.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,74,107,W,1512.9,0.8,9.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,74,107,W,1518.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,74,107,W,1538.0,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,74,107,W,1560.3,0.6,12.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,74,107,W,1652.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,74,107,W,1653.1,0.6,10.5, ,140,20,ns,0.00000014,0.00000002, , , , , , , , , , , , , , 
63,63,63,74,107,W,1667.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,74,107,W,1712.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,74,107,W,1744.9,0.8,11.5,AP,50, ,ns,0.00000005, , , , , , , , , , , , , , , 
66,66,66,74,107,W,1777.2,0.8,10.5, , , , , , , , , , , , , , , , , , , , 
67,67,67,74,107,W,1864.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
68,68,68,74,107,W,1892.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
69,69,69,74,107,W,1899.3,0.7,13.5, , , , , , , , , , , , , , , , , , , , 
70,70,70,74,107,W,1945.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
71,71,71,74,107,W,1994.9,1.1,12.5, , , , , , , , , , , , , , , , , , , , 
72,72,72,74,107,W,2015.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
73,73,73,74,107,W,2034.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
74,74,74,74,107,W,2061.6,0.9,0.5, , , , , , , , , , , , , , , , , , , , 
75,75,75,74,107,W,2067.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
76,76,76,74,107,W,2155.8,0.7,14.5, , , , , , , , , , , , , , , , , , , , 
77,77,77,74,107,W,2270.9,1.1,13.5, , , , , , , , , , , , , , , , , , , , 
78,78,78,74,107,W,2569.9,1.2,14.5, , , , , , , , , , , , , , , , , , , , 
79,79,79,74,107,W,2577.4,0.9,15.5, , , , , , , , , , , , , , , , , , , , 
80,80,80,74,107,W,2823.9,0.9,16.5, , , , , , , , , , , , , , , , , , , , 
81,81,81,74,107,W,2890.9,1.3,15.5, , , , , , , , , , , , , , , , , , , , 
82,82,82,74,107,W,3231.9,1.4,16.5, , , , , , , , , , , , , , , , , , , , 
83,83,83,74,107,W,3564.9,1.4,18.5, , , , , , , , , , , , , , , , , , , , 
84,84,84,74,107,W,3592.9,1.5,17.5, , , , , , , , , , , , , , , , , , , , 
85,85,85,74,107,W,3943.9,1.6,18.5,AP,20, ,ns,0.00000002, , , , , , , , , , , , , , , 
86,86,86,74,107,W,4374.0,1.7,20.5, , , , , , , , , , , , , , , , , , , , 
87,87,87,74,107,W,5240.0,2,22.5, , , , , , , , , , , , , , , , , , , , 
88,88,88,74,107,W,6140.0,2.2,24.5, , , , , , , , , , , , , , , , , , , , 
89,89,89,74,107,W,7069.0,2.4,26.5, , , , , , , , , , , , , , , , , , , , 
90,90,90,74,107,W,8021.0,3,28.5, , , , , , , , , , , , , , , , , , , , 
91,91,91,74,107,W,8041.0,3,28.5,LT,3, ,ns,0.000000003, , , , , , , , , , , , , , , 
92,92,92,74,107,W,8655.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
