,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,75,112,Re,0.0, ,2.5, ,4.33E+10,7,Y,1.3664148946998336e18,2.20898481822144e16,B-,100, ,A,0.0001, , , , , ,3.2197, ,2.07, 
2,2,2,75,112,Re,134.244,0.004,3.5, ,10.6,7,ps,0.0000000000106,0.0000000000007, , , , , , , , , , ,1.9, , , 
3,3,3,75,112,Re,206.2473,0.001,4.5, ,555.3,17,ns,0.0000005553,0.0000000017, , , , , , , , , , ,5.11, ,3.04, 
4,4,4,75,112,Re,303.36,0.07,4.5, ,5.2,18,ps,0.0000000000052,0.0000000000018, , , , , , , , , , , , , , 
5,5,5,75,112,Re,388.63,0.07,5.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,75,112,Re,508.53,0.07,5.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,75,112,Re,511.768,0.007,0.5, ,13,3,ps,0.000000000013,0.000000000003, , , , , , , , , , , , , , 
8,8,8,75,112,Re,581.99,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,75,112,Re,589.143,0.016,1.5,GT,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , 
10,10,10,75,112,Re,603.47,0.09,6.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,75,112,Re,618.369,0.008,1.5, ,9.7,8,ps,0.0000000000097,0.0000000000008, , , , , , , , , , , , , , 
12,12,12,75,112,Re,625.516,0.008,0.5, ,540,11,ps,0.00000000054,0.000000000011, , , , , , , , , , , , , , 
13,13,13,75,112,Re,647.26,0.15,2.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,75,112,Re,685.795,0.006,2.5, ,6.1,3,ps,0.0000000000061,0.0000000000003, , , , , , , , , , , , , , 
15,15,15,75,112,Re,718.73,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,75,112,Re,744.84,0.09,6.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,75,112,Re,767.8,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,75,112,Re,772.8760000000001,0.019,1.5, ,0.17,2,ps,0.00000000000017,0.00000000000002, , , , , , , , , , , , , , 
19,19,19,75,112,Re,792.61,0.08,6.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,75,112,Re,816.562,0.019,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,75,112,Re,817.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,75,112,Re,826.84,0.12,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,75,112,Re,839.55,0.09,7.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,75,112,Re,842.0,0.1,4.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,75,112,Re,844.7,0.4,4.5, ,54,34,fs,0.000000000000054,0.000000000000034, , , , , , , , , , , , , , 
26,26,26,75,112,Re,864.556,0.01,1.5, ,1.5,5,ps,0.0000000000015,0.0000000000005, , , , , , , , , , , , , , 
27,27,27,75,112,Re,879.465,0.019,2.5, ,0.27,9,ps,0.00000000000027,0.00000000000009, , , , , , , , , , , , , , 
28,28,28,75,112,Re,933.62,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,75,112,Re,948.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,75,112,Re,960.17,0.05,2.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,75,112,Re,969.3,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,75,112,Re,979.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,75,112,Re,1000.93,0.12,3.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,75,112,Re,1003.14,0.05,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,75,112,Re,1015.13,0.1,7.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,75,112,Re,1034.11,0.09,5.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,75,112,Re,1042.56,0.09,7.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,75,112,Re,1079.0,3,1.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,75,112,Re,1106.75,0.1,8.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,75,112,Re,1126.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,75,112,Re,1163.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,75,112,Re,1190.45,0.05,2.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,75,112,Re,1200.0,3,4.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,75,112,Re,1209.5,2.1,5.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,75,112,Re,1220.8,0.25,0.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,75,112,Re,1230.12,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,75,112,Re,1232.5,2.1,2.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,75,112,Re,1257.21,0.12,6.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,75,112,Re,1266.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,75,112,Re,1286.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,75,112,Re,1310.04,0.11,8.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,75,112,Re,1319.0,0.1,8.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,75,112,Re,1343.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,75,112,Re,1383.55,0.12,9.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,75,112,Re,1423.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,75,112,Re,1458.0,6,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,75,112,Re,1474.33,0.11,9.5,LT,3, ,ns,0.000000003, , , , , , , , , , , , , , , 
58,58,58,75,112,Re,1487.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,75,112,Re,1506.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,75,112,Re,1510.94,0.17,7.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,75,112,Re,1546.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,75,112,Re,1608.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,75,112,Re,1638.84,0.14,9.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,75,112,Re,1640.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,75,112,Re,1650.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
66,66,66,75,112,Re,1661.0,6,1.5, , , , , , , , , , , , , , , , , , , , 
67,67,67,75,112,Re,1673.94,0.15,10.5, , , , , , , , , , , , , , , , , , , , 
68,68,68,75,112,Re,1681.63,0.15,9.5, ,114,23,ns,0.000000114,0.000000023, , , , , , , , , , , , , , 
69,69,69,75,112,Re,1683.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
70,70,70,75,112,Re,1713.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
71,71,71,75,112,Re,1736.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
72,72,72,75,112,Re,1789.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
73,73,73,75,112,Re,1790.0,6,5.5, , , , , , , , , , , , , , , , , , , , 
74,74,74,75,112,Re,1808.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
75,75,75,75,112,Re,1836.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
76,76,76,75,112,Re,1870.53,0.18,0.5, , , , , , , , , , , , , , , , , , , , 
77,77,77,75,112,Re,1876.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
78,78,78,75,112,Re,1905.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
79,79,79,75,112,Re,1922.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
80,80,80,75,112,Re,1948.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
81,81,81,75,112,Re,1963.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
82,82,82,75,112,Re,1981.74,0.17,10.5, , , , , , , , , , , , , , , , , , , , 
83,83,83,75,112,Re,1990.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
84,84,84,75,112,Re,2109.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
85,85,85,75,112,Re,2199.63,0.21,0.5, , , , , , , , , , , , , , , , , , , , 
