,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,77,112,Ir,0.0, ,1.5, ,13.2,1,d,1140480,8640,EC,100, , , , , , , , ,0.147, ,0.82, 
2,2,2,77,112,Ir,94.34,0.03,0.5, ,11.4,3,ns,0.0000000114,0.0000000003, , , , , , , , , , , , , , 
3,3,3,77,112,Ir,113.831,0.023,2.5, ,76,18,ps,0.000000000076,0.000000000018, , , , , , , , , , , , , , 
4,4,4,77,112,Ir,176.53,0.03,1.5, ,22,10,ps,0.000000000022,0.00000000001, , , , , , , , , , , , , , 
5,5,5,77,112,Ir,300.5,0.04,3.5,LT,20, ,ps,0.00000000002, , , , , , , , , , , , , , , 
6,6,6,77,112,Ir,317.68,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,77,112,Ir,372.17,0.04,5.5, ,13.3,3,ms,0.0133,0.0003,IT,100, , , , , , , , , , , , 
8,8,8,77,112,Ir,453.95,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,77,112,Ir,464.76,0.13,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,77,112,Ir,539.85,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,77,112,Ir,563.74,0.1,4.5, ,0.54,10,ns,0.00000000054,0.0000000001, , , , , , , , , , , , , , 
12,12,12,77,112,Ir,607.5,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,77,112,Ir,615.58,0.05,3.5, ,0.18,2,ns,0.00000000018,0.00000000002, , , , , , , , , , , , , , 
14,14,14,77,112,Ir,644.29,0.06,2.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,77,112,Ir,719.09,0.17,4.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,77,112,Ir,721.41,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,77,112,Ir,736.87,0.1,6.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,77,112,Ir,741.64,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,77,112,Ir,745.89,0.09,5.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,77,112,Ir,753.0,3,13.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,77,112,Ir,792.71,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
