,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,76,113,Os,0.0, ,1.5, ,STABLE, , , , , , , , , , , , , , ,0.659933, ,0.86, 
2,2,2,76,113,Os,30.82,0.02,4.5, ,5.81,10,h,20916,360,IT,100, , , , , , , , , , , , 
3,3,3,76,113,Os,36.2,0.02,0.5, ,0.52,3,ns,0.00000000052,0.00000000003, , , , , , , , , , ,0.23, , , 
4,4,4,76,113,Os,69.54,0.02,2.5, ,1.62,4,ns,0.00000000162,0.00000000004, , , , , , , , , , ,0.988, ,-0.63, 
5,5,5,76,113,Os,95.27,0.01,1.5, ,0.23,3,ns,0.00000000023,0.00000000003, , , , , , , , , , ,-0.32, , , 
6,6,6,76,113,Os,97.35,0.03,5.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,76,113,Os,216.67,0.02,3.5, ,0.41,2,ns,0.00000000041,0.00000000002, , , , , , , , , , , , , , 
8,8,8,76,113,Os,219.39,0.02,3.5, ,0.260,11,ns,0.00000000026,0.000000000011, , , , , , , , , , , , , , 
9,9,9,76,113,Os,233.58,0.02,2.5, ,0.27,+7-4,ns,0.00000000027, , , , , , , , , , , , , , , 
10,10,10,76,113,Os,275.92,0.03,2.5, ,0.17,3,ns,0.00000000017,0.00000000003, , , , , , , , , , , , , , 
11,11,11,76,113,Os,288.0,3,6.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,76,113,Os,350.0,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,76,113,Os,365.78,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,76,113,Os,427.93,0.04,3.5,GT,4.4, ,ps,0.0000000000044, , , , , , , , , , , , , , , 
15,15,15,76,113,Os,438.73,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,76,113,Os,444.23,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,76,113,Os,498.79,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,76,113,Os,505.86,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
