,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,79,114,Au,0.0, ,1.5, ,17.65,15,h,63540,540,EC+B+,100, , , , , , , , ,0.1396, ,0.664, 
2,2,2,79,114,Au,38.234,0.017,0.5, ,3.81,18,ns,0.00000000381,0.00000000018, , , , , , , , , , , , , , 
3,3,3,79,114,Au,224.8,0.03,1.5,LT,0.03, ,ns,0.00000000003, , , , , , , , , , , , , , , 
4,4,4,79,114,Au,257.986,0.021,2.5, ,45,20,ps,0.000000000045,0.00000000002, , , , , , , , , , , , , , 
5,5,5,79,114,Au,290.2,0.04,5.5, ,3.9,3,s,3.9,0.3,IT,99.97, ,EC+B+,0.03, , , , , ,6.18, ,1.98, 
6,6,6,79,114,Au,381.62,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,79,114,Au,508.27,0.04,3.5, ,0.29,2,ns,0.00000000029,0.00000000002, , , , , , , , , , , , , , 
8,8,8,79,114,Au,538.99,0.04,3.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,79,114,Au,687.43,0.04,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,79,114,Au,697.81,0.05,7.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,79,114,Au,789.94,0.05,4.5, ,1.2,1,ns,0.0000000012,0.0000000001, , , , , , , , , , , , , , 
12,12,12,79,114,Au,808.57,0.05,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,79,114,Au,828.0,0.09,1.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,79,114,Au,863.36,0.05,6.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,79,114,Au,890.8,0.05,4.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,79,114,Au,929.09,0.05,4.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,79,114,Au,983.59,0.11,3.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,79,114,Au,1085.35,0.11,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,79,114,Au,1089.34,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,79,114,Au,1105.92,0.12,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,79,114,Au,1106.4,0.5,5.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,79,114,Au,1118.97,0.12,1.5, , , , , , , , , , , , , , , , , , , , 
