,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,78,115,Pt,0.0, ,0.5, ,50,6,Y,1577846298.7296,189341555.847552,EC,100, , , , , , , , ,0.603, , , 
2,2,2,78,115,Pt,1.642,0.002,1.5, ,9.7,3,ns,0.0000000097,0.0000000003, , , , , , , , , , , , , , 
3,3,3,78,115,Pt,14.276,0.008,2.5, ,2.52,5,ns,0.00000000252,0.00000000005, , , , , , , , , , , , , , 
4,4,4,78,115,Pt,114.158,0.008,1.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,78,115,Pt,121.29,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,78,115,Pt,149.78,0.04,6.5, ,4.33,3,d,374112,2592,IT,100, , , , , , , , ,-0.753, , , 
7,7,7,78,115,Pt,187.81,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,78,115,Pt,199.0,0.2,5.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,78,115,Pt,232.16,0.02,2.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,78,115,Pt,269.83,0.02,1.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,78,115,Pt,308.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,78,115,Pt,331.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,78,115,Pt,340.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,78,115,Pt,415.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,78,115,Pt,425.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,78,115,Pt,434.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,78,115,Pt,439.05,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,78,115,Pt,459.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,78,115,Pt,491.0,0.2,8.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,78,115,Pt,491.24,0.02,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,78,115,Pt,519.6,0.1,7.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,78,115,Pt,522.53,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,78,115,Pt,530.0,3,1.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,78,115,Pt,544.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,78,115,Pt,563.0,3,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,78,115,Pt,599.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,78,115,Pt,603.3,0.1,7.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,78,115,Pt,622.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,78,115,Pt,630.0,5,3.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,78,115,Pt,642.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
