,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,80,119,Hg,0.0, ,0.5, ,STABLE, , , , , , , , , , , , , , ,0.5058855, , , 
2,2,2,80,119,Hg,158.37859,0.0001,2.5, ,2.45,3,ns,0.00000000245,0.00000000003, , , , , , , , , , ,0.88, ,0.95, 
3,3,3,80,119,Hg,208.20494,0.0001,1.5, ,69,3,ps,0.000000000069,0.000000000003, , , , , , , , , , ,-0.56, ,0.5, 
4,4,4,80,119,Hg,403.51,0.03,1.5, ,5.8,12,ps,0.0000000000058,0.0000000000012, , , , , , , , , , , , , , 
5,5,5,80,119,Hg,413.84,0.05,2.5, ,115,23,ps,0.000000000115,0.000000000023, , , , , , , , , , ,0.8, , , 
6,6,6,80,119,Hg,455.462,0.017,1.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,80,119,Hg,492.297,0.018,1.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,80,119,Hg,532.48,0.1,6.5, ,42.67,9,m,2560.2,5.4,IT,100, , , , , , , , ,-1.014703, ,1.2, 
9,9,9,80,119,Hg,638.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,80,119,Hg,667.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,80,119,Hg,667.4,0.9,1.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,80,119,Hg,695.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,80,119,Hg,699.0,3,3.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,80,119,Hg,711.4,2.5,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,80,119,Hg,736.0,5,2.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,80,119,Hg,750.4,0.03,1.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,80,119,Hg,759.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,80,119,Hg,822.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,80,119,Hg,823.88,0.23,8.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,80,119,Hg,969.0,4,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,80,119,Hg,1004.1,0.7,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,80,119,Hg,1036.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,80,119,Hg,1104.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,80,119,Hg,1221.17,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,80,119,Hg,1267.7,0.8,2.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,80,119,Hg,1274.1,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,80,119,Hg,1317.7,1.5,2.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,80,119,Hg,1327.8,0.9,1.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,80,119,Hg,1357.2,0.3,10.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,80,119,Hg,1358.9,0.9,1.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,80,119,Hg,1439.5,1.6,1.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,80,119,Hg,1456.0,6,2.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,80,119,Hg,1517.8,2.5,1.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,80,119,Hg,1561.0,6,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,80,119,Hg,1572.8,1.2,1.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,80,119,Hg,1595.3,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,80,119,Hg,1614.4,0.9,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,80,119,Hg,1653.2,0.8,1.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,80,119,Hg,1686.0,7,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,80,119,Hg,1731.8,0.7,1.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,80,119,Hg,1744.2,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,80,119,Hg,1769.3,0.3,9.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,80,119,Hg,1780.9,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,80,119,Hg,1800.1,1.2,2.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,80,119,Hg,1822.2,1.6,1.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,80,119,Hg,1853.0,7,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,80,119,Hg,1927.3,1.5,0.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,80,119,Hg,1953.0,8,0.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,80,119,Hg,1971.4,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,80,119,Hg,1988.3,2,1.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,80,119,Hg,2038.0,8,0.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,80,119,Hg,2067.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,80,119,Hg,2094.0,1.2,1.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,80,119,Hg,2107.3,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,80,119,Hg,2144.3,1.6,2.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,80,119,Hg,2175.0,9,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,80,119,Hg,2218.0,9,0.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,80,119,Hg,2228.4,1.1,1.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,80,119,Hg,2241.0,4,1.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,80,119,Hg,2265.0,3,1.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,80,119,Hg,2279.0,9,0.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,80,119,Hg,2290.6,1,1.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,80,119,Hg,2332.0,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,80,119,Hg,2345.3,1.2,1.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,80,119,Hg,2399.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
66,66,66,80,119,Hg,2412.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
67,67,67,80,119,Hg,2425.6,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
68,68,68,80,119,Hg,2451.4,1.5,2.5, , , , , , , , , , , , , , , , , , , , 
69,69,69,80,119,Hg,2462.1,2.5,1.5, , , , , , , , , , , , , , , , , , , , 
70,70,70,80,119,Hg,2487.8,0.4,12.5, , , , , , , , , , , , , , , , , , , , 
71,71,71,80,119,Hg,2494.0,3,1.5, , , , , , , , , , , , , , , , , , , , 
72,72,72,80,119,Hg,2521.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
73,73,73,80,119,Hg,2629.7,0.4,13.5, , , , , , , , , , , , , , , , , , , , 
74,74,74,80,119,Hg,2765.9,0.5,14.5, , , , , , , , , , , , , , , , , , , , 
75,75,75,80,119,Hg,3068.4,0.5,15.5, , , , , , , , , , , , , , , , , , , , 
76,76,76,80,119,Hg,3133.0,13,0.5, , , , , , , , , , , , , , , , , , , , 
77,77,77,80,119,Hg,3199.0,13,0.5, , , , , , , , , , , , , , , , , , , , 
78,78,78,80,119,Hg,3245.0,13,0.5, , , , , , , , , , , , , , , , , , , , 
79,79,79,80,119,Hg,3273.0,13,0.5, , , , , , , , , , , , , , , , , , , , 
80,80,80,80,119,Hg,3338.0,13,0.5, , , , , , , , , , , , , , , , , , , , 
81,81,81,80,119,Hg,3413.0,14,0.5, , , , , , , , , , , , , , , , , , , , 
82,82,82,80,119,Hg,3431.0,14,0.5, , , , , , , , , , , , , , , , , , , , 
83,83,83,80,119,Hg,3511.0,14,0.5, , , , , , , , , , , , , , , , , , , , 
84,84,84,80,119,Hg,3582.0,14,0.5, , , , , , , , , , , , , , , , , , , , 
85,85,85,80,119,Hg,3604.0,14,0.5, , , , , , , , , , , , , , , , , , , , 
86,86,86,80,119,Hg,3626.0,15,0.5, , , , , , , , , , , , , , , , , , , , 
87,87,87,80,119,Hg,3648.0,15,0.5, , , , , , , , , , , , , , , , , , , , 
88,88,88,80,119,Hg,3930.0,16,0.5, , , , , , , , , , , , , , , , , , , , 
89,89,89,80,119,Hg,3988.0,16,0.5, , , , , , , , , , , , , , , , , , , , 
90,90,90,80,119,Hg,4052.0,16,0.5, , , , , , , , , , , , , , , , , , , , 
91,91,91,80,119,Hg,4098.0,16,0.5, , , , , , , , , , , , , , , , , , , , 
92,92,92,80,119,Hg,4491.0,18,0.5, , , , , , , , , , , , , , , , , , , , 
93,93,93,80,119,Hg,4808.0,19,0.5, , , , , , , , , , , , , , , , , , , , 
