,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,82,121,Pb,0.0, ,2.5, ,51.92,3,h,186912,108,EC,100, , , , , , , , ,0.6864, ,0.095, 
2,2,2,82,121,Pb,126.5,0.3,0.5, ,75,3,ns,0.000000075,0.000000003, , , , , , , , , , , , , , 
3,3,3,82,121,Pb,186.6,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,82,121,Pb,595.1,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,82,121,Pb,775.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,82,121,Pb,820.3,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,82,121,Pb,825.2,0.3,6.5, ,6.21,11,s,6.21,0.11,IT,100, , , , , , , , , , , , 
8,8,8,82,121,Pb,834.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,82,121,Pb,866.4,0.5,2.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,82,121,Pb,896.9,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,82,121,Pb,909.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,82,121,Pb,933.1,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,82,121,Pb,969.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,82,121,Pb,1033.8,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,82,121,Pb,1084.0,7,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,82,121,Pb,1161.1,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,82,121,Pb,1177.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,82,121,Pb,1198.6,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,82,121,Pb,1203.0,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,82,121,Pb,1262.0,7,0.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,82,121,Pb,1536.5,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,82,121,Pb,1547.7,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,82,121,Pb,1560.0,20,0.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,82,121,Pb,1592.9,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,82,121,Pb,1641.5,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,82,121,Pb,1663.7,0.4,8.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,82,121,Pb,1682.6,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,82,121,Pb,1802.4,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,82,121,Pb,1894.9,0.8,4.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,82,121,Pb,1922.1,0.4,10.5, ,42,3,ns,0.000000042,0.000000003, , , , , , , , , , ,-0.641, , , 
31,31,31,82,121,Pb,1943.9,0.4,9.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,82,121,Pb,2034.2,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,82,121,Pb,2048.7,0.5,5.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,82,121,Pb,2078.9,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,82,121,Pb,2117.7,0.4,10.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,82,121,Pb,2161.4,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,82,121,Pb,2250.0,20,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,82,121,Pb,2371.8,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,82,121,Pb,2388.0,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,82,121,Pb,2472.2,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,82,121,Pb,2568.8,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,82,121,Pb,2620.1,0.7,4.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,82,121,Pb,2667.8,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,82,121,Pb,2713.3,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,82,121,Pb,2748.5,1.1,5.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,82,121,Pb,2753.6,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,82,121,Pb,2774.6,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,82,121,Pb,2794.2,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,82,121,Pb,2795.9,0.4,11.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,82,121,Pb,2821.1,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,82,121,Pb,2870.5,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,82,121,Pb,2923.4,0.7,10.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,82,121,Pb,2923.4, ,12.5, ,122,4,ns,0.000000122,0.000000004, , , , , , , , , , , , , , 
54,54,54,82,121,Pb,2949.2,0.4,14.5, ,480,7,ms,0.48,0.007,IT,100, , , , , , , , , , , , 
55,55,55,82,121,Pb,2964.5,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,82,121,Pb,3006.7,0.6,5.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,82,121,Pb,3016.8,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,82,121,Pb,3045.0,0.7,4.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,82,121,Pb,3689.9,0.6,15.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,82,121,Pb,3910.3,0.9,16.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,82,121,Pb,4054.6,0.6,15.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,82,121,Pb,4457.5,0.6,16.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,82,121,Pb,5025.8,0.8,18.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,82,121,Pb,5296.8,1.3,0.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,82,121,Pb,5571.8,1.3,0.5, , , , , , , , , , , , , , , , , , , , 
