,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,83,128,Bi,0.0, ,4.5, ,2.14,2,m,128.4,1.2,A,99.724,0.004,B-,0.276,0.004, , , , ,3.79, , , 
2,2,2,83,128,Bi,404.866,0.009,3.5, ,0.317,11,ns,0.000000000317,0.000000000011, , , , , , , , , , ,4.5, , , 
3,3,3,83,128,Bi,766.539,0.016,5.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,83,128,Bi,793.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,83,128,Bi,828.13,0.04,6.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,83,128,Bi,831.96,0.012,4.5,LT,90, ,ps,0.00000000009, , , , , , , , , , , , , , , 
7,7,7,83,128,Bi,950.9,0.7,0.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,83,128,Bi,987.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,83,128,Bi,1014.4,0.04,5.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,83,128,Bi,1050.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,83,128,Bi,1080.15,0.05,0.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,83,128,Bi,1103.52,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,83,128,Bi,1109.485,0.023,4.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,83,128,Bi,1118.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,83,128,Bi,1129.81,0.05,8.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,83,128,Bi,1136.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,83,128,Bi,1149.71,0.11,7.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,83,128,Bi,1196.33,0.05,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,83,128,Bi,1227.2,0.3,10.5, ,70,5,ns,0.00000007,0.000000005, , , , , , , , , , , , , , 
20,20,20,83,128,Bi,1234.3,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,83,128,Bi,1242.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,83,128,Bi,1257.0,10,12.5, ,1.4,3,us,0.0000014,0.0000003,IT,100, , , , , , , , , , , , 
