,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,84,131,Po,0.0, ,4.5, ,1.781,5,ms,0.001781,0.000005,A,99.99977,0.00002,B-,0.00023,0.00002, , , , , , , , 
2,2,2,84,131,Po,271.228,0.01,3.5, ,195,15,ps,0.000000000195,0.000000000015, , , , , , , , , , , , , , 
3,3,3,84,131,Po,293.56,0.04,5.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,84,131,Po,401.812,0.01,2.5, ,66,7,ps,0.000000000066,0.000000000007, , , , , , , , , , , , , , 
5,5,5,84,131,Po,517.63,0.06,4.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,84,131,Po,608.3,0.2,6.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,84,131,Po,676.64,0.07,0.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,84,131,Po,708.1,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,84,131,Po,712.66,0.21,7.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,84,131,Po,732.7,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,84,131,Po,835.32,0.22,0.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,84,131,Po,877.2,0.6,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,84,131,Po,891.1,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,84,131,Po,930.1,1.1,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,84,131,Po,1021.07,0.23,9.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,84,131,Po,1073.7,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,84,131,Po,1077.6,1.5,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,84,131,Po,1094.2,1,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,84,131,Po,1176.2,2,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,84,131,Po,1247.37,0.25,11.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,84,131,Po,1294.53,0.11,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,84,131,Po,1398.8,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,84,131,Po,1503.3,0.5,11.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,84,131,Po,1682.1,0.6,12.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,84,131,Po,2001.3,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,84,131,Po,2159.5,0.6,0.5, , , , , , , , , , , , , , , , , , , , 
