,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,88,135,Ra,0.0, ,1.5, ,11.43,5,d,987552,4320,A,100, ,14C,0.000000089,0.000000004,14C,0.000000077, , ,0.2705, ,1.254, 
2,2,2,88,135,Ra,29.858,0.008,2.5, , , , , , , , , , , , , , , , , , , , 
3,3,3,88,135,Ra,50.128,0.009,1.5, ,0.63,7,ns,0.00000000063,0.00000000007, , , , , , , , , , ,0.43, , , 
4,4,4,88,135,Ra,61.424,0.01,3.5,AP,0.6, ,ns,0.0000000006, , , , , , , , , , , , , , , 
5,5,5,88,135,Ra,79.708,0.013,2.5, ,0.24,8,ns,0.00000000024,0.00000000008, , , , , , , , , , , , , , 
6,6,6,88,135,Ra,104.6,0.13,0.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,88,135,Ra,123.793,0.018,3.5, ,0.45,+10-6,ns,0.00000000045, , , , , , , , , , , , , , , 
8,8,8,88,135,Ra,130.141,0.018,4.5,GT,0.3, ,ns,0.0000000003, , , , , , , , , , , , , , , 
9,9,9,88,135,Ra,174.569,0.024,4.5, ,0.20,6,ns,0.0000000002,0.00000000006, , , , , , , , , , , , , , 
10,10,10,88,135,Ra,174.58,0.04,5.5, ,0.14,5,ns,0.00000000014,0.00000000005, , , , , , , , , , , , , , 
11,11,11,88,135,Ra,234.858,0.019,2.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,88,135,Ra,247.39,0.04,5.5, ,0.15,5,ns,0.00000000015,0.00000000005, , , , , , , , , , , , , , 
13,13,13,88,135,Ra,280.182,0.022,3.5, ,0.075,25,ns,0.000000000075,0.000000000025, , , , , , , , , , , , , , 
14,14,14,88,135,Ra,286.087,0.014,0.5, ,0.77,7,ns,0.00000000077,0.00000000007, , , , , , , , , , , , , , 
