,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,89,138,Ac,0.0, ,1.5, ,21.772,3,Y,687057392.318817,94670.777923776,B-,98.62,0.0036,A,1.38,0.0036, , , , ,1.1, ,1.7, 
2,2,2,89,138,Ac,27.369,0.011,1.5, ,38.3,3,ns,0.0000000383,0.0000000003, , , , , , , , , , , , , , 
3,3,3,89,138,Ac,29.978,0.011,2.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,89,138,Ac,46.354,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,89,138,Ac,74.149,0.017,3.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,89,138,Ac,84.544,0.014,3.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,89,138,Ac,109.992,0.021,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,89,138,Ac,126.848,0.022,4.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,89,138,Ac,148.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,89,138,Ac,160.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,89,138,Ac,187.34,0.03,5.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,89,138,Ac,198.69,0.06,5.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,89,138,Ac,210.84,0.07,6.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,89,138,Ac,227.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,89,138,Ac,249.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,89,138,Ac,271.32,0.07,6.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,89,138,Ac,273.19,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,89,138,Ac,304.73,0.06,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,89,138,Ac,317.0,2,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,89,138,Ac,330.04,0.01,1.5,LT,70, ,ps,0.00000000007, , , , , , , , , , , , , , , 
21,21,21,89,138,Ac,342.0,5,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,89,138,Ac,354.5,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,89,138,Ac,372.0,2,4.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,89,138,Ac,387.202,0.015,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,89,138,Ac,403.0,5,4.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,89,138,Ac,425.59,0.05,2.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,89,138,Ac,428.4,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,89,138,Ac,435.19,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,89,138,Ac,437.94,0.05,2.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,89,138,Ac,469.27,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,89,138,Ac,501.29,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,89,138,Ac,514.36,0.09,2.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,89,138,Ac,527.0,3,6.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,89,138,Ac,537.02,0.1,1.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,89,138,Ac,549.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,89,138,Ac,562.78,0.14,2.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,89,138,Ac,577.0, ,4.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,89,138,Ac,592.0,2,6.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,89,138,Ac,639.09,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,89,138,Ac,656.4,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,89,138,Ac,669.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,89,138,Ac,698.56,0.15,1.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,89,138,Ac,725.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,89,138,Ac,790.13,0.17,2.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,89,138,Ac,816.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,89,138,Ac,863.64,0.22,2.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,89,138,Ac,874.68,0.18,2.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,89,138,Ac,895.0,2,1.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,89,138,Ac,920.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,89,138,Ac,950.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,89,138,Ac,992.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,89,138,Ac,1070.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,89,138,Ac,1091.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,89,138,Ac,1117.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,89,138,Ac,1148.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,89,138,Ac,1183.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,89,138,Ac,1215.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,89,138,Ac,1274.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,89,138,Ac,1311.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,89,138,Ac,1385.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,89,138,Ac,1438.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,89,138,Ac,1483.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,89,138,Ac,1550.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,89,138,Ac,1591.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,89,138,Ac,1629.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
