,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,90,139,Th,0.0, ,2.5, ,7880,120,Y,248668576679.78497,3786831116.95104,A,100, , , , , , , , ,0.46, ,4.3, 
2,2,2,90,139,Th,0.0076,0.0005,1.5, , , , , , , , , , , , , , , , , , , , 
3,3,3,90,139,Th,29.1927,0.0005,2.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,90,139,Th,42.4349,0.0002,3.5, ,0.172,6,ns,0.000000000172,0.000000000006, , , , , , , , , , , , , , 
5,5,5,90,139,Th,71.82600000000001,0.0005,3.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,90,139,Th,97.13595,0.00024,4.5, ,0.147,12,ns,0.000000000147,0.000000000012, , , , , , , , , , , , , , 
7,7,7,90,139,Th,125.4385,0.001,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,90,139,Th,146.3569,0.0014,2.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,90,139,Th,148.173,0.0022,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,90,139,Th,163.2542,0.0007,5.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,90,139,Th,164.5317,0.0004,1.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,90,139,Th,173.4837,0.0022,4.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,90,139,Th,189.99,0.03,0.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,90,139,Th,195.7194,0.0016,5.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,90,139,Th,202.4,0.2,5.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,90,139,Th,212.382,0.02,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,90,139,Th,217.1597,0.0003,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,90,139,Th,235.1266,0.0011,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,90,139,Th,237.366,0.005,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,90,139,Th,241.546,0.019,6.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,90,139,Th,255.957,0.015,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,90,139,Th,261.964,0.004,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,90,139,Th,272.84,0.03,6.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,90,139,Th,275.0,1,7.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,90,139,Th,287.895,0.004,3.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,90,139,Th,288.491,0.014,1.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,90,139,Th,302.989,0.004,3.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,90,139,Th,317.1731,0.0007,2.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,90,139,Th,320.5483,0.0007,2.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,90,139,Th,327.8,0.3,7.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,90,139,Th,347.8,0.02,2.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,90,139,Th,359.6044,0.002,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,90,139,Th,365.8136,0.0015,3.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,90,139,Th,374.815,0.004,3.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,90,139,Th,382.54,0.05,5.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,90,139,Th,425.877,0.01,4.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,90,139,Th,428.04,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,90,139,Th,436.951,0.015,3.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,90,139,Th,449.38,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,90,139,Th,449.6,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,90,139,Th,465.426,0.009,4.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,90,139,Th,478.64,0.02,3.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,90,139,Th,478.649,0.008,4.5,LE,16, ,ps,0.000000000016, , , , , , , , , , , , , , , 
44,44,44,90,139,Th,513.479,0.01,4.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,90,139,Th,526.516,0.009,3.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,90,139,Th,536.08,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,90,139,Th,569.2721,0.0012,2.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,90,139,Th,571.2,0.6,1.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,90,139,Th,576.39,0.06,0.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,90,139,Th,585.237,0.01,4.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,90,139,Th,605.165,0.01,3.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,90,139,Th,620.837,0.016,3.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,90,139,Th,637.384,0.018,4.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,90,139,Th,653.79,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,90,139,Th,656.89,0.04,4.5, , , , , , , , , , , , , , , , , , , , 
