,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,91,142,Pa,0.0, ,1.5, ,26.975,13,d,2330640,1123.2,B-,100, , , , , , , , ,3.4, ,-3, 
2,2,2,91,142,Pa,6.671,0.013,0.5, , , , , , , , , , , , , , , , , , , , 
3,3,3,91,142,Pa,57.1,0.013,3.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,91,142,Pa,70.544,0.025,2.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,91,142,Pa,86.46799999999999,0.009,2.5, ,35.7,10,ns,0.0000000357,0.000000001, , , , , , , , , , , , , , 
6,6,6,91,142,Pa,94.646,0.015,1.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,91,142,Pa,103.635,0.019,3.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,91,142,Pa,109.07,0.05,4.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,91,142,Pa,133.2,0.2,5.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,91,142,Pa,163.51,0.1,5.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,91,142,Pa,169.166,0.01,0.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,91,142,Pa,173.0,1,6.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,91,142,Pa,179.0,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,91,142,Pa,201.634,0.023,1.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,91,142,Pa,212.341,0.017,2.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,91,142,Pa,237.89,0.013,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,91,142,Pa,257.183,0.022,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,91,142,Pa,279.72,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,91,142,Pa,296.0, ,5.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,91,142,Pa,300.5,0.03,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,91,142,Pa,303.59,0.07,4.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,91,142,Pa,306.1,0.08,3.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,91,142,Pa,323.8,1,7.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,91,142,Pa,330.8,1.1,6.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,91,142,Pa,355.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,91,142,Pa,355.0,2,4.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,91,142,Pa,365.84,0.08,4.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,91,142,Pa,411.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,91,142,Pa,421.0,4,5.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,91,142,Pa,447.734,0.018,1.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,91,142,Pa,454.4,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,91,142,Pa,488.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,91,142,Pa,517.6,1.5,8.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,91,142,Pa,523.0,10,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,91,142,Pa,529.0,2,6.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,91,142,Pa,529.0,1.5,9.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,91,142,Pa,553.87,0.016,1.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,91,142,Pa,555.0, ,5.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,91,142,Pa,585.47,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,91,142,Pa,586.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,91,142,Pa,589.0,4,6.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,91,142,Pa,669.8,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,91,142,Pa,703.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,91,142,Pa,704.0,3,2.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,91,142,Pa,739.2,1.8,10.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,91,142,Pa,742.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,91,142,Pa,749.0,1,3.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,91,142,Pa,764.544,0.021,1.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,91,142,Pa,776.9,1.8,11.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,91,142,Pa,800.0,12,0.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,91,142,Pa,803.0,4,4.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,91,142,Pa,811.47,0.11,1.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,91,142,Pa,833.0,12,0.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,91,142,Pa,852.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,91,142,Pa,871.0,2,5.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,91,142,Pa,872.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,91,142,Pa,942.0,12,0.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,91,142,Pa,984.71,0.18,1.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,91,142,Pa,992.8,2.1,12.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,91,142,Pa,998.0, ,4.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,91,142,Pa,1018.65,0.25,1.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,91,142,Pa,1044.0,12,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,91,142,Pa,1063.1,2,13.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,91,142,Pa,1073.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,91,142,Pa,1143.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
66,66,66,91,142,Pa,1176.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
67,67,67,91,142,Pa,1179.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
68,68,68,91,142,Pa,1233.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
69,69,69,91,142,Pa,1240.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
70,70,70,91,142,Pa,1267.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
71,71,71,91,142,Pa,1274.0,5,0.5, , , , , , , , , , , , , , , , , , , , 
72,72,72,91,142,Pa,1276.4,2.3,14.5, , , , , , , , , , , , , , , , , , , , 
73,73,73,91,142,Pa,1308.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
74,74,74,91,142,Pa,1318.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
75,75,75,91,142,Pa,1358.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
76,76,76,91,142,Pa,1384.9,2.3,15.5, , , , , , , , , , , , , , , , , , , , 
77,77,77,91,142,Pa,1386.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
78,78,78,91,142,Pa,1403.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
79,79,79,91,142,Pa,1417.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
80,80,80,91,142,Pa,1486.0, ,5.5, , , , , , , , , , , , , , , , , , , , 
81,81,81,91,142,Pa,1557.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
82,82,82,91,142,Pa,1588.5,2.5,16.5, , , , , , , , , , , , , , , , , , , , 
83,83,83,91,142,Pa,1625.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
84,84,84,91,142,Pa,1680.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
85,85,85,91,142,Pa,1738.6,2.5,17.5, , , , , , , , , , , , , , , , , , , , 
86,86,86,91,142,Pa,1929.0,3,18.5, , , , , , , , , , , , , , , , , , , , 
87,87,87,91,142,Pa,2122.0,3,19.5, , , , , , , , , , , , , , , , , , , , 
88,88,88,91,142,Pa,2297.0,3,20.5, , , , , , , , , , , , , , , , , , , , 
89,89,89,91,142,Pa,2533.0,3,21.5, , , , , , , , , , , , , , , , , , , , 
90,90,90,91,142,Pa,2693.0,3,22.5, , , , , , , , , , , , , , , , , , , , 
91,91,91,91,142,Pa,2973.0,3,23.5, , , , , , , , , , , , , , , , , , , , 
92,92,92,91,142,Pa,3115.0,4,24.5, , , , , , , , , , , , , , , , , , , , 
93,93,93,91,142,Pa,3569.0,4,26.5, , , , , , , , , , , , , , , , , , , , 
94,94,94,91,142,Pa,4051.5,1.1,28.5, , , , , , , , , , , , , , , , , , , , 
