,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,92,141,U,0.0, ,2.5, ,1.592E+5,2,Y,5023862615155.047,6311385194.9184,A,100, ,{+24}Ne,0.000000000072,0.000000000009,SF,0.00000000006, , ,0.59, ,3.663, 
2,2,2,92,141,U,40.35,0.004,3.5, ,0.11,8,ns,0.00000000011,0.00000000008, , , , , , , , , , , , ,0.64, 
3,3,3,92,141,U,92.16,0.04,4.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,92,141,U,155.23,0.08,5.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,92,141,U,197.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,92,141,U,229.47,0.09,6.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,92,141,U,298.81,0.004,2.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,92,141,U,301.94,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,92,141,U,311.904,0.004,1.5, ,0.120,15,ns,0.00000000012,0.000000000015, , , , , , , , , , , , , , 
10,10,10,92,141,U,314.6,0.1,7.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,92,141,U,320.83,0.04,3.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,92,141,U,330.42,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,92,141,U,340.477,0.004,2.5, ,52,10,ps,0.000000000052,0.00000000001, , , , , , , , , , , , , , 
14,14,14,92,141,U,353.79,0.12,4.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,92,141,U,380.43,0.08,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,92,141,U,397.56,0.21,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,92,141,U,398.496,0.004,0.5, ,55,20,ps,0.000000000055,0.00000000002, , , , , , , , , , , , , , 
18,18,18,92,141,U,411.17,0.11,8.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,92,141,U,415.758,0.004,1.5,LE,30, ,ps,0.00000000003, , , , , , , , , , , , , , , 
20,20,20,92,141,U,425.0,4,8.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,92,141,U,432.0,1,4.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,92,141,U,456.114,0.006,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,92,141,U,497.0,2,5.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,92,141,U,503.62,0.1,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,92,141,U,517.55,0.13,9.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,92,141,U,522.0,2,7.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,92,141,U,546.54,0.18,2.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,92,141,U,561.6,1.5,4.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,92,141,U,567.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,92,141,U,572.0,1,0.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,92,141,U,575.0,4,0.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,92,141,U,597.24,0.22,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,92,141,U,610.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,92,141,U,620.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,92,141,U,635.27,0.23,10.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,92,141,U,646.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,92,141,U,660.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,92,141,U,700.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,92,141,U,717.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,92,141,U,749.0,2,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,92,141,U,761.65,0.24,11.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,92,141,U,766.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,92,141,U,774.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,92,141,U,790.0,2,3.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,92,141,U,802.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,92,141,U,819.0,2,3.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,92,141,U,838.0,2,4.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,92,141,U,865.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,92,141,U,894.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,92,141,U,899.4,0.3,12.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,92,141,U,916.0,1,5.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,92,141,U,923.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,92,141,U,938.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,92,141,U,952.0,4,4.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,92,141,U,964.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,92,141,U,982.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
