,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,93,144,Np,0.0, ,2.5, ,2.144E+6,7,Y,67658049289525.25,220898481822.144,A,100, ,SF,0.0000000002, , , , , ,3.14, ,3.886, 
2,2,2,93,144,Np,33.19629,0.00022,3.5, ,54,24,ps,0.000000000054,0.000000000024, , , , , , , , , , , , , , 
3,3,3,93,144,Np,59.54091999999999,0.0001,2.5, ,67.2,7,ns,0.0000000672,0.0000000007, , , , , , , , , , ,1.68, ,3.85, 
4,4,4,93,144,Np,75.899,0.005,4.5,AP,28, ,ps,0.000000000028, , , , , , , , , , , , , , , 
5,5,5,93,144,Np,102.959,0.003,3.5, ,80,40,ps,0.00000000008,0.00000000004, , , , , , , , , , , , , , 
6,6,6,93,144,Np,129.99,0.03,5.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,93,144,Np,158.497,0.011,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,93,144,Np,191.53,0.06,6.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,93,144,Np,225.957,0.016,5.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,93,144,Np,267.556,0.012,1.5, ,5.2,2,ns,0.0000000052,0.0000000002, , , , , , , , , , , , , , 
11,11,11,93,144,Np,268.8,0.16,7.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,93,144,Np,281.356,0.018,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,93,144,Np,305.05,0.03,6.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,93,144,Np,316.8,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,93,144,Np,324.42,0.023,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,93,144,Np,332.376,0.016,0.5,LE,1.0, ,ns,0.000000001, , , , , , , , , , , , , , , 
17,17,17,93,144,Np,347.62,0.18,8.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,93,144,Np,359.7,0.1,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,93,144,Np,368.602,0.02,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,93,144,Np,370.9280000000001,0.023,1.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,93,144,Np,395.53,0.04,7.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,93,144,Np,418.2,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,93,144,Np,434.12,0.05,5.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,93,144,Np,444.78,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,93,144,Np,452.52,0.2,9.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,93,144,Np,452.545,0.022,4.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,93,144,Np,459.693,0.024,3.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,93,144,Np,486.21,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,93,144,Np,497.01,0.05,8.5, , , , , , , , , , , , , , , , , , , , 
