,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,94,145,Pu,0.0, ,0.5, ,24110,30,Y,760837485247.4131,946707779.23776,A,100, ,SF,0.00000000031,0.00000000006, , , , ,0.203, , , 
2,2,2,94,145,Pu,7.861000000000001,0.002,1.5, ,36,3,ps,0.000000000036,0.000000000003, , , , , , , , , , , , ,-2.319, 
3,3,3,94,145,Pu,57.275,0.002,2.5, ,101,5,ps,0.000000000101,0.000000000005, , , , , , , , , , , , ,-3.345, 
4,4,4,94,145,Pu,75.705,0.003,3.5, , , , , , , , , , , , , , , , , , ,-3.83, 
5,5,5,94,145,Pu,163.76,0.03,4.5, ,73,4,ps,0.000000000073,0.000000000004, , , , , , , , , , , , , , 
6,6,6,94,145,Pu,192.8,1,5.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,94,145,Pu,285.46,0.002,2.5, ,1.12,5,ns,0.00000000112,0.00000000005, , , , , , , , , , ,-1.3, , , 
8,8,8,94,145,Pu,318.5,0.7,6.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,94,145,Pu,330.124,0.004,3.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,94,145,Pu,358.1,0.1,7.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,94,145,Pu,387.42,0.02,4.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,94,145,Pu,391.584,0.003,3.5, ,193,4,ns,0.000000193,0.000000004, , , , , , , , , , , , , , 
13,13,13,94,145,Pu,434.0,3,4.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,94,145,Pu,462.0,3,5.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,94,145,Pu,469.8,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,94,145,Pu,487.0,3,5.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,94,145,Pu,492.1,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,94,145,Pu,505.6,0.2,2.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,94,145,Pu,511.838,0.013,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,94,145,Pu,519.3,0.6,8.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,94,145,Pu,538.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,94,145,Pu,556.2,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,94,145,Pu,565.0, ,4.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,94,145,Pu,570.6,0.7,9.5, , , , , , , , , , , , , , , , , , , , 
25,25,25,94,145,Pu,583.0,3,4.5, , , , , , , , , , , , , , , , , , , , 
26,26,26,94,145,Pu,620.0, ,7.5, , , , , , , , , , , , , , , , , , , , 
27,27,27,94,145,Pu,634.0, ,5.5, , , , , , , , , , , , , , , , , , , , 
28,28,28,94,145,Pu,661.1,1.1,5.5, , , , , , , , , , , , , , , , , , , , 
29,29,29,94,145,Pu,698.7,1,6.5, , , , , , , , , , , , , , , , , , , , 
30,30,30,94,145,Pu,716.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
31,31,31,94,145,Pu,752.5,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
32,32,32,94,145,Pu,756.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
33,33,33,94,145,Pu,763.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,94,145,Pu,764.6,0.6,10.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,94,145,Pu,779.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
36,36,36,94,145,Pu,798.2,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,94,145,Pu,805.1,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
38,38,38,94,145,Pu,806.7,1.5,7.5, , , , , , , , , , , , , , , , , , , , 
39,39,39,94,145,Pu,813.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,40,94,145,Pu,825.5,1,1.5, , , , , , , , , , , , , , , , , , , , 
41,41,41,94,145,Pu,828.0,0.7,11.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,94,145,Pu,854.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
43,43,43,94,145,Pu,857.5,1,8.5, , , , , , , , , , , , , , , , , , , , 
44,44,44,94,145,Pu,888.0,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
45,45,45,94,145,Pu,900.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
46,46,46,94,145,Pu,915.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,47,94,145,Pu,933.3,1,1.5, , , , , , , , , , , , , , , , , , , , 
48,48,48,94,145,Pu,948.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
49,49,49,94,145,Pu,990.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
50,50,50,94,145,Pu,992.4,1.8,9.5, , , , , , , , , , , , , , , , , , , , 
51,51,51,94,145,Pu,1017.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
52,52,52,94,145,Pu,1027.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
53,53,53,94,145,Pu,1038.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
54,54,54,94,145,Pu,1052.9,0.3,12.5, , , , , , , , , , , , , , , , , , , , 
55,55,55,94,145,Pu,1058.1,1.1,10.5, , , , , , , , , , , , , , , , , , , , 
56,56,56,94,145,Pu,1062.0,2,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,57,94,145,Pu,1099.9,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
58,58,58,94,145,Pu,1100.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
59,59,59,94,145,Pu,1127.6,0.7,13.5, , , , , , , , , , , , , , , , , , , , 
60,60,60,94,145,Pu,1137.0, ,5.5, , , , , , , , , , , , , , , , , , , , 
61,61,61,94,145,Pu,1174.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
62,62,62,94,145,Pu,1214.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,63,94,145,Pu,1219.7,2.1,11.5, , , , , , , , , , , , , , , , , , , , 
64,64,64,94,145,Pu,1233.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
65,65,65,94,145,Pu,1233.0, ,4.5, , , , , , , , , , , , , , , , , , , , 
66,66,66,94,145,Pu,1261.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
67,67,67,94,145,Pu,1261.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
68,68,68,94,145,Pu,1289.0, ,2.5, , , , , , , , , , , , , , , , , , , , 
69,69,69,94,145,Pu,1300.9,1.2,12.5, , , , , , , , , , , , , , , , , , , , 
70,70,70,94,145,Pu,1311.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
71,71,71,94,145,Pu,1342.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
72,72,72,94,145,Pu,1359.0, ,4.5, , , , , , , , , , , , , , , , , , , , 
73,73,73,94,145,Pu,1381.1,0.7,14.5, , , , , , , , , , , , , , , , , , , , 
74,74,74,94,145,Pu,1390.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
75,75,75,94,145,Pu,1409.0, ,4.5, , , , , , , , , , , , , , , , , , , , 
76,76,76,94,145,Pu,1437.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
77,77,77,94,145,Pu,1465.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
78,78,78,94,145,Pu,1467.3,0.8,15.5, , , , , , , , , , , , , , , , , , , , 
79,79,79,94,145,Pu,1487.7,2.3,13.5, , , , , , , , , , , , , , , , , , , , 
80,80,80,94,145,Pu,1488.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
81,81,81,94,145,Pu,1584.9,1.4,14.5, , , , , , , , , , , , , , , , , , , , 
82,82,82,94,145,Pu,1748.2,0.7,16.5, , , , , , , , , , , , , , , , , , , , 
83,83,83,94,145,Pu,1795.5,2.5,15.5, , , , , , , , , , , , , , , , , , , , 
84,84,84,94,145,Pu,1846.3,0.8,17.5, , , , , , , , , , , , , , , , , , , , 
85,85,85,94,145,Pu,1908.9,1.5,16.5, , , , , , , , , , , , , , , , , , , , 
86,86,86,94,145,Pu,2040.25,0.21,1.5, , , , , , , , , , , , , , , , , , , , 
87,87,87,94,145,Pu,2046.9,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
88,88,88,94,145,Pu,2135.0,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
89,89,89,94,145,Pu,2143.56,0.13,1.5, , , , , , , , , , , , , , , , , , , , 
90,90,90,94,145,Pu,2144.0,3,17.5, , , , , , , , , , , , , , , , , , , , 
91,91,91,94,145,Pu,2151.0,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
92,92,92,94,145,Pu,2151.8,0.7,18.5, , , , , , , , , , , , , , , , , , , , 
93,93,93,94,145,Pu,2262.0,0.8,19.5, , , , , , , , , , , , , , , , , , , , 
94,94,94,94,145,Pu,2272.0,1.6,18.5, , , , , , , , , , , , , , , , , , , , 
95,95,95,94,145,Pu,2289.0,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
96,96,96,94,145,Pu,2431.7,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
97,97,97,94,145,Pu,2454.4,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
98,98,98,94,145,Pu,2460.5,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
99,99,99,94,145,Pu,2464.6,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
100,100,100,94,145,Pu,2471.1,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
101,101,101,94,145,Pu,2529.4,2.3,19.5, , , , , , , , , , , , , , , , , , , , 
102,102,102,94,145,Pu,2589.4,0.8,20.5, , , , , , , , , , , , , , , , , , , , 
103,103,103,94,145,Pu,2672.0,1.7,20.5, , , , , , , , , , , , , , , , , , , , 
104,104,104,94,145,Pu,2712.8,0.8,21.5, , , , , , , , , , , , , , , , , , , , 
105,105,105,94,145,Pu,2951.4,2.5,21.5, , , , , , , , , , , , , , , , , , , , 
106,106,106,94,145,Pu,3059.7,0.8,22.5, , , , , , , , , , , , , , , , , , , , 
107,107,107,94,145,Pu,3100.0,200,2.5, ,7.5,10,us,0.0000075,0.000001,SF,100, , , , , , , , , , , , 
108,108,108,94,145,Pu,3108.0,2,22.5, , , , , , , , , , , , , , , , , , , , 
109,109,109,94,145,Pu,3124.3, ,3.5, , , , , , , , , , , , , , , , , , , , 
110,110,110,94,145,Pu,3156.2, ,4.5, , , , , , , , , , , , , , , , , , , , 
111,111,111,94,145,Pu,3196.1,0.9,23.5, , , , , , , , , , , , , , , , , , , , 
112,112,112,94,145,Pu,3303.0, ,4.5, ,2.6,+40-12,ns,0.0000000026, ,SF,100, , , , , , , , , , , , 
113,113,113,94,145,Pu,3407.0,3,23.5, , , , , , , , , , , , , , , , , , , , 
114,114,114,94,145,Pu,3558.2,0.9,24.5, , , , , , , , , , , , , , , , , , , , 
