,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,20,21,Ca,0, ,0.0, , ,3.5,1,9.94E+4, ,15,Y,3136758441874.445,47335388961.888,EC,100, , , , , , , , ,-1.594781, ,-0.0665, ,2021-06-10
1,1,20,21,Ca,1, ,1942.88,0.17, ,1.5,1,0.42, ,5,ps,0.00000000000042,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
2,2,20,21,Ca,2, ,2009.73,0.21, ,1.5,1,0.505, ,12,ns,0.000000000505,0.000000000012, , , , , , , , , , , , , , ,2021-06-10
3,3,20,21,Ca,3, ,2462.38,0.17, ,1.5,2,3.4, ,10,ps,0.0000000000034,0.000000000001, , , , , , , , , , , , , , ,2021-06-10
4,4,20,21,Ca,4, ,2576.0,0.6, ,2.5,1,0.16, ,4,ps,0.00000000000016,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
5,5,20,21,Ca,5, ,2605.5,0.3, ,2.5,1,0.35, ,6,ps,0.00000000000035,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
6,6,20,21,Ca,6, ,2670.24,0.25, ,0.5,1,2.2, ,5,ps,0.0000000000022,0.0000000000005, , , , , , , , , , , , , , ,2021-06-10
7,7,20,21,Ca,7, ,2884.5,0.6, ,3.5,1,21, ,17,fs,0.000000000000021,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
8,8,20,21,Ca,8, ,2959.3,0.6, ,3.5,2,28, ,7,fs,0.000000000000028,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
9,9,20,21,Ca,9, ,3049.86,0.23, ,1.5,2,0.7, ,3,ps,0.0000000000007,0.0000000000003, , , , , , , , , , , , , , ,2021-06-10
10,10,20,21,Ca,10, ,3131.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,11,20,21,Ca,11, ,3201.39,0.16, ,4.5,1,31, ,10,fs,0.000000000000031,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
12,12,20,21,Ca,12, ,3369.61,0.13, ,5.5,1,20.6, ,8,ps,0.0000000000206,0.0000000000008, , , , , , , , , , , , , , ,2021-06-10
13,13,20,21,Ca,13, ,3399.9,0.3, ,0.5,2,82, ,21,fs,0.000000000000082,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
14,14,20,21,Ca,14, ,3494.8,0.4, ,2.5,2,0.28, ,6,ps,0.00000000000028,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
15,15,20,21,Ca,15, ,3526.6,0.6, ,1.5,3,38, ,17,fs,0.000000000000038,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
16,16,20,21,Ca,16, ,3613.63,0.22, ,0.5,1,0.11, ,5,ps,0.00000000000011,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
17,17,20,21,Ca,17, ,3614.4,0.8, ,3.5,2,15, ,9,fs,0.000000000000015,0.000000000000009, , , , , , , , , , , , , , ,2021-06-10
18,18,20,21,Ca,18, ,3677.0,0.6, ,4.5,1,45, ,12,fs,0.000000000000045,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
19,19,20,21,Ca,19, ,3730.8,0.3, ,1.5,3,45, ,14,fs,0.000000000000045,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
20,20,20,21,Ca,20, ,3736.7,1.5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
