,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,96,149,Cm,0.0, ,3.5, ,8423,74,Y,265803987483.9884,2335212522.119808,A,100, ,SF,0.00000061,0.00000009, , , , ,0.4, , , 
2,2,2,96,149,Cm,54.78899999999999,0.013,4.5,LE,0.10, ,ns,0.0000000001, , , , , , , , , , , , , , , 
3,3,3,96,149,Cm,121.584,0.018,5.5, , , , , , , , , , , , , , , , , , , , 
4,4,4,96,149,Cm,197.4,2,6.5, , , , , , , , , , , , , , , , , , , , 
5,5,5,96,149,Cm,252.84,0.017,2.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,96,149,Cm,295.708,0.014,3.5, , , , , , , , , , , , , , , , , , , , 
7,7,7,96,149,Cm,350.66,0.03,4.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,96,149,Cm,355.92,0.1,0.5, ,0.29,2,us,0.00000029,0.00000002, , , , , , , , , , , , , , 
9,9,9,96,149,Cm,361.4,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
10,10,10,96,149,Cm,388.181,0.013,4.5, ,0.450,20,ns,0.00000000045,0.00000000002, , , , , , , , , , , , , , 
11,11,11,96,149,Cm,416.61,0.04,5.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,96,149,Cm,418.7,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,96,149,Cm,431.0,2,3.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,96,149,Cm,442.918,0.021,5.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,96,149,Cm,497.6,1,6.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,96,149,Cm,508.87,0.03,6.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,96,149,Cm,532.0,2,4.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,96,149,Cm,545.0,3,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,96,149,Cm,554.7,0.3,5.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,96,149,Cm,587.9,1,7.5, , , , , , , , , , , , , , , , , , , , 
