,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,12,13,Mg,0, ,0.0, , ,2.5,1,STABLE, , , , , , , , , , , , , , , ,-0.85545, ,0.201, ,2021-06-10
1,1,12,13,Mg,1, ,585.045,0.021, ,0.5,1,3.38, ,6,ns,0.00000000338,0.00000000006, , , , , , , , , , , , , , ,2021-06-10
2,2,12,13,Mg,2, ,974.7560000000001,0.022, ,1.5,1,10.1, ,10,ps,0.0000000000101,0.000000000001, , , , , , , , , , , , , , ,2021-06-10
3,3,12,13,Mg,3, ,1611.768,0.011, ,3.5,1,17, ,3,fs,0.000000000000017,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
4,4,12,13,Mg,4, ,1964.624,0.023, ,2.5,2,0.70, ,6,ps,0.0000000000007,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
5,5,12,13,Mg,5, ,2563.36,0.05, ,0.5,2,10, ,5,fs,0.00000000000001,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
6,6,12,13,Mg,6, ,2737.8,0.3, ,3.5,2,290, ,30,fs,0.00000000000029,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
7,7,12,13,Mg,7, ,2801.46,0.03, ,1.5,2,26, ,3,fs,0.000000000000026,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
8,8,12,13,Mg,8, ,3405.06,0.17, ,4.5,1,7.7, ,7,fs,0.0000000000000077,7e-16, , , , , , , , , , , , , , ,2021-06-10
9,9,12,13,Mg,9, ,3413.374,0.003, ,1.5,1,7, ,3,fs,0.000000000000007,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
10,10,12,13,Mg,10, ,3907.9,0.4, ,2.5,3,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
11,11,12,13,Mg,11, ,3970.73,0.19, ,3.5,1,22, ,5,fs,0.000000000000022,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
12,12,12,13,Mg,12, ,4059.6,0.3, ,4.5,2,47, ,5,fs,0.000000000000047,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
13,13,12,13,Mg,13, ,4277.1,0.4, ,0.5,1,4,LT, ,fs,0.000000000000004, , , , , , , , , , , , , , , ,2021-06-10
14,14,12,13,Mg,14, ,4359.61,0.14, ,1.5,3,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
