,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,11,14,Na,0, ,0.0, , ,2.5,1,59.1, ,6,s,59.1,0.6,B-,100, , , , , , , , ,3.683, ,-0.1, ,2021-06-10
1,1,11,14,Na,1, ,89.53,0.1, ,1.5,1,5.1, ,3,ns,0.0000000051,0.0000000003, , , , , , , , , , , , , , ,2021-06-10
2,2,11,14,Na,2, ,1069.32,0.19, ,0.5,1,1.32, ,14,ps,0.00000000000132,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
3,3,11,14,Na,3, ,2202.0,1, ,1.5,2,25, ,4,fs,0.000000000000025,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
4,4,11,14,Na,4, ,2416.0,3, ,0.5, ,140, ,100,fs,0.00000000000014,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
5,5,11,14,Na,5, ,2788.0,3, ,2.5,1,173, ,34,fs,0.000000000000173,0.000000000000034, , , , , , , , , , , , , , ,2021-06-10
6,6,11,14,Na,6, ,2914.0,4, ,2.5,2,10, ,4,fs,0.00000000000001,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
7,7,11,14,Na,7, ,3353.0,3, ,0.5, ,16, ,5,fs,0.000000000000016,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
8,8,11,14,Na,8, ,3455.0,4, ,0.5, ,146, ,17,fs,0.000000000000146,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
9,9,11,14,Na,9, ,3687.0,2, ,1.5,1,18, ,8,fs,0.000000000000018,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
10,10,11,14,Na,10, ,3928.0,7, ,0.5,1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
11,11,11,14,Na,11, ,3950.0,5, ,2.5,1,83,LT, ,fs,0.000000000000083, , , , , , , , , , , , , , , ,2021-06-10
12,12,11,14,Na,12, ,3995.0,5, ,0.5,1,31, ,7,fs,0.000000000000031,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
13,13,11,14,Na,13, ,4132.0,5, ,0.5, ,16, ,6,fs,0.000000000000016,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
14,14,11,14,Na,14, ,4289.0,3, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
