,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,13,16,Al,0, ,0.0, , ,2.5,1,6.56, ,6,m,393.6,3.6,B-,100, , , , , , , , , , , , ,2021-06-10
1,1,13,16,Al,1, ,1398.05,0.16, ,0.5,1,4.5, ,3,ps,0.0000000000045,0.0000000000003, , , , , , , , , , , , , , ,2021-06-10
2,2,13,16,Al,2, ,1754.28,0.16, ,3.5,1,22, ,7,fs,0.000000000000022,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
3,3,13,16,Al,3, ,2224.1,0.19, ,1.5,1,75, ,17,fs,0.000000000000075,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
4,4,13,16,Al,4, ,2865.7,0.22, ,1.5,2,71, ,17,fs,0.000000000000071,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
5,5,13,16,Al,5, ,3061.81,0.23, ,2.5,1,58, ,21,fs,0.000000000000058,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
6,6,13,16,Al,6, ,3184.54,0.18, ,2.5,2,124, ,23,fs,0.000000000000124,0.000000000000023, , , , , , , , , , , , , , ,2021-06-10
7,7,13,16,Al,7, ,3433.0,0.4, ,0.5,2,7,LT, ,ns,0.000000007, , , , , , , , , , , , , , , ,2021-06-10
8,8,13,16,Al,8, ,3577.6,0.5, ,4.5,1,25, ,7,fs,0.000000000000025,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
9,9,13,16,Al,9, ,3641.5,0.7, ,2.5,2,70,LT, ,fs,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-10
10,10,13,16,Al,10, ,3671.7,0.8, ,2.5,1,70,LT, ,fs,0.00000000000007, , , , , , , , , , , , , , , ,2021-06-10
11,11,13,16,Al,11, ,3935.2,0.7, ,3.5,1,90, ,21,fs,0.00000000000009,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
12,12,13,16,Al,12, ,3986.2,1.2, ,3.5,1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
13,13,13,16,Al,13, ,4057.0,0.7, ,1.5,1,83, ,48,fs,0.000000000000083,0.000000000000048, , , , , , , , , , , , , , ,2021-06-10
14,14,13,16,Al,14, ,4219.6,0.6, ,2.5,3,42, ,15,fs,0.000000000000042,0.000000000000015, , , , , , , , , , , , , , ,2021-06-10
15,15,13,16,Al,15, ,4403.1,0.7, ,3.5,1,42, ,21,fs,0.000000000000042,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
16,16,13,16,Al,16, ,4656.0,10, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,13,16,Al,17, ,4715.5,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
18,18,13,16,Al,18, ,4827.9,1, ,0.5, ,42, ,21,fs,0.000000000000042,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
19,19,13,16,Al,19, ,4940.8,1, ,0.5, ,29, ,8,fs,0.000000000000029,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
20,20,13,16,Al,20, ,5023.0,3, ,0.5, ,83,LT, ,fs,0.000000000000083, , , , , , , , , , , , , , , ,2021-06-10
21,21,13,16,Al,21, ,5145.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,22,13,16,Al,22, ,5181.6,1.4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,23,13,16,Al,23, ,5248.3,1.7, ,0.5, ,90,LT, ,fs,0.00000000000009, , , , , , , , , , , , , , , ,2021-06-10
24,24,13,16,Al,24, ,5263.7,1.1, ,0.5, ,76, ,49,fs,0.000000000000076,0.000000000000049, , , , , , , , , , , , , , ,2021-06-10
