,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,15,16,P,0, ,0.0, , ,0.5,1,STABLE, , , , , , , , , , , , , , , ,1.130903, , , ,2021-06-10
1,1,15,16,P,1, ,1266.13,0.12, ,1.5,1,0.523, ,18,ps,0.000000000000523,0.000000000000018, , , , , , , , , , ,0.3, , , ,2021-06-10
2,2,15,16,P,2, ,2233.6,0.1, ,2.5,1,269, ,18,fs,0.000000000000269,0.000000000000018, , , , , , , , , , ,2.8, , , ,2021-06-10
3,3,15,16,P,3, ,3134.3,0.4, ,0.5,2,7.2, ,6,fs,0.0000000000000072,6e-16, , , , , , , , , , , , , , ,2021-06-10
4,4,15,16,P,4, ,3295.0,0.2, ,2.5,2,88, ,10,fs,0.000000000000088,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
5,5,15,16,P,5, ,3414.6,0.3, ,3.5,1,219, ,17,fs,0.000000000000219,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
6,6,15,16,P,6, ,3506.1,0.6, ,1.5,2,8.8, ,13,fs,0.0000000000000088,0.0000000000000013, , , , , , , , , , , , , , ,2021-06-10
7,7,15,16,P,7, ,4190.9,1, ,2.5,3,4.9, ,21,fs,0.0000000000000049,0.0000000000000021, , , , , , , , , , , , , , ,2021-06-10
8,8,15,16,P,8, ,4260.4,1, ,1.5,3,10.4, ,35,fs,0.0000000000000104,0.0000000000000035, , , , , , , , , , , , , , ,2021-06-10
9,9,15,16,P,9, ,4431.2,0.4, ,3.5,1,415, ,24,fs,0.000000000000415,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
10,10,15,16,P,10, ,4592.5,1, ,1.5,4,12, ,4,fs,0.000000000000012,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
11,11,15,16,P,11, ,4634.2,0.8, ,3.5,2,68, ,10,fs,0.000000000000068,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
12,12,15,16,P,12, ,4783.4,1.1, ,2.5,4,6.9, ,28,fs,0.0000000000000069,0.0000000000000028, , , , , , , , , , , , , , ,2021-06-10
