,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,14,17,Si,0, ,0.0, , ,1.5,1,157.36, ,26,m,9441.6,15.6,B-,100, , , , , , , , , , , , ,2021-06-10
1,1,14,17,Si,1, ,752.23,0.03, ,0.5,1,0.53, ,12,ps,0.00000000000053,0.00000000000012, , , , , , , , , , , , , , ,2021-06-10
2,2,14,17,Si,2, ,1694.91,0.04, ,2.5,1,0.57, ,15,ps,0.00000000000057,0.00000000000015, , , , , , , , , , , , , , ,2021-06-10
3,3,14,17,Si,3, ,2316.93,0.1, ,1.5,2,38, ,15,fs,0.000000000000038,0.000000000000015, , , , , , , , , , , , , , ,2021-06-10
4,4,14,17,Si,4, ,2788.03,0.07, ,2.5,1,14, ,14,fs,0.000000000000014,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
5,5,14,17,Si,5, ,3133.5,1, ,3.5,1,0.37, ,8,ps,0.00000000000037,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
6,6,14,17,Si,6, ,3532.92,0.03, ,1.5,1,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
7,7,14,17,Si,7, ,3873.6,1, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
8,8,14,17,Si,8, ,4261.6,0.5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
9,9,14,17,Si,9, ,4382.37,0.04, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
10,10,14,17,Si,10, ,4690.5,1.6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,11,14,17,Si,11, ,4719.1,0.3, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
12,12,14,17,Si,12, ,4933.0,10, ,0.5,, , , , , , , , , , , , , , , , , , , , ,2021-06-10
13,13,14,17,Si,13, ,4966.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,14,17,Si,14, ,4992.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,14,17,Si,15, ,5281.37,0.04, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
16,16,14,17,Si,16, ,5311.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,14,17,Si,17, ,5441.9,0.4, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
18,18,14,17,Si,18, ,5594.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,14,17,Si,19, ,5604.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,20,14,17,Si,20, ,5655.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,21,14,17,Si,21, ,5680.0,4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,22,14,17,Si,22, ,5730.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,23,14,17,Si,23, ,5819.0,8, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,24,14,17,Si,24, ,5873.15,0.07, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
25,25,14,17,Si,25, ,5957.92,0.19, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,26,14,17,Si,26, ,5985.0,5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
27,27,14,17,Si,27, ,6071.0,2, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,28,14,17,Si,28, ,6106.0,1, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,14,17,Si,29, ,6241.0,5, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,14,17,Si,30, ,6285.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,14,17,Si,31, ,6351.0,4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,14,17,Si,32, ,6417.0,4, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,14,17,Si,33, ,6450.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,14,17,Si,34, ,6461.0,1, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
35,35,14,17,Si,35, ,6577.08,0.04, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
36,36,14,17,Si,36, ,6583.0,1, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
37,37,14,17,Si,37, ,6587.4,0.04, ,0.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
38,38,14,17,Si,38, ,6592.22,0.03, ,0.5,1,1.90, ,7,eV,2.401251131954662e-16,0.0000000000000065176816438769385, , , , , , , , , , , , , , ,2021-06-10
39,39,14,17,Si,39, ,6602.06,0.04, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,14,17,Si,40, ,6661.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,14,17,Si,41, ,6765.1,0.8, ,0.5,5,11.0, ,3,keV,4.14761559155805e-20,1.5207923835712856e-18, , , , , , , , , , , , , , ,2021-06-10
42,42,14,17,Si,42, ,6771.8,0.4, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,14,17,Si,43, ,6791.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,14,17,Si,44, ,6814.9,0.5, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,14,17,Si,45, ,6880.6,0.8, ,1.5,2,0.52, ,4,keV,8.773802212911263e-19,1.1405942876784642e-17, , , , , , , , , , , , , , ,2021-06-10
46,46,14,17,Si,46, ,6915.2,0.5, ,2.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,14,17,Si,47, ,6949.0,10, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,14,17,Si,48, ,6987.4,0.4, ,0.5,2,1.30, ,25,keV,3.509520885164505e-19,1.824950860285543e-18, , , , , , , , , , , , , , ,2021-06-10
49,49,14,17,Si,49, ,7008.0,10, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,14,17,Si,50, ,7164.0,10, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,14,17,Si,51, ,7212.2,0.6, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,14,17,Si,52, ,7269.9,0.7, ,2.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,14,17,Si,53, ,7309.1,0.7, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,14,17,Si,54, ,7359.1,0.7, ,0.5,1,0.86, ,13,keV,5.305089710132392e-19,3.509520885164505e-18, , , , , , , , , , , , , , ,2021-06-10
55,55,14,17,Si,55, ,7369.3,0.8, ,0.5,2,0.52, ,10,keV,8.773802212911263e-19,4.562377150713857e-18, , , , , , , , , , , , , , ,2021-06-10
56,56,14,17,Si,56, ,7372.6,0.8, ,0.5,3,0.60, ,12,keV,7.603961917856428e-19,3.8019809589282146e-18, , , , , , , , , , , , , , ,2021-06-10
57,57,14,17,Si,57, ,7405.2,0.8, ,1.5,4,20.8, ,8,keV,2.19345055322782e-20,5.702971438392321e-19, , , , , , , , , , , , , , ,2021-06-10
58,58,14,17,Si,58, ,7432.0,10, ,2.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,14,17,Si,59, ,7438.3,0.4, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
60,60,14,17,Si,60, ,7536.0,1, ,0.5,3,6, ,1,keV,7.60396191785643e-20,4.562377150713857e-19, , , , , , , , , , , , , , ,2021-06-10
61,61,14,17,Si,61, ,7564.0,10, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,14,17,Si,62, ,7648.0,10, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
63,63,14,17,Si,63, ,7718.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,64,14,17,Si,64, ,7732.3,1.1, ,0.5,6,7.5, ,5,keV,6.08316953428514e-20,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
65,65,14,17,Si,65, ,7766.7,1.2, ,2.5,7,5.0, ,5,keV,9.12475430142771e-20,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
66,66,14,17,Si,66, ,7822.1,1.2, ,0.5,4,7.9, ,13,keV,5.77516095027071e-20,3.509520885164505e-19, , , , , , , , , , , , , , ,2021-06-10
67,67,14,17,Si,67, ,7848.5,1.3, ,2.5,6,4.2, ,10,keV,1.08628027397949e-19,4.562377150713857e-19, , , , , , , , , , , , , , ,2021-06-10
68,68,14,17,Si,68, ,7856.7,1.3, ,1.5,1,5.0, ,16,keV,9.12475430142771e-20,2.851485719196161e-19, , , , , , , , , , , , , , ,2021-06-10
69,69,14,17,Si,69, ,7883.1,1.3, ,0.5,5,9, ,3,keV,5.06930794523762e-20,1.520792383571286e-19, , , , , , , , , , , , , , ,2021-06-10
70,70,14,17,Si,70, ,7900.6,1.3, ,1.5,5,34, ,3,keV,1.3418756325629e-20,1.520792383571286e-19, , , , , , , , , , , , , , ,2021-06-10
71,71,14,17,Si,71, ,7904.6,0.8, ,3.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
72,72,14,17,Si,72, ,7927.3,1.3, ,0.5,6,5.8, ,20,keV,7.86616750123079e-20,2.281188575356929e-19, , , , , , , , , , , , , , ,2021-06-10
73,73,14,17,Si,73, ,7944.2,1.4, ,2.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
74,74,14,17,Si,74, ,7954.9,1.4, ,1.5,2,5.4, ,12,keV,8.44884657539603e-20,3.801980958928214e-19, , , , , , , , , , , , , , ,2021-06-10
75,75,14,17,Si,75, ,7991.0,4, ,3.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
76,76,14,17,Si,76, ,8017.5,1.2, ,3.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
77,77,14,17,Si,77, ,8034.9,1.2, ,3.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
78,78,14,17,Si,78, ,8071.0,3, ,3.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
79,79,14,17,Si,79, ,8115.9,1.3, ,3.5,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
80,80,14,17,Si,80, ,8140.0,14, ,3.5,10, , , , , , , , , , , , , , , , , , , , ,2021-06-10
81,81,14,17,Si,81, ,8164.8,1.5, ,3.5,11, , , , , , , , , , , , , , , , , , , , ,2021-06-10
82,82,14,17,Si,82, ,8220.0,14, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
83,83,14,17,Si,83, ,8240.0,14, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
84,84,14,17,Si,84, ,8360.0,14, ,3.5,12, , , , , , , , , , , , , , , , , , , , ,2021-06-10
85,85,14,17,Si,85, ,8570.0,14, ,2.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
86,86,14,17,Si,86, ,8620.0,14, ,2.5,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
87,87,14,17,Si,87, ,8710.0,14, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
88,88,14,17,Si,88, ,8780.0,14, ,2.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
89,89,14,17,Si,89, ,8830.0,14, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
90,90,14,17,Si,90, ,8850.0,14, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
91,91,14,17,Si,91, ,8920.0,14, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
92,92,14,17,Si,92, ,8970.0,14, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
93,93,14,17,Si,93, ,9230.0,14, ,2.5,9, , , , , , , , , , , , , , , , , , , , ,2021-06-10
94,94,14,17,Si,94, ,9380.0,14, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
95,95,14,17,Si,95, ,9590.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
96,96,14,17,Si,96, ,10760.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
