,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,16,17,S,0, ,0.0, , ,1.5,1,STABLE, , , , , , , , , , , , , , ,1/2,0.6438212, ,-0.084, ,2021-06-10
1,1,16,17,S,1, ,840.982,0.012, ,0.5,1,1.15, ,12,ps,0.00000000000115,0.00000000000012, , , , , , , , , ,1/2, , , , ,2021-06-10
2,2,16,17,S,2, ,1967.19,0.03, ,2.5,1,94, ,14,fs,0.000000000000094,0.000000000000014, , , , , , , , , ,1/2, , , , ,2021-06-10
3,3,16,17,S,3, ,2313.399,0.014, ,1.5,2,109, ,17,fs,0.000000000000109,0.000000000000017, , , , , , , , , ,1/2, , , , ,2021-06-10
4,4,16,17,S,4, ,2867.626,0.02, ,2.5,2,10.8, ,35,fs,0.0000000000000108,0.0000000000000035, , , , , , , , , ,1/2, , , , ,2021-06-10
5,5,16,17,S,5, ,2934.74,0.09, ,3.5,1,28.2, ,14,ps,0.0000000000282,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
6,6,16,17,S,6, ,2969.18,0.08, ,3.5,1,59, ,8,fs,0.000000000000059,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
7,7,16,17,S,7, ,3220.692,0.015, ,1.5,1,27, ,5,fs,0.000000000000027,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
8,8,16,17,S,8, ,3537.2,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
9,9,16,17,S,9, ,3779.9,1, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
10,10,16,17,S,10, ,3831.6,0.3, ,2.5,3,30, ,8,fs,0.00000000000003,0.000000000000008, , , , , , , , , ,1/2, , , , ,2021-06-10
11,11,16,17,S,11, ,3934.73,0.06, ,1.5,3,24, ,7,fs,0.000000000000024,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
12,12,16,17,S,12, ,4048.56,0.08, ,4.5,1,211, ,53,fs,0.000000000000211,0.000000000000053, , , , , , , , , , , , , , ,2021-06-10
13,13,16,17,S,13, ,4055.35,0.11, ,0.5,2,12, ,8,fs,0.000000000000012,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
14,14,16,17,S,14, ,4095.09,0.17, ,3.5,2,31, ,8,fs,0.000000000000031,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
15,15,16,17,S,15, ,4144.32,0.06, ,2.5,1,24, ,7,fs,0.000000000000024,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
16,16,16,17,S,16, ,4210.848,0.02, ,1.5,2,32, ,8,fs,0.000000000000032,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
17,17,16,17,S,17, ,4375.4,0.3, ,0.5,3,24, ,10,fs,0.000000000000024,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
18,18,16,17,S,18, ,4423.73,0.05, ,1.5,1,19, ,10,fs,0.000000000000019,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
19,19,16,17,S,19, ,4730.1,0.11, ,4.5,1,57, ,15,fs,0.000000000000057,0.000000000000015, , , , , , , , , , , , , , ,2021-06-10
20,20,16,17,S,20, ,4747.3,0.7, ,2.5,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
21,21,16,17,S,21, ,4795.2,1.5, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,22,16,17,S,22, ,4866.7,0.22, ,5.5,1,250, ,63,fs,0.00000000000025,0.000000000000063, , , , , , , , , ,1/2, , , , ,2021-06-10
23,23,16,17,S,23, ,4917.87,0.04, ,0.5,1,90, ,30,fs,0.00000000000009,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
24,24,16,17,S,24, ,4941.8,1, ,3.5,1,27, ,11,fs,0.000000000000027,0.000000000000011, , , , , , , , , , , , , , ,2021-06-10
25,25,16,17,S,25, ,5178.0,4, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,26,16,17,S,26, ,5209.4,2, ,4.5,1,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
27,27,16,17,S,27, ,5273.0,4,,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,28,16,17,S,28, ,5282.5,2, ,4.5,2,21, ,8,fs,0.000000000000021,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
29,29,16,17,S,29, ,5286.28,0.05, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,16,17,S,30, ,5342.0,4, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,16,17,S,31, ,5351.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,16,17,S,32, ,5395.0,2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,16,17,S,33, ,5479.79,0.13, ,0.5,4, , , , , , , , , , , , , , , ,3/2, , , , ,2021-06-10
34,34,16,17,S,34, ,5597.0,6, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
35,35,16,17,S,35, ,5612.83,0.04, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
36,36,16,17,S,36, ,5621.07,0.07, ,0.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
37,37,16,17,S,37, ,5710.875,0.022, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
38,38,16,17,S,38, ,5719.4,0.8, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,16,17,S,39, ,5804.0,24, ,2.5,1, , , , , , , , , , , , , , , ,1/2, , , , ,2021-06-10
40,40,16,17,S,40, ,5864.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,16,17,S,41, ,5883.4,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,16,17,S,42, ,5888.45,0.03, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,16,17,S,43, ,5915.0,4, ,0.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,16,17,S,44, ,5982.0,6, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,16,17,S,45, ,5990.3,2.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,16,17,S,46, ,6063.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,16,17,S,47, ,6079.6,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,16,17,S,48, ,6101.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,16,17,S,49, ,6131.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,16,17,S,50, ,6236.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,16,17,S,51, ,6263.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,16,17,S,52, ,6310.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,16,17,S,53, ,6326.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,16,17,S,54, ,6363.0,4, ,2.5,4, , , , , , , , , , , , , , , ,1/2, , , , ,2021-06-10
55,55,16,17,S,55, ,6373.7,1, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,16,17,S,56, ,6416.0,6, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
57,57,16,17,S,57, ,6424.97,0.04, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,58,16,17,S,58, ,6487.0,6, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,16,17,S,59, ,6513.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
60,60,16,17,S,60, ,6526.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
61,61,16,17,S,61, ,6559.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,16,17,S,62, ,6616.0,6, ,0.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
63,63,16,17,S,63, ,6676.732,0.02, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,64,16,17,S,64, ,6688.0,6, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
65,65,16,17,S,65, ,6710.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
66,66,16,17,S,66, ,6720.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
67,67,16,17,S,67, ,6788.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
68,68,16,17,S,68, ,6890.8,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
69,69,16,17,S,69, ,6904.0,4, ,1.5,4, , , , , , , , , , , , , , , ,3/2, , , , ,2021-06-10
70,70,16,17,S,70, ,6967.0,4, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
71,71,16,17,S,71, ,6999.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
72,72,16,17,S,72, ,7017.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
73,73,16,17,S,73, ,7037.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
74,74,16,17,S,74, ,7133.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
75,75,16,17,S,75, ,7164.0,6, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
76,76,16,17,S,76, ,7183.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
77,77,16,17,S,77, ,7187.732,0.021, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
78,78,16,17,S,78, ,7254.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
79,79,16,17,S,79, ,7330.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
80,80,16,17,S,80, ,7338.0,5, ,2.5,5, , , , , , , , , , , , , , , ,3/2, , , , ,2021-06-10
81,81,16,17,S,81, ,7353.0,6, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
82,82,16,17,S,82, ,7359.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
83,83,16,17,S,83, ,7369.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
84,84,16,17,S,84, ,7401.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
85,85,16,17,S,85, ,7415.879,0.021, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
86,86,16,17,S,86, ,7452.0,6, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
87,87,16,17,S,87, ,7460.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
88,88,16,17,S,88, ,7475.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
89,89,16,17,S,89, ,7488.23,0.16, ,4.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
90,90,16,17,S,90, ,7506.31,0.022, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
91,91,16,17,S,91, ,7562.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
92,92,16,17,S,92, ,7615.0,6, ,3.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
93,93,16,17,S,93, ,7615.75,0.03, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
94,94,16,17,S,94, ,7629.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
95,95,16,17,S,95, ,7658.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
96,96,16,17,S,96, ,7693.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
97,97,16,17,S,97, ,7711.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
98,98,16,17,S,98, ,7749.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
99,99,16,17,S,99, ,7766.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
100,100,16,17,S,100, ,7779.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
101,101,16,17,S,101, ,7797.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
102,102,16,17,S,102, ,7828.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
103,103,16,17,S,103, ,7840.0,6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
