,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,18,19,Ar,0, ,0.0, , ,1.5,1,35.011, ,19,d,3024950.4,1641.6,EC,100, , , , , , , , ,1.145, ,0.076, ,2021-06-10
1,1,18,19,Ar,1, ,1409.84,0.07, ,0.5,1,0.59, ,10,ps,0.00000000000059,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
2,2,18,19,Ar,2, ,1611.28,0.05, ,3.5,1,4.38, ,10,ns,0.00000000438,0.0000000001, , , , , , , , , , ,-1.33, , , ,2021-06-10
3,3,18,19,Ar,3, ,2217.0,0.23, ,3.5,1,283, ,22,fs,0.000000000000283,0.000000000000022, , , , , , , , , , , , , , ,2021-06-10
4,4,18,19,Ar,4, ,2490.17,0.13, ,1.5,1,462, ,111,fs,0.000000000000462,0.000000000000111, , , , , , , , , , , , , , ,2021-06-10
5,5,18,19,Ar,5, ,2796.15,0.08, ,2.5,1,14, ,4,fs,0.000000000000014,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
6,6,18,19,Ar,6, ,3170.0,0.5, ,2.5,2,56, ,5,fs,0.000000000000056,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
7,7,18,19,Ar,7, ,3184.74,0.19, ,4.5,1,195, ,7,fs,0.000000000000195,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
8,8,18,19,Ar,8, ,3273.58,0.14, ,2.5,1,25, ,2,fs,0.000000000000025,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
9,9,18,19,Ar,9, ,3518.1,0.7, ,1.5,2,41, ,24,fs,0.000000000000041,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
10,10,18,19,Ar,10, ,3526.76,0.14, ,3.5,2,409, ,53,fs,0.000000000000409,0.000000000000053, , , , , , , , , , , , , , ,2021-06-10
11,11,18,19,Ar,11, ,3601.8,0.4, ,1.5,2,23, ,5,fs,0.000000000000023,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
12,12,18,19,Ar,12, ,3706.19,0.23, ,5.5,1,256, ,14,fs,0.000000000000256,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
13,13,18,19,Ar,13, ,3751.0,16, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,18,19,Ar,14, ,3900.0,16, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,18,19,Ar,15, ,3937.1,0.4, ,1.5,3,17, ,10,fs,0.000000000000017,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
16,16,18,19,Ar,16, ,3981.2,0.7, ,2.5,1,28, ,28,fs,0.000000000000028,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
17,17,18,19,Ar,17, ,4021.6,0.3, ,4.5,2,28, ,10,fs,0.000000000000028,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
18,18,18,19,Ar,18, ,4193.0,9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,18,19,Ar,19, ,4283.87,0.25, ,3.5,2,28, ,14,fs,0.000000000000028,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
20,20,18,19,Ar,20, ,4320.0,16, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,21,18,19,Ar,21, ,4396.7,0.9, ,2.5,1,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
22,22,18,19,Ar,22, ,4444.5,0.9, ,0.5,1,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
23,23,18,19,Ar,23, ,4573.4,1, ,2.5,1,14,LT, ,fs,0.000000000000014, , , , , , , , , , , , , , , ,2021-06-10
24,24,18,19,Ar,24, ,4624.4,0.5, ,3.5,3,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
25,25,18,19,Ar,25, ,4634.8,0.6, ,1.5,3,21, ,14,fs,0.000000000000021,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
26,26,18,19,Ar,26, ,4729.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
27,27,18,19,Ar,27, ,4743.4,1, ,3.5,4,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
28,28,18,19,Ar,28, ,4755.0,10, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,18,19,Ar,29, ,4798.8,1, ,2.5,2,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
30,30,18,19,Ar,30, ,4830.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,18,19,Ar,31, ,4886.5,0.3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,18,19,Ar,32, ,4981.0,0.6, ,5.5,1,35, ,10,fs,0.000000000000035,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
33,33,18,19,Ar,33, ,4995.0,5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,18,19,Ar,34, ,5048.4,0.6, ,2.5,3,21,LT, ,fs,0.000000000000021, , , , , , , , , , , , , , , ,2021-06-10
35,35,18,19,Ar,35, ,5089.53,0.25, ,1.5,1,10,LT, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,2021-06-10
36,36,18,19,Ar,36, ,5102.1,1.2, ,0.5,2,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
37,37,18,19,Ar,37, ,5130.2,1.2, ,2.5,4,17, ,7,fs,0.000000000000017,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
38,38,18,19,Ar,38, ,5213.15,0.2, ,5.5,1,2.54, ,25,ps,0.00000000000254,0.00000000000025, , , , , , , , , , , , , , ,2021-06-10
39,39,18,19,Ar,39, ,5229.0,10, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,18,19,Ar,40, ,5267.0,20, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,18,19,Ar,41, ,5349.0,8, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,18,19,Ar,42, ,5408.3,1.2, ,0.5, ,3.5, ,35,fs,0.0000000000000035,0.0000000000000035, , , , , , , , , , , , , , ,2021-06-10
43,43,18,19,Ar,43, ,5435.8,0.7, ,4.5,1,87, ,17,fs,0.000000000000087,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
44,44,18,19,Ar,44, ,5437.0,9, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,18,19,Ar,45, ,5461.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,18,19,Ar,46, ,5533.0,16, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,18,19,Ar,47, ,5573.0,5, ,1.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,18,19,Ar,48, ,5669.0,9, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
