,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,17,20,Cl,0, ,0.0, , ,1.5,1,STABLE, , , , , , , , , , , , , , , ,0.6841236, ,-0.06493, ,2021-06-10
1,1,17,20,Cl,1, ,1726.58,0.04, ,0.5,1,0.13, ,2,ps,0.00000000000013,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
2,2,17,20,Cl,2, ,3086.12,0.07, ,2.5,1,37, ,8,fs,0.000000000000037,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
3,3,17,20,Cl,3, ,3103.52,0.02, ,3.5,1,14.7, ,12,ps,0.0000000000147,0.0000000000012, , , , , , , , , , , , , , ,2021-06-10
4,4,17,20,Cl,4, ,3287.2,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
5,5,17,20,Cl,5, ,3626.82,0.06, ,1.5,2,31, ,14,fs,0.000000000000031,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
6,6,17,20,Cl,6, ,3707.79,0.09, ,1.5,3,44, ,14,fs,0.000000000000044,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
7,7,17,20,Cl,7, ,3741.19,0.1, ,2.5,1,21, ,7,fs,0.000000000000021,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
8,8,17,20,Cl,8, ,4009.99,0.05, ,4.5,1,22.8, ,14,ps,0.0000000000228,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
9,9,17,20,Cl,9, ,4016.27,0.09, ,1.5,4,0.11, ,4,ps,0.00000000000011,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
10,10,17,20,Cl,10, ,4176.64,0.09, ,1.5,1,0.8, ,+14-4,ps,0.0000000000008, , , , , , , , , , , , , , , ,2021-06-10
11,11,17,20,Cl,11, ,4262.0,12, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
12,12,17,20,Cl,12, ,4268.87,0.09, ,0.5,1,42, ,14,fs,0.000000000000042,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
13,13,17,20,Cl,13, ,4272.58,0.1, ,3.5,2,76, ,28,fs,0.000000000000076,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
14,14,17,20,Cl,14, ,4396.32,0.14, ,2.5,1,13, ,5,fs,0.000000000000013,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
15,15,17,20,Cl,15, ,4459.97,0.15, ,3.5,3,55, ,20,fs,0.000000000000055,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
16,16,17,20,Cl,16, ,4546.08,0.06, ,5.5,1,2.0, ,6,ps,0.000000000002,0.0000000000006, , , , , , , , , , , , , , ,2021-06-10
17,17,17,20,Cl,17, ,4801.21,0.11, ,2.5,3,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
18,18,17,20,Cl,18, ,4810.9,0.3, ,3.5,1,0.35,GT, ,ps,0.00000000000035, , , , , , , , , , , , , , , ,2021-06-10
19,19,17,20,Cl,19, ,4837.61,0.1, ,2.5,2,4, ,2,fs,0.000000000000004,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
20,20,17,20,Cl,20, ,4853.96,0.13, ,1.5,1,3.5,LT, ,fs,0.0000000000000035, , , , , , , , , , , , , , , ,2021-06-10
21,21,17,20,Cl,21, ,4903.91,0.15, ,3.5,1,24, ,10,fs,0.000000000000024,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
22,22,17,20,Cl,22, ,4920.87,0.15, ,4.5,2,55, ,31,fs,0.000000000000055,0.000000000000031, , , , , , , , , , , , , , ,2021-06-10
23,23,17,20,Cl,23, ,4923.0,4, ,3.5,1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
24,24,17,20,Cl,24, ,4960.8,0.5, ,1.5,2,14, ,6,fs,0.000000000000014,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
25,25,17,20,Cl,25, ,4974.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,26,17,20,Cl,26, ,5009.3,0.8, ,3.5,1,5, ,3,fs,0.000000000000005,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
27,27,17,20,Cl,27, ,5055.2,0.5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,28,17,20,Cl,28, ,5059.1,0.7, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,17,20,Cl,29, ,5143.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,17,20,Cl,30, ,5228.7,0.7, ,3.5,2,7,LT, ,fs,0.000000000000007, , , , , , , , , , , , , , , ,2021-06-10
31,31,17,20,Cl,31, ,5270.95,0.08, ,6.5,1,2.0, ,3,ps,0.000000000002,0.0000000000003, , , , , , , , , , , , , , ,2021-06-10
32,32,17,20,Cl,32, ,5283.0,3, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,17,20,Cl,33, ,5307.4,0.5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,17,20,Cl,34, ,5317.1,0.7, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
35,35,17,20,Cl,35, ,5350.0,20, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
