,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,19,22,K,0, ,0.0, , ,1.5,1,STABLE, , , , , , , , , , , , , , , ,0.21487009, ,0.0711, ,2021-06-10
1,1,19,22,K,1, ,980.4760000000001,0.008, ,0.5,1,0.30, ,10,ps,0.0000000000003,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
2,2,19,22,K,2, ,1293.609,0.008, ,3.5,1,7.35, ,20,ns,0.00000000735,0.0000000002, , , , , , , , , , ,4.42, , , ,2021-06-10
3,3,19,22,K,3, ,1559.903,0.012, ,1.5,2,0.38, ,5,ps,0.00000000000038,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
4,4,19,22,K,4, ,1582.001,0.011, ,1.5,1,9.3, ,4,ps,0.0000000000093,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
5,5,19,22,K,5, ,1593.107,0.012, ,0.5,2,88, ,28,fs,0.000000000000088,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
6,6,19,22,K,6, ,1677.235,0.011, ,3.5,1,1.4, ,3,ps,0.0000000000014,0.0000000000003, , , , , , , , , , , , , , ,2021-06-10
7,7,19,22,K,7, ,1698.005,0.015, ,2.5,1,0.85, ,21,ps,0.00000000000085,0.00000000000021, , , , , , , , , , , , , , ,2021-06-10
8,8,19,22,K,8, ,2143.82,0.02, ,2.5,2,0.24, ,6,ps,0.00000000000024,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
9,9,19,22,K,9, ,2166.7,0.02, ,1.5,2,1.9, ,2,ps,0.0000000000019,0.0000000000002, , , , , , , , , , , , , , ,2021-06-10
