,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,20,23,Ca,0, ,0.0, , ,3.5,1,STABLE, , , , , , , , , , , , , , , ,-1.31726, ,-0.0408, ,2021-06-10
1,1,20,23,Ca,1, ,372.7619999999999,0.005, ,2.5,1,34, ,3,ps,0.000000000034,0.000000000003, , , , , , , , , , , , , , ,2021-06-10
2,2,20,23,Ca,2, ,593.394,0.005, ,1.5,1,81, ,4,ps,0.000000000081,0.000000000004, , , , , , , , , , , , , , ,2021-06-10
3,3,20,23,Ca,3, ,990.257,0.005, ,1.5,1,49, ,4,ps,0.000000000049,0.000000000004, , , , , , , , , , , , , , ,2021-06-10
4,4,20,23,Ca,4, ,1394.473,0.008, ,2.5,1,1.84, ,35,ps,0.00000000000184,0.00000000000035, , , , , , , , , , , , , , ,2021-06-10
5,5,20,23,Ca,5, ,1677.84,0.17, ,5.5,1,0.85, ,14,ps,0.00000000000085,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
6,6,20,23,Ca,6, ,1901.99,0.14, ,3.5,1,0.53, ,10,ps,0.00000000000053,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
7,7,20,23,Ca,7, ,1931.53,0.14, ,2.5,2,116, ,30,fs,0.000000000000116,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
8,8,20,23,Ca,8, ,1957.4,0.4, ,0.5,1,1.1, ,3,ps,0.0000000000011,0.0000000000003, , , , , , , , , , , , , , ,2021-06-10
9,9,20,23,Ca,9, ,2046.21,0.15, ,1.5,2,0.8, ,2,ps,0.0000000000008,0.0000000000002, , , , , , , , , , , , , , ,2021-06-10
10,10,20,23,Ca,10, ,2067.21,0.17, ,3.5,2,21, ,7,fs,0.000000000000021,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
11,11,20,23,Ca,11, ,2093.81,0.18, ,4.5,1,1.4, ,4,ps,0.0000000000014,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
12,12,20,23,Ca,12, ,2102.7,0.3, ,1.5,3,0.33, ,9,ps,0.00000000000033,0.00000000000009, , , , , , , , , , , , , , ,2021-06-10
13,13,20,23,Ca,13, ,2223.9,0.4, ,2.5,1,28, ,17,fs,0.000000000000028,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
14,14,20,23,Ca,14, ,2248.0,8, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,20,23,Ca,15, ,2249.01,0.14, ,4.5,2,37, ,8,fs,0.000000000000037,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
16,16,20,23,Ca,16, ,2272.8,0.3, ,2.5,1,0.28, ,8,ps,0.00000000000028,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
17,17,20,23,Ca,17, ,2409.68,0.15, ,4.5,1,1.2, ,4,ps,0.0000000000012,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
18,18,20,23,Ca,18, ,2523.0,10, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,20,23,Ca,19, ,2611.1,0.3, ,0.5,1,0.13, ,5,ps,0.00000000000013,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
20,20,20,23,Ca,20, ,2674.3,0.8, ,3.5,1,36, ,16,fs,0.000000000000036,0.000000000000016, , , , , , , , , , , , , , ,2021-06-10
21,21,20,23,Ca,21, ,2696.5,0.5, ,2.5,2,38,LT, ,fs,0.000000000000038, , , , , , , , , , , , , , , ,2021-06-10
22,22,20,23,Ca,22, ,2748.0,8, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,23,20,23,Ca,23, ,2754.0,0.21, ,7.5,1,23.6, ,10,ps,0.0000000000236,0.000000000001, , , , , , , , , , , , , , ,2021-06-10
24,24,20,23,Ca,24, ,2769.6,0.5, ,2.5,1,0.10, ,4,ps,0.0000000000001,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
25,25,20,23,Ca,25, ,2844.7,0.5, ,2.5,1,0.55, ,15,ps,0.00000000000055,0.00000000000015, , , , , , , , , , , , , , ,2021-06-10
26,26,20,23,Ca,26, ,2878.7,1, ,0.5,2,107, ,38,fs,0.000000000000107,0.000000000000038, , , , , , , , , , , , , , ,2021-06-10
27,27,20,23,Ca,27, ,2943.5,0.3, ,1.5,4,60,LT, ,fs,0.00000000000006, , , , , , , , , , , , , , , ,2021-06-10
28,28,20,23,Ca,28, ,2951.33,0.19, ,5.5,1,4.7, ,12,ps,0.0000000000047,0.0000000000012, , , , , , , , , , , , , , ,2021-06-10
29,29,20,23,Ca,29, ,3028.7,0.8, ,3.5,1,60,LT, ,fs,0.00000000000006, , , , , , , , , , , , , , , ,2021-06-10
30,30,20,23,Ca,30, ,3030.4,0.7, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,20,23,Ca,31, ,3049.6,1.5, ,0.5, ,60,LT, ,fs,0.00000000000006, , , , , , , , , , , , , , , ,2021-06-10
32,32,20,23,Ca,32, ,3050.6,0.4, ,5.5,2,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
33,33,20,23,Ca,33, ,3076.0,1.5, ,2.5,2,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
34,34,20,23,Ca,34, ,3096.0,0.7, ,3.5,1,17,LT, ,fs,0.000000000000017, , , , , , , , , , , , , , , ,2021-06-10
35,35,20,23,Ca,35, ,3097.0,0.6, ,5.5,1,0.76, ,21,ps,0.00000000000076,0.00000000000021, , , , , , , , , , , , , , ,2021-06-10
36,36,20,23,Ca,36, ,3195.6,0.5, ,4.5,1,118, ,42,fs,0.000000000000118,0.000000000000042, , , , , , , , , , , , , , ,2021-06-10
37,37,20,23,Ca,37, ,3270.0, , ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
38,38,20,23,Ca,38, ,3278.0,10, ,8.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,20,23,Ca,39, ,3285.7,0.6, ,1.5,5,60,LT, ,fs,0.00000000000006, , , , , , , , , , , , , , , ,2021-06-10
40,40,20,23,Ca,40, ,3315.2,0.7, ,1.5,1,0.13, ,6,ps,0.00000000000013,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
41,41,20,23,Ca,41, ,3371.19,0.19, ,6.5,1,14,LT, ,ps,0.000000000014, , , , , , , , , , , , , , , ,2021-06-10
42,42,20,23,Ca,42, ,3376.6,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,20,23,Ca,43, ,3415.0,8, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,20,23,Ca,44, ,3469.0,5, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,20,23,Ca,45, ,3505.3,0.3, ,6.5,2,73, ,24,fs,0.000000000000073,0.000000000000024, , , , , , , , , , , , , , ,2021-06-10
46,46,20,23,Ca,46, ,3572.2,0.5, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,20,23,Ca,47, ,3604.0,10, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
