,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,21,24,Sc,0, ,0.0, , ,3.5,1,STABLE, , , , , , , , , , , , , , , ,4.756487, ,-0.22, ,2021-06-10
1,1,21,24,Sc,1, ,12.4,0.05, ,1.5,1,318, ,7,ms,0.318,0.007,IT,100, , , , , , , , ,0.368, ,0.318, ,2021-06-10
2,2,21,24,Sc,2, ,376.5,0.12, ,1.5,1,43.3, ,23,ps,0.0000000000433,0.0000000000023, , , , , , , , , , , , , , ,2021-06-10
3,3,21,24,Sc,3, ,543.06,0.14, ,2.5,1,5.5, ,6,ps,0.0000000000055,0.0000000000006, , , , , , , , , , , , , , ,2021-06-10
4,4,21,24,Sc,4, ,720.12,0.14, ,2.5,1,206, ,16,fs,0.000000000000206,0.000000000000016, , , , , , , , , , , , , , ,2021-06-10
5,5,21,24,Sc,5, ,939.24,0.15, ,0.5,1,7.3, ,+6-3,ps,0.0000000000073, , , , , , , , , , , , , , , ,2021-06-10
6,6,21,24,Sc,6, ,974.38,0.15, ,3.5,1,2.54, ,23,ps,0.00000000000254,0.00000000000023, , , , , , , , , , , , , , ,2021-06-10
7,7,21,24,Sc,7, ,1067.6,0.4, ,1.5,2,0.28, ,6,ps,0.00000000000028,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
8,8,21,24,Sc,8, ,1236.7,0.25, ,5.5,1,1.80, ,10,ps,0.0000000000018,0.0000000000001, , , , , , , , , , , , , , ,2021-06-10
9,9,21,24,Sc,9, ,1303.18,0.15, ,1.5,2,2.3, ,+7-4,ps,0.0000000000023, , , , , , , , , , , , , , , ,2021-06-10
10,10,21,24,Sc,10, ,1354.2,0.9, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,11,21,24,Sc,11, ,1408.87,0.2, ,3.5,1,257, ,+23-18,fs,0.000000000000257, , , , , , , , , , , , , , , ,2021-06-10
12,12,21,24,Sc,12, ,1433.49,0.21, ,4.5,1,3.6, ,18,ps,0.0000000000036,0.0000000000018, , , , , , , , , , , , , , ,2021-06-10
13,13,21,24,Sc,13, ,1472.5,0.9, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,21,24,Sc,14, ,1556.2,0.5, ,1.5,1,0.28, ,+12-8,ps,0.00000000000028, , , , , , , , , , , , , , , ,2021-06-10
15,15,21,24,Sc,15, ,1662.0,0.4, ,4.5,1,98, ,10,fs,0.000000000000098,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
16,16,21,24,Sc,16, ,1716.0,30, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,21,24,Sc,17, ,1800.0,0.5, ,2.5,2,65, ,15,fs,0.000000000000065,0.000000000000015, , , , , , , , , , , , , , ,2021-06-10
18,18,21,24,Sc,18, ,1900.7,0.3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,21,24,Sc,19, ,1930.6,0.3, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,20,21,24,Sc,20, ,1935.5,1, ,0.5, ,32, ,+16-11,fs,0.000000000000032, , , , , , , , , , , , , , , ,2021-06-10
21,21,21,24,Sc,21, ,1935.5, , ,0.5, ,61, ,+22-16,fs,0.000000000000061, , , , , , , , , , , , , , , ,2021-06-10
22,22,21,24,Sc,22, ,2031.2,0.7, ,5.5,1,0.76, ,+12-8,ps,0.00000000000076, , , , , , , , , , , , , , , ,2021-06-10
23,23,21,24,Sc,23, ,2090.0, , ,7.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
