,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,22,25,Ti,0, ,0.0, , ,2.5,1,STABLE, , , , , , , , , , , , , , ,3/2,-0.78848, ,0.3, ,2021-06-10
1,1,22,25,Ti,1, ,159.371,0.012, ,3.5,1,210, ,6,ps,0.00000000021,0.000000000006, , , , , , , , , ,3/2,-1.9, , , ,2021-06-10
2,2,22,25,Ti,2, ,1250.7,1, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
3,3,22,25,Ti,3, ,1252.09,0.04, ,4.5,1,140, ,13,fs,0.00000000000014,0.000000000000013, , , , , , , , , , , , , , ,2021-06-10
4,4,22,25,Ti,4, ,1444.25,0.04, ,5.5,1,0.90, ,14,ps,0.0000000000009,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
5,5,22,25,Ti,5, ,1549.65,0.09, ,1.5,1,1.5, ,4,ps,0.0000000000015,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
6,6,22,25,Ti,6, ,1670.0,80, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
7,7,22,25,Ti,7, ,1793.8,0.16, ,0.5,1,1.7, ,+17-6,ps,0.0000000000017, , , , , , , , , , , , , , , ,2021-06-10
8,8,22,25,Ti,8, ,1825.0,0.1, ,2.5,1,2.1, ,+19-7,ps,0.0000000000021, , , , , , , , , , , , , , , ,2021-06-10
9,9,22,25,Ti,9, ,2163.2,0.2, ,1.5,2,25.1, ,43,fs,0.0000000000000251,0.0000000000000043, , , , , , , , , , , , , , ,2021-06-10
10,10,22,25,Ti,10, ,2166.7,0.2, ,2.5,1,19, ,5,fs,0.000000000000019,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
11,11,22,25,Ti,11, ,2259.5,0.2, ,2.5,1,0.54, ,12,ps,0.00000000000054,0.00000000000012, , , , , , , , , , , , , , ,2021-06-10
12,12,22,25,Ti,12, ,2297.1,0.2, ,3.5,1,10,LT, ,fs,0.00000000000001, , , , , , , , , , , , , , , ,2021-06-10
13,13,22,25,Ti,13, ,2344.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,22,25,Ti,14, ,2364.9,0.2, ,0.5,1,1.53,GT, ,ps,0.00000000000153, , , , , , , , , , , , , , , ,2021-06-10
15,15,22,25,Ti,15, ,2406.2,0.2, ,4.5,1,23, ,7,fs,0.000000000000023,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
