,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,23,24,V,0, ,0.0, , ,1.5,1,32.6, ,3,m,1956,18,EC+B+,100, , , , , , , , , , , , ,2021-06-10
1,1,23,24,V,1, ,87.525,0.009, ,2.5,1,0.68, ,4,ns,0.00000000068,0.00000000004, , , , , , , , , , , , , , ,2021-06-10
2,2,23,24,V,2, ,145.821,0.015, ,3.5,1,0.51, ,6,ns,0.00000000051,0.00000000006, , , , , , , , , , , , , , ,2021-06-10
3,3,23,24,V,3, ,259.486,0.004, ,1.5,1,58, ,6,ps,0.000000000058,0.000000000006, , , , , , , , , , , , , , ,2021-06-10
4,4,23,24,V,4, ,660.3580000000001,0.009, ,2.5,1,1.6, ,12,ps,0.0000000000016,0.0000000000012, , , , , , , , , , , , , , ,2021-06-10
5,5,23,24,V,5, ,1138.55,0.03, ,3.5,1,1.59, ,35,ps,0.00000000000159,0.00000000000035, , , , , , , , , , , , , , ,2021-06-10
6,6,23,24,V,6, ,1271.8,0.05, ,4.5,1,0.25, ,8,ps,0.00000000000025,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
7,7,23,24,V,7, ,1294.96,0.06, ,5.5,1,1.59, ,44,ps,0.00000000000159,0.00000000000044, , , , , , , , , , , , , , ,2021-06-10
8,8,23,24,V,8, ,1660.62,0.12, ,0.5,1,0.37, ,16,ps,0.00000000000037,0.00000000000016, , , , , , , , , , , , , , ,2021-06-10
9,9,23,24,V,9, ,1746.96,0.04, ,4.5,1,0.56, ,8,ps,0.00000000000056,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
10,10,23,24,V,10, ,1968.92,0.03, ,1.5,2,0.44, ,12,ps,0.00000000000044,0.00000000000012, , , , , , , , , , , , , , ,2021-06-10
11,11,23,24,V,11, ,2082.72,0.02, ,1.5,2,14.6, ,35,fs,0.0000000000000146,0.0000000000000035, , , , , , , , , , , , , , ,2021-06-10
12,12,23,24,V,12, ,2175.86,0.04, ,2.5,2,15, ,5,fs,0.000000000000015,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
13,13,23,24,V,13, ,2211.75,0.03, ,0.5,1,83, ,21,fs,0.000000000000083,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
14,14,23,24,V,14, ,2415.0,0.4, ,5.5,1,0.39, ,4,ps,0.00000000000039,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
15,15,23,24,V,15, ,2439.54,0.04, ,2.5,2,65, ,14,fs,0.000000000000065,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
16,16,23,24,V,16, ,2546.0,8, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,23,24,V,17, ,2558.8,0.5, ,6.5,1,0.42, ,14,ps,0.00000000000042,0.00000000000014, , , , , , , , , , , , , , ,2021-06-10
18,18,23,24,V,18, ,2615.0,0.5, ,7.5,1,0.679, ,49,ps,0.000000000000679,0.000000000000049, , , , , , , , , , , , , , ,2021-06-10
19,19,23,24,V,19, ,2722.63,0.07, ,2.5,3,36, ,10,fs,0.000000000000036,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
20,20,23,24,V,20, ,2747.12,0.16, ,4.5,2,25, ,10,fs,0.000000000000025,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
21,21,23,24,V,21, ,2767.32,0.06, ,0.5,1,10.4, ,28,fs,0.0000000000000104,0.0000000000000028, , , , , , , , , , , , , , ,2021-06-10
22,22,23,24,V,22, ,2810.04,0.12, ,3.5,2,0.11, ,3,ps,0.00000000000011,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
23,23,23,24,V,23, ,2984.29,0.11, ,3.5,2,5, ,2,fs,0.000000000000005,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
24,24,23,24,V,24, ,3005.45,0.03, ,1.5,3,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
25,25,23,24,V,25, ,3054.22,0.15, ,2.5,4,5, ,2,fs,0.000000000000005,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
26,26,23,24,V,26, ,3247.73,0.08, ,3.5,3,76, ,21,fs,0.000000000000076,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
27,27,23,24,V,27, ,3270.3,0.5, ,6.5,1,0.173, ,28,ps,0.000000000000173,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
28,28,23,24,V,28, ,3303.53,0.04, ,1.5,1,32, ,7,fs,0.000000000000032,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
29,29,23,24,V,29, ,3355.49,0.13, ,2.5,3,5, ,2,fs,0.000000000000005,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
30,30,23,24,V,30, ,3362.65,0.09, ,0.5,1,2.8, ,14,fs,0.0000000000000028,0.0000000000000014, , , , , , , , , , , , , , ,2021-06-10
31,31,23,24,V,31, ,3370.52,0.04, ,2.5,1,11.8, ,21,fs,0.0000000000000118,0.0000000000000021, , , , , , , , , , , , , , ,2021-06-10
32,32,23,24,V,32, ,3370.56,0.08, ,1.5,2,5,LT, ,fs,0.000000000000005, , , , , , , , , , , , , , , ,2021-06-10
33,33,23,24,V,33, ,3517.08,0.15, ,2.5,1,6.9,LT, ,fs,0.0000000000000069, , , , , , , , , , , , , , , ,2021-06-10
34,34,23,24,V,34, ,3524.6,0.12, ,3.5,3,9.7, ,28,fs,0.0000000000000097,0.0000000000000028, , , , , , , , , , , , , , ,2021-06-10
35,35,23,24,V,35, ,3590.35,0.06, ,2.5,2,6, ,2,fs,0.000000000000006,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
36,36,23,24,V,36, ,3659.71,0.14, ,3.5,1,14, ,4,fs,0.000000000000014,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
37,37,23,24,V,37, ,3694.4,0.3, ,1.5,1,6, ,3,fs,0.000000000000006,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
38,38,23,24,V,38, ,3718.0,0.3, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,23,24,V,39, ,3721.29,0.13, ,3.5,4,15, ,6,fs,0.000000000000015,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
40,40,23,24,V,40, ,3762.7,0.3, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,23,24,V,41, ,3773.4,0.2, ,0.5,1,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-10
42,42,23,24,V,42, ,3822.6,0.2, ,1.5,1,19, ,9,fs,0.000000000000019,0.000000000000009, , , , , , , , , , , , , , ,2021-06-10
43,43,23,24,V,43, ,3869.0,0.3, ,2.5,3,9.7, ,35,ps,0.0000000000097,0.0000000000035, , , , , , , , , , , , , , ,2021-06-10
44,44,23,24,V,44, ,3875.8,0.3, ,1.5,1,8,LT, ,fs,0.000000000000008, , , , , , , , , , , , , , , ,2021-06-10
45,45,23,24,V,45, ,3876.0,0.2, ,3.5,4,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-10
46,46,23,24,V,46, ,3890.1,0.2, ,2.5,2,3.5,LT, ,ps,0.0000000000035, , , , , , , , , , , , , , , ,2021-06-10
47,47,23,24,V,47, ,3892.26,0.11, ,2.5,1,24, ,18,fs,0.000000000000024,0.000000000000018, , , , , , , , , , , , , , ,2021-06-10
48,48,23,24,V,48, ,3952.6,0.4, ,3.5,1,37, ,14,fs,0.000000000000037,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
49,49,23,24,V,49, ,3954.3,0.6, ,7.5,1,0.166, ,28,ps,0.000000000000166,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
50,50,23,24,V,50, ,3958.7,0.3, ,1.5,3,9.0, ,28,fs,0.000000000000009,0.0000000000000028, , , , , , , , , , , , , , ,2021-06-10
51,51,23,24,V,51, ,3984.97,0.17, ,2.5,1,24, ,9,fs,0.000000000000024,0.000000000000009, , , , , , , , , , , , , , ,2021-06-10
52,52,23,24,V,52, ,4080.6,0.12, ,1.5,4,15, ,4,fs,0.000000000000015,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
53,53,23,24,V,53, ,4099.06,0.14, ,1.5,1,8.3,LT, ,fs,0.0000000000000083, , , , , , , , , , , , , , , ,2021-06-10
54,54,23,24,V,54, ,4100.31,0.1, ,1.5,4,5.5, ,21,fs,0.0000000000000055,0.0000000000000021, , , , , , , , , , , , , , ,2021-06-10
55,55,23,24,V,55, ,4118.12,0.14, ,2.5,1,13, ,4,fs,0.000000000000013,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
56,56,23,24,V,56, ,4133.0,0.7, ,9.5,1,0.417, ,28,ps,0.000000000000417,0.000000000000028, , , , , , , , , , , , , , ,2021-06-10
57,57,23,24,V,57, ,4150.35,0.11, ,2.5,1,7,LT, ,fs,0.000000000000007, , , , , , , , , , ,3/2, , , , ,2021-06-10
58,58,23,24,V,58, ,4197.3,0.3, ,2.5,4,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-10
59,59,23,24,V,59, ,4207.1,0.14, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
60,60,23,24,V,60, ,4222.48,0.06, ,2.5,5,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-10
61,61,23,24,V,61, ,4271.6,0.2, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,23,24,V,62, ,4271.75,0.12, ,0.5,2,11,LT, ,fs,0.000000000000011, , , , , , , , , , , , , , , ,2021-06-10
63,63,23,24,V,63, ,4296.0,12, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,64,23,24,V,64, ,4345.19,0.1, ,0.5,1,9,LT, ,fs,0.000000000000009, , , , , , , , , , , , , , , ,2021-06-10
65,65,23,24,V,65, ,4346.8,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
66,66,23,24,V,66, ,4392.8,0.2, ,1.5,1,24,LT, ,fs,0.000000000000024, , , , , , , , , , , , , , , ,2021-06-10
67,67,23,24,V,67, ,4402.6,0.3, ,4.5,1,28,LT, ,fs,0.000000000000028, , , , , , , , , , , , , , , ,2021-06-10
68,68,23,24,V,68, ,4406.4,0.4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
69,69,23,24,V,69, ,4453.7,0.2, ,3.5,2,11, ,6,fs,0.000000000000011,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
70,70,23,24,V,70, ,4509.52,0.14, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
71,71,23,24,V,71, ,4510.01,0.14, ,1.5,2,8.3,LT, ,fs,0.0000000000000083, , , , , , , , , , , , , , , ,2021-06-10
72,72,23,24,V,72, ,4514.5,0.3, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
73,73,23,24,V,73, ,4543.02,0.02, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
74,74,23,24,V,74, ,4568.68,0.2, ,2.5,6,9,LT, ,fs,0.000000000000009, , , , , , , , , , , , , , , ,2021-06-10
75,75,23,24,V,75, ,4613.0,20, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
76,76,23,24,V,76, ,4694.33,0.11, ,1.5,1,8.3,LT, ,fs,0.0000000000000083, , , , , , , , , , , , , , , ,2021-06-10
77,77,23,24,V,77, ,4719.2,0.3, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
78,78,23,24,V,78, ,4733.8,0.3, ,4.5,1,15,LT, ,fs,0.000000000000015, , , , , , , , , , , , , , , ,2021-06-10
