,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,25,26,Mn,0, ,0.0, , ,2.5,1,46.2, ,1,m,2772,6,EC+B+,100, , , , , , , , , , , , ,2021-06-10
1,1,25,26,Mn,1, ,237.3,0.2, ,3.5,1,14.1, ,23,ps,0.0000000000141,0.0000000000023, , , , , , , , , , , , , , ,2021-06-10
2,2,25,26,Mn,2, ,1139.8,0.3, ,4.5,1,0.25, ,+8-6,ps,0.00000000000025, , , , , , , , , , , , , , , ,2021-06-10
3,3,25,26,Mn,3, ,1488.5,0.4, ,5.5,1,0.50, ,+14-10,ps,0.0000000000005, , , , , , , , , , , , , , , ,2021-06-10
4,4,25,26,Mn,4, ,1817.1,0.2, ,1.5,1,0.7,GT, ,ps,0.0000000000007, , , , , , , , , , , , , , , ,2021-06-10
5,5,25,26,Mn,5, ,1824.6,0.1, ,1.5,1,16, ,4,fs,0.000000000000016,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
6,6,25,26,Mn,6, ,1959.1,0.6, ,0.5,1,0.38, ,12,ps,0.00000000000038,0.00000000000012, , , , , , , , , , , , , , ,2021-06-10
7,7,25,26,Mn,7, ,2140.4,0.2, ,1.5,2,15, ,4,fs,0.000000000000015,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
8,8,25,26,Mn,8, ,2255.7,0.1, ,2.5,1,79, ,+33-26,fs,0.000000000000079, , , , , , , , , , , , , , , ,2021-06-10
9,9,25,26,Mn,9, ,2275.9,0.2, ,0.5,1,1.2,GT, ,fs,0.0000000000000012, , , , , , , , , , , , , , , ,2021-06-10
10,10,25,26,Mn,10, ,2310.0,0.5, ,2.5,2,0.9, ,+6-4,ps,0.0000000000009, , , , , , , , , , , , , , , ,2021-06-10
11,11,25,26,Mn,11, ,2415.9,0.3, ,3.5,1,4.2, ,+28-21,fs,0.0000000000000042, , , , , , , , , , , , , , , ,2021-06-10
12,12,25,26,Mn,12, ,2450.0, , ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
13,13,25,26,Mn,13, ,2650.0, , ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,25,26,Mn,14, ,2701.6,0.5, ,1.5,3,0.5,GT, ,ps,0.0000000000005, , , , , , , , , , , , , , , ,2021-06-10
15,15,25,26,Mn,15, ,2841.4,0.2, ,0.5,2,0.27, ,+13-8,ps,0.00000000000027, , , , , , , , , , , , , , , ,2021-06-10
16,16,25,26,Mn,16, ,2893.0,0.4, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
