,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,24,27,Cr,0, ,0.0, , ,3.5,1,27.704, ,4,d,2393625.6,345.6,EC,100, , , , , , , , , , , , ,2021-06-10
1,1,24,27,Cr,1, ,749.1,0.08, ,1.5,1,7.35, ,3,ns,0.00000000735,0.00000000003, , , , , , , , , , ,-0.86, , , ,2021-06-10
2,2,24,27,Cr,2, ,776.95,0.17, ,0.5,1,5.53, ,7,ns,0.00000000553,0.00000000007, , , , , , , , , , , , , , ,2021-06-10
3,3,24,27,Cr,3, ,1164.59,0.14, ,4.5,1,73, ,7,fs,0.000000000000073,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
4,4,24,27,Cr,4, ,1352.65,0.17, ,2.5,1,3.8, ,+24-14,ps,0.0000000000038, , , , , , , , , , , , , , , ,2021-06-10
5,5,24,27,Cr,5, ,1480.07,0.16, ,5.5,1,0.55, ,+24-4,ps,0.00000000000055, , , , , , , , , , , , , , , ,2021-06-10
6,6,24,27,Cr,6, ,1557.26,0.13, ,3.5,2,4.2, ,+17-10,ps,0.0000000000042, , , , , , , , , , , , , , , ,2021-06-10
7,7,24,27,Cr,7, ,1899.2,0.3, ,1.5,2,0.29, ,+3-2,ps,0.00000000000029, , , , , , , , , , , , , , , ,2021-06-10
8,8,24,27,Cr,8, ,2001.91,0.21, ,2.5,2,17, ,2,fs,0.000000000000017,0.000000000000002, , , , , , , , , , , , , , ,2021-06-10
9,9,24,27,Cr,9, ,2255.5,0.3, ,7.5,1,45.8, ,14,ps,0.0000000000458,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
10,10,24,27,Cr,10, ,2312.58,0.17, ,3.5,3,15, ,4,fs,0.000000000000015,0.000000000000004, , , , , , , , , , , , , , ,2021-06-10
11,11,24,27,Cr,11, ,2379.46,0.14, ,4.5,2,0.31, ,8,ps,0.00000000000031,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
12,12,24,27,Cr,12, ,2385.4,0.4, ,6.5,1,58, ,12,fs,0.000000000000058,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
13,13,24,27,Cr,13, ,2500.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,24,27,Cr,14, ,2699.0,10, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,24,27,Cr,15, ,2704.39,0.19, ,5.5,2,85, ,3,fs,0.000000000000085,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
16,16,24,27,Cr,16, ,2762.6,0.5, ,0.5,1,0.071, ,10,ps,0.000000000000071,0.00000000000001, , , , , , , , , , , , , , ,2021-06-10
17,17,24,27,Cr,17, ,2767.3,0.18, ,4.5,3,41, ,8,fs,0.000000000000041,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
18,18,24,27,Cr,18, ,2828.5,0.4, ,1.5,1,59, ,+12-10,fs,0.000000000000059, , , , , , , , , , , , , , , ,2021-06-10
19,19,24,27,Cr,19, ,2890.2,0.4, ,1.5,3,0.35, ,+5-3,ps,0.00000000000035, , , , , , , , , , , , , , , ,2021-06-10
20,20,24,27,Cr,20, ,2908.1,0.7, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,21,24,27,Cr,21, ,2911.0,0.4, ,2.5,2,30, ,+19-10,fs,0.00000000000003, , , , , , , , , , , , , , , ,2021-06-10
22,22,24,27,Cr,22, ,2948.2,0.6, ,3.5,2,0.119, ,+13-10,ps,0.000000000000119, , , , , , , , , , , , , , , ,2021-06-10
23,23,24,27,Cr,23, ,2970.0,8, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,24,24,27,Cr,24, ,3001.7,0.3, ,2.5,3,15, ,+5-4,ps,0.000000000015, , , , , , , , , , , , , , , ,2021-06-10
25,25,24,27,Cr,25, ,3004.4,0.3, ,1.5,1,0.34, ,4,ps,0.00000000000034,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
26,26,24,27,Cr,26, ,3016.0,8, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
27,27,24,27,Cr,27, ,3018.6,0.6, ,5.5,3,49, ,+21-15,fs,0.000000000000049, , , , , , , , , , , , , , , ,2021-06-10
