,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,24,31,Cr,0, ,0.0, , ,1.5,1,3.497, ,3,m,209.82,0.18,B-,100, , , , , , , , , , , , ,2021-06-10
1,1,24,31,Cr,1, ,241.91,0.04, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
2,2,24,31,Cr,2, ,517.7,0.04, ,2.5,1,5.2,LT, ,ps,0.0000000000052, , , , , , , , , , , , , , , ,2021-06-10
3,3,24,31,Cr,3, ,565.91,0.03, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
4,4,24,31,Cr,4, ,880.71,0.04, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
5,5,24,31,Cr,5, ,1131.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
6,6,24,31,Cr,6, ,1214.75,0.05, ,2.5,3,3.5, ,+69-14,ps,0.0000000000035, , , , , , , , , , , , , , , ,2021-06-10
7,7,24,31,Cr,7, ,1438.82,0.07, ,4.5,1,4.2, ,14,ps,0.0000000000042,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
8,8,24,31,Cr,8, ,1474.2,0.06, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
9,9,24,31,Cr,9, ,1479.03,0.12, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
10,10,24,31,Cr,10, ,2008.0,7, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,11,24,31,Cr,11, ,2083.85,0.13, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
12,12,24,31,Cr,12, ,2086.1,0.12, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
13,13,24,31,Cr,13, ,2269.24,0.18, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,24,31,Cr,14, ,2314.2,0.7, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,24,31,Cr,15, ,2320.0,10, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
16,16,24,31,Cr,16, ,2355.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,24,31,Cr,17, ,2390.4,0.12, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
18,18,24,31,Cr,18, ,2545.0,10, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,24,31,Cr,19, ,2596.0,10, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,20,24,31,Cr,20, ,2686.99,0.14, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,21,24,31,Cr,21, ,2710.0,10, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,22,24,31,Cr,22, ,2755.49,0.15, ,6.5,1,3.5,LT, ,ps,0.0000000000035, , , , , , , , , , , , , , , ,2021-06-10
23,23,24,31,Cr,23, ,2874.0,10, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,24,24,31,Cr,24, ,2880.36,0.13, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
25,25,24,31,Cr,25, ,2894.54,0.13, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,26,24,31,Cr,26, ,2988.7,0.7, ,6.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
27,27,24,31,Cr,27, ,3009.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,28,24,31,Cr,28, ,3017.0,10, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,24,31,Cr,29, ,3114.0,10, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,24,31,Cr,30, ,3145.0,10, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,24,31,Cr,31, ,3182.6,0.8, ,6.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,24,31,Cr,32, ,3200.0,10, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,24,31,Cr,33, ,3294.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,24,31,Cr,34, ,3306.22,0.2, ,7.5,1,2.1, ,14,ps,0.0000000000021,0.0000000000014, , , , , , , , , , , , , , ,2021-06-10
35,35,24,31,Cr,35, ,3351.0,10, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
36,36,24,31,Cr,36, ,3519.0,10, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
37,37,24,31,Cr,37, ,3574.0,10, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
38,38,24,31,Cr,38, ,3631.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,24,31,Cr,39, ,3696.0,10, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,24,31,Cr,40, ,3800.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,24,31,Cr,41, ,3810.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,24,31,Cr,42, ,3828.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,24,31,Cr,43, ,3852.0,10, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,24,31,Cr,44, ,3902.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,24,31,Cr,45, ,3938.0,10, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,24,31,Cr,46, ,4001.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,24,31,Cr,47, ,4005.4,0.2, ,8.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,24,31,Cr,48, ,4044.25,0.21, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,24,31,Cr,49, ,4059.0,10, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,24,31,Cr,50, ,4142.0,10, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,24,31,Cr,51, ,4151.6,0.5, ,8.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,24,31,Cr,52, ,4181.0,10, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,24,31,Cr,53, ,4276.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,24,31,Cr,54, ,4308.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
55,55,24,31,Cr,55, ,4382.0,10, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,24,31,Cr,56, ,4418.0,10, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
