,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,27,30,Co,0, ,0.0, , ,3.5,1,271.74, ,6,d,23478336,5184,EC,100, , , , , , , ,3/2,4.72, ,0.52, ,2021-06-10
1,1,27,30,Co,1, ,1223.98,0.04, ,4.5,1,54, ,5,fs,0.000000000000054,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
2,2,27,30,Co,2, ,1377.663,0.021, ,1.5,1,19, ,4,ps,0.000000000019,0.000000000004, , , , , , , , , ,3/2,3, ,0.22, ,2021-06-10
3,3,27,30,Co,3, ,1504.826,0.021, ,0.5,1,0.21, ,2,ns,0.00000000021,0.00000000002, , , , , , , , , , , , , , ,2021-06-10
4,4,27,30,Co,4, ,1689.6,0.5, ,5.5,1,0.24, ,2,ps,0.00000000000024,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
5,5,27,30,Co,5, ,1757.606,0.019, ,1.5,2,0.27, ,2,ps,0.00000000000027,0.00000000000002, , , , , , , , , ,3/2, , , , ,2021-06-10
6,6,27,30,Co,6, ,1897.4,0.03, ,3.5,2,110, ,10,fs,0.00000000000011,0.00000000000001, , , , , , , , , ,3/2, , , , ,2021-06-10
7,7,27,30,Co,7, ,1919.5,0.03, ,2.5,1,22, ,3,fs,0.000000000000022,0.000000000000003, , , , , , , , , , , , , , ,2021-06-10
8,8,27,30,Co,8, ,2133.0,5, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
9,9,27,30,Co,9, ,2133.06,0.05, ,2.5,2,0.34, ,6,ps,0.00000000000034,0.00000000000006, , , , , , , , , , , , , , ,2021-06-10
10,10,27,30,Co,10, ,2311.4,0.5, ,3.5,3,0.21, ,4,ps,0.00000000000021,0.00000000000004, , , , , , , , , ,3/2, , , , ,2021-06-10
11,11,27,30,Co,11, ,2479.0,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
12,12,27,30,Co,12, ,2486.1,0.6, ,4.5,2,59, ,8,fs,0.000000000000059,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
13,13,27,30,Co,13, ,2514.0,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,27,30,Co,14, ,2524.1,0.6, ,6.5,1,0.26, ,5,ps,0.00000000000026,0.00000000000005, , , , , , , , , , , , , , ,2021-06-10
15,15,27,30,Co,15, ,2559.8,0.6, ,5.5,1,0.45, ,8,ps,0.00000000000045,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
16,16,27,30,Co,16, ,2611.2,1, ,3.5,4,85, ,9,fs,0.000000000000085,0.000000000000009, , , , , , , , , , , , , , ,2021-06-10
17,17,27,30,Co,17, ,2614.5,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
18,18,27,30,Co,18, ,2723.0,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,27,30,Co,19, ,2730.98,0.04, ,2.5,1,91, ,12,fs,0.000000000000091,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
20,20,27,30,Co,20, ,2743.5,1.2, ,6.5,1,47, ,21,fs,0.000000000000047,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
21,21,27,30,Co,21, ,2804.293,0.022, ,2.5,1,37, ,7,fs,0.000000000000037,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
22,22,27,30,Co,22, ,2879.2,0.6, ,1.5,3,111, ,21,fs,0.000000000000111,0.000000000000021, , , , , , , , , , , , , , ,2021-06-10
23,23,27,30,Co,24, ,2982.05, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,24,27,30,Co,25, ,3108.16,0.04, ,1.5,1,54, ,12,fs,0.000000000000054,0.000000000000012, , , , , , , , , , , , , , ,2021-06-10
25,25,27,30,Co,26, ,3121.4,0.9, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,26,27,30,Co,27, ,3164.9,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
27,27,27,30,Co,28, ,3177.39,0.04, ,3.5,1,152, ,35,fs,0.000000000000152,0.000000000000035, , , , , , , , , , , , , , ,2021-06-10
28,28,27,30,Co,29, ,3184.2,1, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,27,30,Co,30, ,3246.3,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,27,30,Co,31, ,3262.7,0.7, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,27,30,Co,32, ,3272.2,1.1, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,27,30,Co,33, ,3296.0, , ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,27,30,Co,34, ,3343.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,27,30,Co,35, ,3356.7,0.7, ,1.5,4, , , , , , , , , , , , , , , ,3/2, , , , ,2021-06-10
35,35,27,30,Co,36, ,3365.0,5, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
36,36,27,30,Co,37, ,3393.7,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
37,37,27,30,Co,38, ,3431.0,2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
38,38,27,30,Co,39, ,3460.6,0.6, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,27,30,Co,40, ,3468.6,0.7, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,27,30,Co,41, ,3522.1,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,27,30,Co,42, ,3540.4,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,27,30,Co,43, ,3553.9,0.7, ,2.5,3, , , , , , , , , , , , , , , ,3/2, , , , ,2021-06-10
43,43,27,30,Co,44, ,3622.3,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,27,30,Co,45, ,3665.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,27,30,Co,46, ,3671.6,0.7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,27,30,Co,47, ,3681.3,1.1, ,3.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,27,30,Co,48, ,3701.1,1, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,27,30,Co,49, ,3719.7,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,27,30,Co,50, ,3722.0, , ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,27,30,Co,51, ,3728.0,20, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,27,30,Co,52, ,3762.0,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,27,30,Co,53, ,3769.6,1.3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,27,30,Co,54, ,3833.7,1.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,27,30,Co,55, ,3851.0,2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
55,55,27,30,Co,56, ,3854.2,0.6, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,27,30,Co,57, ,3901.1,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
57,57,27,30,Co,58, ,3909.2,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,58,27,30,Co,59, ,3918.1,1, ,3.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,27,30,Co,60, ,3921.0,20, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
60,60,27,30,Co,61, ,3973.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
61,61,27,30,Co,62, ,3990.9,0.7, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,27,30,Co,63, ,3999.5,1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
63,63,27,30,Co,64, ,4036.0,1.2, ,7.5,1,0.05, ,2,ps,0.00000000000005,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
