,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,26,33,Fe,0, ,0.0, , ,1.5,1,44.490, ,9,d,3843936,777.6,B-,100, , , , , , , , ,-0.3358, , , ,2021-06-10
1,1,26,33,Fe,1, ,287.023,0.019, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
2,2,26,33,Fe,2, ,472.87,0.09, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
3,3,26,33,Fe,3, ,568.81,0.2, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
4,4,26,33,Fe,4, ,570.87,0.04, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
5,5,26,33,Fe,5, ,613.05,0.16, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
6,6,26,33,Fe,6, ,642.8,0.3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
7,7,26,33,Fe,7, ,726.43,0.04, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
8,8,26,33,Fe,8, ,1023.14,0.07, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
9,9,26,33,Fe,9, ,1077.8,0.12, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
10,10,26,33,Fe,10, ,1162.09,0.04, ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
11,11,26,33,Fe,11, ,1211.32,0.11, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
12,12,26,33,Fe,12, ,1517.23,0.15, ,4.5,1,145, ,25,ps,0.000000000145,0.000000000025, , , , , , , , , , , , , , ,2021-06-10
13,13,26,33,Fe,13, ,1569.9,0.08, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,26,33,Fe,14, ,1599.09,0.13, ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,26,33,Fe,15, ,1648.0,10, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
16,16,26,33,Fe,16, ,1749.88,0.15, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,26,33,Fe,17, ,1918.91,0.05, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
18,18,26,33,Fe,18, ,1937.1,1.3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,26,33,Fe,19, ,1961.97,0.06, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
20,20,26,33,Fe,20, ,2161.9,0.9, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
21,21,26,33,Fe,21, ,2277.9,0.4, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,22,26,33,Fe,22, ,2312.19,0.21, ,6.5,1,4.7, ,6,ps,0.0000000000047,0.0000000000006, , , , , , , , , , , , , , ,2021-06-10
23,23,26,33,Fe,23, ,2322.4,0.6, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,24,26,33,Fe,24, ,2348.2,0.4, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
25,25,26,33,Fe,25, ,2349.0,0.9, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
26,26,26,33,Fe,26, ,2390.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
27,27,26,33,Fe,27, ,2415.04,0.17, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,28,26,33,Fe,28, ,2447.28,0.06, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,26,33,Fe,29, ,2484.03,0.24, ,6.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,26,33,Fe,30, ,2493.8,0.4, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
31,31,26,33,Fe,31, ,2569.9,0.6, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,26,33,Fe,32, ,2735.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,26,33,Fe,33, ,2756.9,0.7, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,26,33,Fe,34, ,2810.18,0.16, ,0.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
35,35,26,33,Fe,35, ,2856.0,10, ,0.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
36,36,26,33,Fe,36, ,2947.0,10, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
37,37,26,33,Fe,37, ,2990.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
38,38,26,33,Fe,38, ,3020.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,26,33,Fe,39, ,3052.1,0.4, ,7.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,26,33,Fe,40, ,3070.6,0.4, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
41,41,26,33,Fe,41, ,3104.4,0.3, ,1.5,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,26,33,Fe,42, ,3159.67,0.16, ,1.5,7, , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,26,33,Fe,43, ,3179.6,0.2, ,6.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,26,33,Fe,44, ,3194.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,26,33,Fe,45, ,3225.0, , ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,26,33,Fe,46, ,3239.6,0.3, ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,26,33,Fe,47, ,3280.0,10, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,26,33,Fe,48, ,3311.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,26,33,Fe,49, ,3384.3,0.7, ,1.5,8, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,26,33,Fe,50, ,3429.68,0.19, ,7.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,26,33,Fe,51, ,3452.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,26,33,Fe,52, ,3543.0, , ,2.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,26,33,Fe,53, ,3558.88,0.23, ,7.5,1,0.4,GT, ,ps,0.0000000000004, , , , , , , , , , , , , , , ,2021-06-10
54,54,26,33,Fe,54, ,3565.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
55,55,26,33,Fe,55, ,3600.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,26,33,Fe,56, ,3639.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
57,57,26,33,Fe,57, ,3668.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,58,26,33,Fe,58, ,3734.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,26,33,Fe,59, ,3738.61,0.23, ,8.5,1,0.3,LT, ,ps,0.0000000000003, , , , , , , , , , , , , , , ,2021-06-10
60,60,26,33,Fe,60, ,3824.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
61,61,26,33,Fe,61, ,3872.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,26,33,Fe,62, ,3921.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
63,63,26,33,Fe,63, ,3989.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
64,64,26,33,Fe,64, ,4045.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
65,65,26,33,Fe,65, ,4083.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
66,66,26,33,Fe,66, ,4124.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
67,67,26,33,Fe,67, ,4141.9,0.6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
68,68,26,33,Fe,68, ,4159.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
69,69,26,33,Fe,69, ,4181.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
70,70,26,33,Fe,70, ,4224.0,10, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
71,71,26,33,Fe,71, ,4273.3,0.4, ,8.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
72,72,26,33,Fe,72, ,4329.9,1.2, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
