,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,28,33,Ni,0, ,0.0, , ,1.5,1,STABLE, , , , , , , , , , , , , , , ,-0.75002, ,0.162, ,2021-06-10
1,1,28,33,Ni,1, ,67.414,0.007, ,2.5,1,5.34, ,16,ns,0.00000000534,0.00000000016, , , , , , , , , , ,0.48, ,-0.2, ,2021-06-10
2,2,28,33,Ni,2, ,282.958,0.007, ,0.5,1,23, ,3,ps,0.000000000023,0.000000000003, , , , , , , , , , , , , , ,2021-06-10
3,3,28,33,Ni,3, ,656.015,0.007, ,0.5,2,17, ,4,ps,0.000000000017,0.000000000004, , , , , , , , , , , , , , ,2021-06-10
4,4,28,33,Ni,4, ,908.613,0.011, ,2.5,2,0.7, ,4,ps,0.0000000000007,0.0000000000004, , , , , , , , , , , , , , ,2021-06-10
5,5,28,33,Ni,5, ,917.5,0.7, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
6,6,28,33,Ni,6, ,1015.24,0.08, ,3.5,1,4.4, ,6,ps,0.0000000000044,0.0000000000006, , , , , , , , , , , , , , ,2021-06-10
7,7,28,33,Ni,7, ,1099.64,0.012, ,1.5,2,0.16, ,4,ps,0.00000000000016,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
8,8,28,33,Ni,8, ,1132.347,0.018, ,2.5,3,0.32, ,3,ps,0.00000000000032,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
9,9,28,33,Ni,9, ,1185.255,0.012, ,1.5,3,0.12, ,3,ps,0.00000000000012,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
10,10,28,33,Ni,10, ,1454.84,0.11, ,3.5,2,0.58, ,25,ps,0.00000000000058,0.00000000000025, , , , , , , , , , , , , , ,2021-06-10
11,11,28,33,Ni,11, ,1609.7,0.04, ,2.5,4,0.26, ,4,ps,0.00000000000026,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
12,12,28,33,Ni,12, ,1729.48,0.014, ,1.5,4,0.065, ,11,ps,0.000000000000065,0.000000000000011, , , , , , , , , , , , , , ,2021-06-10
13,13,28,33,Ni,13, ,1807.9,0.3, ,4.5,1,0.6, ,5,ps,0.0000000000006,0.0000000000005, , , , , , , , , , , , , , ,2021-06-10
14,14,28,33,Ni,14, ,1978.0,7, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,28,33,Ni,15, ,1987.73,0.19, ,4.5,2,0.51, ,18,ps,0.00000000000051,0.00000000000018, , , , , , , , , , , , , , ,2021-06-10
16,16,28,33,Ni,16, ,1998.08,0.08, ,2.5,5,0.045, ,7,ps,0.000000000000045,0.000000000000007, , , , , , , , , , , , , , ,2021-06-10
17,17,28,33,Ni,17, ,2018.3,0.4, ,3.5,3,0.12, ,+8-3,ps,0.00000000000012, , , , , , , , , , , , , , , ,2021-06-10
18,18,28,33,Ni,18, ,2121.48,0.19, ,4.5,1,0.40, ,+74-12,ps,0.0000000000004, , , , , , , , , , , , , , , ,2021-06-10
19,19,28,33,Ni,19, ,2123.918,0.017, ,0.5,3,0.044, ,15,ps,0.000000000000044,0.000000000000015, , , , , , , , , , , , , , ,2021-06-10
20,20,28,33,Ni,20, ,2129.0,0.3, ,5.5,1,2,GT, ,ps,0.000000000002, , , , , , , , , , , , , , , ,2021-06-10
21,21,28,33,Ni,21, ,2409.8,0.3, ,4.5,3,0.19, ,4,ps,0.00000000000019,0.00000000000004, , , , , , , , , , , , , , ,2021-06-10
22,22,28,33,Ni,22, ,2415.0,6, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,23,28,33,Ni,23, ,2465.0,6, ,3.5,4,0.236, ,+21-7,ps,0.000000000000236, , , , , , , , , , , , , , , ,2021-06-10
24,24,28,33,Ni,24, ,2530.0,4, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
