,Unnamed: 0,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
0,0,29,34,Cu,0, ,0.0, , ,1.5,1,STABLE, , , , , , , , , , , , , , , ,2.22329, ,-0.211, ,2021-06-10
1,1,29,34,Cu,1, ,669.93,0.04, ,0.5,1,0.198, ,6,ps,0.000000000000198,0.000000000000006, , , , , , , , , , , , , , ,2021-06-10
2,2,29,34,Cu,2, ,962.02,0.03, ,2.5,1,0.57, ,2,ps,0.00000000000057,0.00000000000002, , , , , , , , , , , , , , ,2021-06-10
3,3,29,34,Cu,3, ,1326.76,0.05, ,3.5,1,0.61, ,3,ps,0.00000000000061,0.00000000000003, , , , , , , , , , , , , , ,2021-06-10
4,4,29,34,Cu,4, ,1412.16,0.04, ,2.5,2,1.7, ,+59-10,ps,0.0000000000017, , , , , , , , , , , , , , , ,2021-06-10
5,5,29,34,Cu,5, ,1547.0,0.05, ,1.5,2,116, ,8,fs,0.000000000000116,0.000000000000008, , , , , , , , , , , , , , ,2021-06-10
6,6,29,34,Cu,6, ,1860.63,0.06, ,3.5,2,0.66, ,+20-12,ps,0.00000000000066, , , , , , , , , , , , , , , ,2021-06-10
7,7,29,34,Cu,7, ,1952.03,0.11, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
8,8,29,34,Cu,8, ,2012.92,0.11, ,1.5,3,33, ,5,fs,0.000000000000033,0.000000000000005, , , , , , , , , , , , , , ,2021-06-10
9,9,29,34,Cu,9, ,2062.45,0.08, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
10,10,29,34,Cu,10, ,2081.32,0.22, ,2.5,1,126, ,17,fs,0.000000000000126,0.000000000000017, , , , , , , , , , , , , , ,2021-06-10
11,11,29,34,Cu,11, ,2092.13,0.1, ,3.5,3,0.24, ,8,ps,0.00000000000024,0.00000000000008, , , , , , , , , , , , , , ,2021-06-10
12,12,29,34,Cu,12, ,2207.84,0.08, ,4.5,1,0.31, ,+10-5,ps,0.00000000000031, , , , , , , , , , , , , , , ,2021-06-10
13,13,29,34,Cu,13, ,2336.54,0.12, ,2.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
14,14,29,34,Cu,14, ,2337.4,0.6, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
15,15,29,34,Cu,15, ,2404.66,0.07, ,3.5,4,0.12, ,+4-3,ps,0.00000000000012, , , , , , , , , , , , , , , ,2021-06-10
16,16,29,34,Cu,16, ,2430.37,0.07, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
17,17,29,34,Cu,17, ,2497.19,0.09, ,1.5,1,103, ,14,fs,0.000000000000103,0.000000000000014, , , , , , , , , , , , , , ,2021-06-10
18,18,29,34,Cu,18, ,2503.5,0.08, ,3.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
19,19,29,34,Cu,19, ,2505.08,0.08, ,4.5,1,1.5, ,+3-2,ps,0.0000000000015, , , , , , , , , , , , , , , ,2021-06-10
20,20,29,34,Cu,20, ,2511.06,0.06, ,2.5,1,0.15, ,+5-3,ps,0.00000000000015, , , , , , , , , , , , , , , ,2021-06-10
21,21,29,34,Cu,21, ,2535.83,0.07, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
22,22,29,34,Cu,22, ,2547.28,0.09, ,4.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
23,23,29,34,Cu,23, ,2617.95,0.1, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
24,24,29,34,Cu,24, ,2630.65,0.08, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
25,25,29,34,Cu,25, ,2672.93,0.08, ,3.5,1,66, ,+19-14,fs,0.000000000000066, , , , , , , , , , , , , , , ,2021-06-10
26,26,29,34,Cu,26, ,2676.84,0.13, ,5.5,1,0.58, ,15,ps,0.00000000000058,0.00000000000015, , , , , , , , , , , , , , ,2021-06-10
27,27,29,34,Cu,27, ,2678.43,0.08, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
28,28,29,34,Cu,28, ,2682.27,0.08, ,1.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
29,29,29,34,Cu,29, ,2696.66,0.13, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
30,30,29,34,Cu,30, ,2716.47,0.09, ,2.5,1,0.2,GT, ,ps,0.0000000000002, , , , , , , , , , , , , , , ,2021-06-10
31,31,29,34,Cu,31, ,2764.09,0.07, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
32,32,29,34,Cu,32, ,2776.36,0.08, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
33,33,29,34,Cu,33, ,2780.23,0.21, ,1.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
34,34,29,34,Cu,34, ,2808.1,0.08, ,1.5,5,0.18,GT, ,ps,0.00000000000018, , , , , , , , , , , , , , , ,2021-06-10
35,35,29,34,Cu,35, ,2810.0, , ,1.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
36,36,29,34,Cu,36, ,2818.87,0.2, ,3.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
37,37,29,34,Cu,37, ,2832.37,0.17, ,3.5,3,200, ,+55-39,fs,0.0000000000002, , , , , , , , , , , , , , , ,2021-06-10
38,38,29,34,Cu,38, ,2836.75,0.07, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
39,39,29,34,Cu,39, ,2847.0,5, ,3.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
40,40,29,34,Cu,40, ,2857.9,0.3, ,1.5,3,0.4, ,+15-2,ps,0.0000000000004, , , , , , , , , , , , , , , ,2021-06-10
41,41,29,34,Cu,41, ,2865.48,0.08, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
42,42,29,34,Cu,42, ,2888.9,0.4, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
43,43,29,34,Cu,43, ,2911.08,0.13, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
44,44,29,34,Cu,44, ,2957.29,0.07, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
45,45,29,34,Cu,45, ,2977.47,0.15, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
46,46,29,34,Cu,46, ,3032.7,0.07, ,1.5,4, , , , , , , , , , , , , , , , , , , , ,2021-06-10
47,47,29,34,Cu,47, ,3042.59,0.08, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
48,48,29,34,Cu,48, ,3095.24,0.09, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
49,49,29,34,Cu,49, ,3101.4,0.4, ,1.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
50,50,29,34,Cu,50, ,3128.1,1.1, ,0.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
51,51,29,34,Cu,51, ,3183.0,8, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
52,52,29,34,Cu,52, ,3208.0,8, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
53,53,29,34,Cu,53, ,3210.0,20, ,0.5,3, , , , , , , , , , , , , , , , , , , , ,2021-06-10
54,54,29,34,Cu,54, ,3210.0, , ,4.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
55,55,29,34,Cu,55, ,3225.5,0.5, ,2.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
56,56,29,34,Cu,56, ,3248.0,3, ,2.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
57,57,29,34,Cu,57, ,3263.7,0.5, ,0.5,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
58,58,29,34,Cu,58, ,3280.0, , ,3.5,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
59,59,29,34,Cu,59, ,3291.0,3, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
60,60,29,34,Cu,60, ,3292.6,0.6, ,0.5, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
61,61,29,34,Cu,61, ,3294.83,0.1, ,5.5,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
62,62,29,34,Cu,62, ,3297.69,0.11, ,1.5,1,16, ,+16-8,fs,0.000000000000016, , , , , , , , , , , , , , , ,2021-06-10
