,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,30,33,Zn,0.0, ,1.5, ,38.47,5,m,2308.2,3,EC+B+,100, , , , , , , , ,-0.28164, ,0.29, 
2,2,30,33,Zn,192.92,0.04,2.5, ,0.53,12,ns,0.00000000053,0.00000000012, , , , , , , , , , , , , , 
3,3,30,33,Zn,247.84,0.05,0.5, ,33,8,ps,0.000000000033,0.000000000008, , , , , , , , , , , , , , 
4,4,30,33,Zn,627.11,0.06,0.5, , , , , , , , , , , , , , , , , , , , 
5,5,30,33,Zn,637.07,0.06,1.5,GT,0.53, ,ps,0.00000000000053, , , , , , , , , , , , , , , 
6,6,30,33,Zn,650.1,0.04,2.5,GT,0.28, ,ps,0.00000000000028, , , , , , , , , , , , , , , 
7,7,30,33,Zn,1023.22,0.05,1.5,GT,3.5, ,ps,0.0000000000035, , , , , , , , , , , , , , , 
8,8,30,33,Zn,1063.34,0.07,3.5,GT,0.29, ,ps,0.00000000000029, , , , , , , , , , , , , , , 
9,9,30,33,Zn,1065.28,0.12,0.5,GT,0.22, ,ps,0.00000000000022, , , , , , , , , , , , , , , 
10,10,30,33,Zn,1206.38,0.07,3.5,GT,0.42, ,ps,0.00000000000042, , , , , , , , , , , , , , , 
11,11,30,33,Zn,1284.26,0.06,2.5,GT,0.40, ,ps,0.0000000000004, , , , , , , , , , , , , , , 
12,12,30,33,Zn,1395.44,0.1,1.5, ,0.097,21,ps,0.000000000000097,0.000000000000021, , , , , , , , , , , , , , 
13,13,30,33,Zn,1420.0, ,1.5, , , , , , , , , , , , , , , , , , , , 
14,14,30,33,Zn,1436.26,0.11,4.5, ,0.69,21,ps,0.00000000000069,0.00000000000021, , , , , , , , , , , , , , 
15,15,30,33,Zn,1664.86,0.09,3.5, ,0.24,+6-5,ps,0.00000000000024, , , , , , , , , , , , , , , 
16,16,30,33,Zn,1691.22,0.09,2.5, ,0.069,+14-12,ps,0.000000000000069, , , , , , , , , , , , , , , 
17,17,30,33,Zn,1702.96,0.14,4.5, ,32,4,ps,0.000000000032,0.000000000004, , , , , , , , , , , , , , 
18,18,30,33,Zn,1704.0,15,3.5, , , , , , , , , , , , , , , , , , , , 
19,19,30,33,Zn,1860.84,0.14,4.5, ,0.43,+16-11,ps,0.00000000000043, , , , , , , , , , , , , , , 
20,20,30,33,Zn,1909.26,0.14,1.5,GT,0.28, ,ps,0.00000000000028, , , , , , , , , , , , , , , 
21,21,30,33,Zn,1978.4,0.19,0.5, ,0.19,+7-5,ps,0.00000000000019, , , , , , , , , , , , , , , 
22,22,30,33,Zn,2050.42,0.19,4.5,GT,0.31, ,ps,0.00000000000031, , , , , , , , , , , , , , , 
23,23,30,33,Zn,2158.1,0.22,1.5, ,0.028,+14-10,ps,0.000000000000028, , , , , , , , , , , , , , , 
24,24,30,33,Zn,2233.3,0.23,5.5,GT,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , 
25,25,30,33,Zn,2249.2,0.4,0.5, ,0.12,3,ps,0.00000000000012,0.00000000000003, , , , , , , , , , , , , , 
26,26,30,33,Zn,2261.53,0.17,1.5, ,0.07,+3-2,ps,0.00000000000007, , , , , , , , , , , , , , , 
27,27,30,33,Zn,2288.31,0.17,3.5,GT,0.21, ,ps,0.00000000000021, , , , , , , , , , , , , , , 
28,28,30,33,Zn,2291.46,0.15,1.5, ,0.06,+3-2,ps,0.00000000000006, , , , , , , , , , , , , , , 
29,29,30,33,Zn,2293.0,0.3,1.5, ,0.030,+15-10,ps,0.00000000000003, , , , , , , , , , , , , , , 
30,30,30,33,Zn,2318.8,0.4,5.5, ,0.35,9,ps,0.00000000000035,0.00000000000009, , , , , , , , , , , , , , 
31,31,30,33,Zn,2377.86,0.24,4.5,GT,1.39, ,ps,0.00000000000139, , , , , , , , , , , , , , , 
32,32,30,33,Zn,2403.28,0.19,0.5, ,0.11,+7-4,ps,0.00000000000011, , , , , , , , , , , , , , , 
33,33,30,33,Zn,2521.14,0.15,1.5, , , , , , , , , , , , , , , , , , , , 
34,34,30,33,Zn,2584.5,0.3,6.5, ,3.54,28,ps,0.00000000000354,0.00000000000028, , , , , , , , , , , , , , 
35,35,30,33,Zn,2600.1,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
36,36,30,33,Zn,2609.1,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,30,33,Zn,2634.53,0.22,3.5, ,0.19,5,ps,0.00000000000019,0.00000000000005, , , , , , , , , , , , , , 
38,38,30,33,Zn,2690.9,1,0.5, , , , , , , , , , , , , , , , , , , , 
39,39,30,33,Zn,2750.7,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
40,40,30,33,Zn,2826.2,0.4,5.5, ,291,90,fs,0.000000000000291,0.00000000000009, , , , , , , , , , , , , , 
41,41,30,33,Zn,2850.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
42,42,30,33,Zn,2911.9,0.5,4.5,GT,1.4, ,ps,0.0000000000014, , , , , , , , , , , , , , , 
43,43,30,33,Zn,2933.5,0.5,6.5, ,215,62,fs,0.000000000000215,0.000000000000062, , , , , , , , , , , , , , 
44,44,30,33,Zn,2940.0, ,3.5, , , , , , , , , , , , , , , , , , , , 
