,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,31,40,Ga,0, ,1.5, ,STABLE, , , , , , , , , , , , , , ,2.562266, ,0.107, 
2,2,31,40,Ga,389.94,0.03,0.5, ,0.40,+28-12,ps,0.0000000000004, , , , , , , , , , , , , , , 
3,3,31,40,Ga,487.36,0.03,2.5, , , , , , , , , , , , , , , , , , , , 
4,4,31,40,Ga,511.495,0.025,1.5, ,1.5,7,ps,0.0000000000015,0.0000000000007, , , , , , , , , , , , , , 
5,5,31,40,Ga,714, ,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,31,40,Ga,910.16,0.04,1.5, ,0.24,16,ps,0.00000000000024,0.00000000000016, , , , , , , , , , , , , , 
7,7,31,40,Ga,964.66,0.03,2.5, ,1.3,2,ps,0.0000000000013,0.0000000000002, , , , , , , , , , , , , , 
8,8,31,40,Ga,1107.51,0.04,3.5, ,0.58,11,ps,0.00000000000058,0.00000000000011, , , , , , , , , , , , , , 
9,9,31,40,Ga,1109.31,0.2,0.5, ,95,12,fs,0.000000000000095,0.000000000000012, , , , , , , , , , , , , , 
10,10,31,40,Ga,1395.05,0.05,3.5, ,0.79,8,ps,0.00000000000079,0.00000000000008, , , , , , , , , , , , , , 
11,11,31,40,Ga,1475.96,0.04,2.5,GT,0.6, ,ps,0.0000000000006, , , , , , , , , , , , , , , 
12,12,31,40,Ga,1493.7,0.06,4.5, ,154,15,ps,0.000000000154,0.000000000015, , , , , , , , , , , , , , 
13,13,31,40,Ga,1498.39,0.07,4.5, , , , , , , , , , , , , , , , , , , , 
14,14,31,40,Ga,1631.4,0.05,1.5, ,0.15,+12-6,ps,0.00000000000015, , , , , , , , , , , , , , , 
15,15,31,40,Ga,1699.25,0.08,0.5,GT,0.25, ,ps,0.00000000000025, , , , , , , , , , , , , , , 
16,16,31,40,Ga,1719.5,0.05,2.5, ,0.10,+5-2,ps,0.0000000000001, , , , , , , , , , , , , , , 
17,17,31,40,Ga,1752.32,0.05,1.5, ,0.26,+24-10,ps,0.00000000000026, , , , , , , , , , , , , , , 
18,18,31,40,Ga,1905.36,0.05,2.5, ,0.24,+11-6,ps,0.00000000000024, , , , , , , , , , , , , , , 
19,19,31,40,Ga,1941.65,0.06,1.5, , , , , , , , , , , , , , , , , , , , 
20,20,31,40,Ga,1995,7,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,31,40,Ga,2064.06,0.24,1.5, ,82,40,fs,0.000000000000082,0.00000000000004, , , , , , , , , , , , , , 
22,22,31,40,Ga,2069.3,0.4,5.5, , , , , , , , , , , , , , , , , , , , 
23,23,31,40,Ga,2082.04,0.21,6.5, , , , , , , , , , , , , , , , , , , , 
24,24,31,40,Ga,2134.12,0.05,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,31,40,Ga,2191,3,3.5, , , , , , , , , , , , , , , , , , , , 
26,26,31,40,Ga,2247.17,0.07,3.5, ,0.021,+6-5,ps,0.000000000000021, , , , , , , , , , , , , , , 
27,27,31,40,Ga,2294.39,0.23,0.5, , , , , , , , , , , , , , , , , , , , 
