,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,33,42,As,0, ,1.5, ,STABLE, , , , , , , , , , , , , , ,1.439475, ,0.314, 
2,2,33,42,As,198.6063,0.0008,0.5, ,885,30,ps,0.000000000885,0.00000000003, , , , , , , , , , , , , , 
3,3,33,42,As,264.6581,0.0006,1.5, ,11.2,3,ps,0.0000000000112,0.0000000000003, , , , , , , , , , ,0.98, , , 
4,4,33,42,As,279.5428,0.0008,2.5, ,273,3,ps,0.000000000273,0.000000000003, , , , , , , , , , ,0.918, ,0.3, 
5,5,33,42,As,303.9243,0.0008,4.5, ,17.62,23,ms,0.01762,0.00023,IT,100, , , , , , , , , , , , 
6,6,33,42,As,400.6583,0.0006,2.5, ,1.67,5,ns,0.00000000167,0.00000000005, , , , , , , , , , , , , , 
7,7,33,42,As,468.74,0.17,0.5, , , , , , , , , , , , , , , , , , , , 
8,8,33,42,As,572.41,0.03,2.5, ,2.9,3,ps,0.0000000000029,0.0000000000003, , , , , , , , , , , , , , 
9,9,33,42,As,585,7,0.5, , , , , , , , , , , , , , , , , , , , 
10,10,33,42,As,617.68,0.04,1.5, , , , , , , , , , , , , , , , , , , , 
11,11,33,42,As,821.62,0.15,3.5, ,3.0,3,ps,0.000000000003,0.0000000000003, , , , , , , , , , , , , , 
12,12,33,42,As,860,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,33,42,As,865.4,0.5,2.5, ,0.60,5,ps,0.0000000000006,0.00000000000005, , , , , , , , , , , , , , 
14,14,33,42,As,886.4,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
