,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,34,41,Se,0, ,2.5, ,119.78,5,d,10348992,4320,EC,100, , , , , , , , ,0.683, ,1.1, 
2,2,34,41,Se,112.3876,0.0012,3.5, ,0.69,12,ns,0.00000000069,0.00000000012, , , , , , , , , , , , , , 
3,3,34,41,Se,133.04,0.003,4.5, ,5.3,6,ns,0.0000000053,0.0000000006, , , , , , , , , , , , , , 
4,4,34,41,Se,286.5714,0.0021,1.5, ,1.29,15,ns,0.00000000129,0.00000000015, , , , , , , , , , , , , , 
5,5,34,41,Se,293.106,0.003,0.5, ,30.0,4,ns,0.00000003,0.0000000004, , , , , , , , , , , , , , 
6,6,34,41,Se,427.8853,0.0021,2.5, , , , , , , , , , , , , , , , , , , , 
7,7,34,41,Se,585.951,0.0023,1.5, , , , , , , , , , , , , , , , , , , , 
8,8,34,41,Se,610.716,0.003,0.5, , , , , , , , , , , , , , , , , , , , 
9,9,34,41,Se,628.431,0.0022,2.5, , , , , , , , , , , , , , , , , , , , 
10,10,34,41,Se,663.9569,0.0023,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,34,41,Se,747.6502,0.0025,3.5, , , , , , , , , , , , , , , , , , , , 
12,12,34,41,Se,761.14,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
13,13,34,41,Se,777.3231,0.0025,2.5, , , , , , , , , , , , , , , , , , , , 
14,14,34,41,Se,789.989,0.006,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,34,41,Se,814.32,0.11,5.5, , , , , , , , , , , , , , , , , , , , 
16,16,34,41,Se,839.893,0.003,1.5, , , , , , , , , , , , , , , , , , , , 
17,17,34,41,Se,859.537,0.003,1.5, , , , , , , , , , , , , , , , , , , , 
18,18,34,41,Se,895.274,0.003,1.5, , , , , , , , , , , , , , , , , , , , 
19,19,34,41,Se,934.1,0.09,6.5, , , , , , , , , , , , , , , , , , , , 
20,20,34,41,Se,953.297,0.01,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,34,41,Se,962.644,0.003,1.5, , , , , , , , , , , , , , , , , , , , 
22,22,34,41,Se,1003.846,0.006,2.5, ,0.054,+29-18,ps,0.000000000000054, , , , , , , , , , , , , , , 
23,23,34,41,Se,1020.47,0.009,1.5, , , , , , , , , , , , , , , , , , , , 
24,24,34,41,Se,1047.187,0.008,3.5, ,0.11,+10-3,ps,0.00000000000011, , , , , , , , , , , , , , , 
25,25,34,41,Se,1066.39,0.2,0.5, , , , , , , , , , , , , , , , , , , , 
26,26,34,41,Se,1073.825,0.003,2.5, ,0.073,+45-24,ps,0.000000000000073, , , , , , , , , , , , , , , 
27,27,34,41,Se,1078.67,0.07,4.5, , , , , , , , , , , , , , , , , , , , 
28,28,34,41,Se,1087.12,0.17,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,34,41,Se,1088.15,0.22,3.5, ,0.2,+10-1,ps,0.0000000000002, , , , , , , , , , , , , , , 
30,30,34,41,Se,1144.46,0.018,2.5, ,0.09,+6-3,ps,0.00000000000009, , , , , , , , , , , , , , , 
31,31,34,41,Se,1162.3,0.3,4.5, , , , , , , , , , , , , , , , , , , , 
32,32,34,41,Se,1181.86,0.18,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,34,41,Se,1184.189,0.005,2.5, , , , , , , , , , , , , , , , , , , , 
34,34,34,41,Se,1189.2,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
35,35,34,41,Se,1198.535,0.004,2.5, ,0.13,+17-6,ps,0.00000000000013, , , , , , , , , , , , , , , 
36,36,34,41,Se,1245.245,0.007,1.5, ,0.25,+69-10,ps,0.00000000000025, , , , , , , , , , , , , , , 
37,37,34,41,Se,1259.94,0.24,0.5, ,0.044,+18-12,ps,0.000000000000044, , , , , , , , , , , , , , , 
38,38,34,41,Se,1301.707,0.017,3.5, ,0.14,+10-5,ps,0.00000000000014, , , , , , , , , , , , , , , 
39,39,34,41,Se,1369,15,4.5, , , , , , , , , , , , , , , , , , , , 
40,40,34,41,Se,1374.513,0.018,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,34,41,Se,1380.36,0.21,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,34,41,Se,1406.69,0.2,3.5, , , , , , , , , , , , , , , , , , , , 
43,43,34,41,Se,1431.96,0.06,0.5, , , , , , , , , , , , , , , , , , , , 
44,44,34,41,Se,1433,5,0.5, , , , , , , , , , , , , , , , , , , , 
45,45,34,41,Se,1439,0.4,3.5, ,0.037,+13-8,ps,0.000000000000037, , , , , , , , , , , , , , , 
46,46,34,41,Se,1454.676,0.018,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,34,41,Se,1456.64,0.22,2.5, ,0.19,+18-7,ps,0.00000000000019, , , , , , , , , , , , , , , 
48,48,34,41,Se,1484,15,3.5, , , , , , , , , , , , , , , , , , , , 
49,49,34,41,Se,1487.53,0.09,5.5, , , , , , , , , , , , , , , , , , , , 
50,50,34,41,Se,1491.45,0.13,3.5, ,0.10,+6-3,ps,0.0000000000001, , , , , , , , , , , , , , , 
51,51,34,41,Se,1550.12,0.2,4.5, ,0.064,+21-17,ps,0.000000000000064, , , , , , , , , , , , , , , 
52,52,34,41,Se,1551,5,2.5, , , , , , , , , , , , , , , , , , , , 
53,53,34,41,Se,1560.89,0.014,3.5, ,0.083,+31-21,ps,0.000000000000083, , , , , , , , , , , , , , , 
54,54,34,41,Se,1589.533,0.013,2.5, ,0.050,+15-8,ps,0.00000000000005, , , , , , , , , , , , , , , 
55,55,34,41,Se,1603,5,2.5, , , , , , , , , , , , , , , , , , , , 
56,56,34,41,Se,1628.43,0.23,6.5, , , , , , , , , , , , , , , , , , , , 
57,57,34,41,Se,1652.76,0.08,2.5, ,0.026,+14-7,ps,0.000000000000026, , , , , , , , , , , , , , , 
58,58,34,41,Se,1667.77,0.18,2.5, ,0.037,+18-12,ps,0.000000000000037, , , , , , , , , , , , , , , 
59,59,34,41,Se,1673.37,0.08,1.5, , , , , , , , , , , , , , , , , , , , 
60,60,34,41,Se,1740.96,0.13,7.5, ,0.25,5,ps,0.00000000000025,0.00000000000005, , , , , , , , , , , , , , 
61,61,34,41,Se,1764,10,3.5, , , , , , , , , , , , , , , , , , , , 
62,62,34,41,Se,1784,5,0.5, , , , , , , , , , , , , , , , , , , , 
63,63,34,41,Se,1802.08,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
64,64,34,41,Se,1810.71,0.09,1.5, , , , , , , , , , , , , , , , , , , , 
65,65,34,41,Se,1894.98,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
66,66,34,41,Se,1905.21,0.1,6.5, , , , , , , , , , , , , , , , , , , , 
67,67,34,41,Se,1910.84,0.21,8.5, ,0.30,6,ps,0.0000000000003,0.00000000000006, , , , , , , , , , , , , , 
68,68,34,41,Se,1912.3,2,0.5, , , , , , , , , , , , , , , , , , , , 
69,69,34,41,Se,1913,20,1.5, , , , , , , , , , , , , , , , , , , , 
70,70,34,41,Se,1943.35,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
71,71,34,41,Se,1958.35,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
72,72,34,41,Se,1986.04,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
73,73,34,41,Se,2030.37,0.12,2.5, , , , , , , , , , , , , , , , , , , , 
74,74,34,41,Se,2072,10,0.5, , , , , , , , , , , , , , , , , , , , 
75,75,34,41,Se,2093,10,0.5, , , , , , , , , , , , , , , , , , , , 
76,76,34,41,Se,2119,10,0.5, , , , , , , , , , , , , , , , , , , , 
77,77,34,41,Se,2159,10,0.5, , , , , , , , , , , , , , , , , , , , 
78,78,34,41,Se,2166.7,0.1,2.5, , , , , , , , , , , , , , , , , , , , 
79,79,34,41,Se,2235,10,0.5, , , , , , , , , , , , , , , , , , , , 
80,80,34,41,Se,2242.1,0.16,0.5, , , , , , , , , , , , , , , , , , , , 
81,81,34,41,Se,2271.2,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
82,82,34,41,Se,2297,10,0.5, , , , , , , , , , , , , , , , , , , , 
83,83,34,41,Se,2349,10,2.5, , , , , , , , , , , , , , , , , , , , 
84,84,34,41,Se,2390.93,0.12,7.5, , , , , , , , , , , , , , , , , , , , 
85,85,34,41,Se,2437,10,2.5, , , , , , , , , , , , , , , , , , , , 
86,86,34,41,Se,2456.44,0.06,2.5, , , , , , , , , , , , , , , , , , , , 
87,87,34,41,Se,2519,10,0.5, , , , , , , , , , , , , , , , , , , , 
88,88,34,41,Se,2565.39,0.06,0.5, , , , , , , , , , , , , , , , , , , , 
89,89,34,41,Se,2573,25,1.5, , , , , , , , , , , , , , , , , , , , 
90,90,34,41,Se,2595.77,0.25,8.5, , , , , , , , , , , , , , , , , , , , 
91,91,34,41,Se,2597.77,0.09,2.5, , , , , , , , , , , , , , , , , , , , 
92,92,34,41,Se,2631.8,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
93,93,34,41,Se,2670,25,0.5, , , , , , , , , , , , , , , , , , , , 
94,94,34,41,Se,2713,10,2.5, , , , , , , , , , , , , , , , , , , , 
95,95,34,41,Se,2737.42,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
96,96,34,41,Se,2766.03,0.23,9.5, ,0.18,3,ps,0.00000000000018,0.00000000000003, , , , , , , , , , , , , , 
97,97,34,41,Se,2782.09,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
98,98,34,41,Se,2824,10,0.5, , , , , , , , , , , , , , , , , , , , 
99,99,34,41,Se,2840.42,0.12,8.5, ,0.43,20,ps,0.00000000000043,0.0000000000002, , , , , , , , , , , , , , 
100,100,34,41,Se,2871.71,0.14,8.5, ,0.48,21,ps,0.00000000000048,0.00000000000021, , , , , , , , , , , , , , 
101,101,34,41,Se,2887.19,0.07,0.5, , , , , , , , , , , , , , , , , , , , 
102,102,34,41,Se,2932,10,0.5, , , , , , , , , , , , , , , , , , , , 
103,103,34,41,Se,2940.93,0.12,2.5, , , , , , , , , , , , , , , , , , , , 
104,104,34,41,Se,3018.5,0.3,10.5, ,0.23,6,ps,0.00000000000023,0.00000000000006, , , , , , , , , , , , , , 
105,105,34,41,Se,3020,10,2.5, , , , , , , , , , , , , , , , , , , , 
106,106,34,41,Se,3101,10,2.5, , , , , , , , , , , , , , , , , , , , 
107,107,34,41,Se,3152.61,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
108,108,34,41,Se,3170,10,2.5, , , , , , , , , , , , , , , , , , , , 
109,109,34,41,Se,3182.32,0.09,0.5, , , , , , , , , , , , , , , , , , , , 
110,110,34,41,Se,3210.43,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
111,111,34,41,Se,3289.04,0.23,9.5, ,0.62,19,ps,0.00000000000062,0.00000000000019, , , , , , , , , , , , , , 
112,112,34,41,Se,3290,10,0.5, , , , , , , , , , , , , , , , , , , , 
113,113,34,41,Se,3305.92,0.15,9.5, , , , , , , , , , , , , , , , , , , , 
114,114,34,41,Se,3333.1,0.23,2.5, , , , , , , , , , , , , , , , , , , , 
115,115,34,41,Se,3340.11,0.25,0.5, , , , , , , , , , , , , , , , , , , , 
116,116,34,41,Se,3432.1,0.8,9.5, , , , , , , , , , , , , , , , , , , , 
117,117,34,41,Se,3457,10,0.5, , , , , , , , , , , , , , , , , , , , 
118,118,34,41,Se,3483,10,0.5, , , , , , , , , , , , , , , , , , , , 
119,119,34,41,Se,3619.37,0.15,0.5, , , , , , , , , , , , , , , , , , , , 
120,120,34,41,Se,3646.42,0.15,10.5, , , , , , , , , , , , , , , , , , , , 
121,121,34,41,Se,3746.4,0.3,11.5, ,0.17,3,ps,0.00000000000017,0.00000000000003, , , , , , , , , , , , , , 
122,122,34,41,Se,3767,10,0.5, , , , , , , , , , , , , , , , , , , , 
123,123,34,41,Se,3884.7,2,10.5, , , , , , , , , , , , , , , , , , , , 
124,124,34,41,Se,3895,10,0.5, , , , , , , , , , , , , , , , , , , , 
125,125,34,41,Se,3917,10,2.5, , , , , , , , , , , , , , , , , , , , 
126,126,34,41,Se,4079,10,0.5, , , , , , , , , , , , , , , , , , , , 
127,127,34,41,Se,4130,10,0.5, , , , , , , , , , , , , , , , , , , , 
128,128,34,41,Se,4199.3,0.4,12.5, ,0.10,2,ps,0.0000000000001,0.00000000000002, , , , , , , , , , , , , , 
129,129,34,41,Se,4255,10,0.5, , , , , , , , , , , , , , , , , , , , 
130,130,34,41,Se,4267.6,1,11.5, , , , , , , , , , , , , , , , , , , , 
131,131,34,41,Se,4296,10,0.5, , , , , , , , , , , , , , , , , , , , 
132,132,34,41,Se,4472.2,1.3,11.5, , , , , , , , , , , , , , , , , , , , 
133,133,34,41,Se,4601,10,0.5, , , , , , , , , , , , , , , , , , , , 
134,134,34,41,Se,4706.73,0.25,12.5, , , , , , , , , , , , , , , , , , , , 
135,135,34,41,Se,4726,10,2.5, , , , , , , , , , , , , , , , , , , , 
136,136,34,41,Se,4831.4,0.5,13.5, ,0.32,6,ps,0.00000000000032,0.00000000000006, , , , , , , , , , , , , , 
137,137,34,41,Se,5037.5,2.3,12.5, , , , , , , , , , , , , , , , , , , , 
138,138,34,41,Se,5476.1,0.5,14.5, ,0.11,2,ps,0.00000000000011,0.00000000000002, , , , , , , , , , , , , , 
139,139,34,41,Se,5585.9,1.6,13.5, , , , , , , , , , , , , , , , , , , , 
140,140,34,41,Se,6059.4,1.1,14.5, , , , , , , , , , , , , , , , , , , , 
141,141,34,41,Se,6172.6,0.8,15.5, , , , , , , , , , , , , , , , , , , , 
142,142,34,41,Se,6870.7,1.7,16.5, , , , , , , , , , , , , , , , , , , , 
143,143,34,41,Se,7649.7,1.5,16.5, , , , , , , , , , , , , , , , , , , , 
144,144,34,41,Se,7756,2,17.5, , , , , , , , , , , , , , , , , , , , 
145,145,34,41,Se,8027.52,0.1,0.5, , , , , , , , , , , , , , , , , , , , 
146,146,34,41,Se,8027.54,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
147,147,34,41,Se,8027.59,0.04,0.5, , , , , , , , , , , , , , , , , , , , 
148,148,34,41,Se,8028.61,0.07,0.5, , , , , , , , , , , , , , , , , , , , 
149,149,34,41,Se,8028.96,0.07,0.5, , , , , , , , , , , , , , , , , , , , 
150,150,34,41,Se,8029.21,0.07,0.5, , , , , , , , , , , , , , , , , , , , 
151,151,34,41,Se,8029.31,0.07,0.5, , , , , , , , , , , , , , , , , , , , 
152,152,34,41,Se,8029.87,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
153,153,34,41,Se,8034.72,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
154,154,34,41,Se,8448.3,2.5,18.5, , , , , , , , , , , , , , , , , , , , 
155,155,34,41,Se,10243,4,20.5, , , , , , , , , , , , , , , , , , , , 
