,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,35,44,Br,0, ,1.5, ,STABLE, , , , , , , , , , , , , , ,2.1064, ,0.313, 
2,2,35,44,Br,207.61,0.09,4.5, ,4.85,4,s,4.85,0.04,IT,100, , , , , , , , , , , , 
3,3,35,44,Br,217.1,0.06,2.5, ,47,4,ps,0.000000000047,0.000000000004, , , , , , , , , , ,1, , , 
4,4,35,44,Br,261.33,0.06,1.5, ,0.13,2,ns,0.00000000013,0.00000000002, , , , , , , , , , , , , , 
5,5,35,44,Br,306.51,0.06,1.5, ,4.23,7,ps,0.00000000000423,0.00000000000007, , , , , , , , , , , , , , 
6,6,35,44,Br,381.5,0.22,2.5,AP,0.5, ,ns,0.0000000005, , , , , , , , , , , , , , , 
7,7,35,44,Br,397.48,0.06,1.5, ,13,4,ps,0.000000000013,0.000000000004, , , , , , , , , , , , , , 
8,8,35,44,Br,523.11,0.08,2.5, ,1.91,6,ps,0.00000000000191,0.00000000000006, , , , , , , , , , ,2.8, , , 
9,9,35,44,Br,606.03,0.06,1.5, ,1.87,7,ps,0.00000000000187,0.00000000000007, , , , , , , , , , , , , , 
10,10,35,44,Br,761.31,0.07,3.5, ,1.50,4,ps,0.0000000000015,0.00000000000004, , , , , , , , , , ,1.9, , , 
11,11,35,44,Br,793.4,0.21,2.5, ,2.08,14,ps,0.00000000000208,0.00000000000014, , , , , , , , , , , , , , 
12,12,35,44,Br,796.83,0.11,6.5, ,9.0,21,ps,0.000000000009,0.0000000000021, , , , , , , , , , , , , , 
13,13,35,44,Br,831.97,0.06,1.5, ,0.20,4,ps,0.0000000000002,0.00000000000004, , , , , , , , , , , , , , 
14,14,35,44,Br,906.45,0.24,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,35,44,Br,940.1,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
16,16,35,44,Br,954.04,0.13,3.5, ,1.11,7,ps,0.00000000000111,0.00000000000007, , , , , , , , , , , , , , 
17,17,35,44,Br,954.7,1.8,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,35,44,Br,1032.4,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
19,19,35,44,Br,1038.8,1.8,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,35,44,Br,1068.29,0.09,4.5, , , , , , , , , , , , , , , , , , , , 
21,21,35,44,Br,1079.7,2.2,3.5, , , , , , , , , , , , , , , , , , , , 
22,22,35,44,Br,1112.5,0.11,1.5, , , , , , , , , , , , , , , , , , , , 
23,23,35,44,Br,1124,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
24,24,35,44,Br,1131.67,0.14,1.5, , , , , , , , , , , , , , , , , , , , 
25,25,35,44,Br,1176.7,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
26,26,35,44,Br,1180.68,0.13,5.5, ,0.55,14,ps,0.00000000000055,0.00000000000014, , , , , , , , , , , , , , 
27,27,35,44,Br,1189.4,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
28,28,35,44,Br,1221.6,0.6,3.5, , , , , , , , , , , , , , , , , , , , 
29,29,35,44,Br,1254.3,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,35,44,Br,1256.5,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
31,31,35,44,Br,1313.8,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
32,32,35,44,Br,1332.28,0.06,1.5, , , , , , , , , , , , , , , , , , , , 
33,33,35,44,Br,1332.92,0.17,4.5, , , , , , , , , , , , , , , , , , , , 
34,34,35,44,Br,1376, ,3.5, , , , , , , , , , , , , , , , , , , , 
35,35,35,44,Br,1390.4,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
36,36,35,44,Br,1470.8,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,35,44,Br,1491.7,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
38,38,35,44,Br,1495, ,3.5, , , , , , , , , , , , , , , , , , , , 
39,39,35,44,Br,1501.6,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
40,40,35,44,Br,1512.7,0.6,0.5, , , , , , , , , , , , , , , , , , , , 
41,41,35,44,Br,1512.8,0.6,0.5, , , , , , , , , , , , , , , , , , , , 
42,42,35,44,Br,1517.3,1.8,0.5, , , , , , , , , , , , , , , , , , , , 
43,43,35,44,Br,1561, ,0.5, , , , , , , , , , , , , , , , , , , , 
44,44,35,44,Br,1573.5,0.5,2.5, , , , , , , , , , , , , , , , , , , , 
45,45,35,44,Br,1613.1,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
46,46,35,44,Br,1621.6,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
47,47,35,44,Br,1682.77,0.15,6.5, , , , , , , , , , , , , , , , , , , , 
48,48,35,44,Br,1692.2,0.6,1.5, , , , , , , , , , , , , , , , , , , , 
49,49,35,44,Br,1713.53,0.1,5.5, ,0.55,17,ps,0.00000000000055,0.00000000000017, , , , , , , , , , , , , , 
