,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,37,46,Rb,0, ,2.5, ,86.2,1,d,7447680,8640,EC,100, , , , , , , , ,1.4249, ,0.196, 
2,2,37,46,Rb,5.2357,0.0008,1.5, ,71.5,8,ns,0.0000000715,0.0000000008, , , , , , , , , , , , , , 
3,3,37,46,Rb,42.078,0.002,4.5,GT,0.3, ,ms,0.0003, , , , , , , , , , , , , , , 
4,4,37,46,Rb,99.36,0.07,1.5, , , , , , , , , , , , , , , , , , , , 
5,5,37,46,Rb,389.42,0.06,1.5, ,8,3,ps,0.000000000008,0.000000000003, , , , , , , , , , , , , , 
6,6,37,46,Rb,423.612,0.016,2.5, ,74,+21-14,ps,0.000000000074, , , , , , , , , , , , , , , 
7,7,37,46,Rb,440, ,1.5, , , , , , , , , , , , , , , , , , , , 
8,8,37,46,Rb,466.7,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
9,9,37,46,Rb,564.59,0.05,3.5, ,1.0,+8-4,ps,0.000000000001, , , , , , , , , , , , , , , 
10,10,37,46,Rb,737.14,0.03,3.5, ,10.4,69,ps,0.0000000000104,0.0000000000069, , , , , , , , , , , , , , 
11,11,37,46,Rb,793.63,0.08,6.5, ,4.2,7,ps,0.0000000000042,0.0000000000007, , , , , , , , , , , , , , 
12,12,37,46,Rb,804.77,0.03,3.5, ,0.76,14,ps,0.00000000000076,0.00000000000014, , , , , , , , , , , , , , 
13,13,37,46,Rb,821.62,0.15,1.5, , , , , , , , , , , , , , , , , , , , 
14,14,37,46,Rb,853.98,0.11,3.5, , , , , , , , , , , , , , , , , , , , 
15,15,37,46,Rb,908,0.11,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,37,46,Rb,1010.34,0.14,3.5, , , , , , , , , , , , , , , , , , , , 
17,17,37,46,Rb,1035.14,0.1,3.5, , , , , , , , , , , , , , , , , , , , 
18,18,37,46,Rb,1037.92,0.12,5.5, ,0.55,21,ps,0.00000000000055,0.00000000000021, , , , , , , , , , , , , , 
19,19,37,46,Rb,1083.19,0.08,0.5, , , , , , , , , , , , , , , , , , , , 
20,20,37,46,Rb,1096.53,0.08,4.5, ,2.1,7,ps,0.0000000000021,0.0000000000007, , , , , , , , , , , , , , 
21,21,37,46,Rb,1102.66,0.13,4.5, ,0.83,21,ps,0.00000000000083,0.00000000000021, , , , , , , , , , , , , , 
22,22,37,46,Rb,1202.04,0.06,4.5, , , , , , , , , , , , , , , , , , , , 
23,23,37,46,Rb,1242.9,0.04,2.5, , , , , , , , , , , , , , , , , , , , 
24,24,37,46,Rb,1277.5,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
25,25,37,46,Rb,1296.07,0.1,3.5, , , , , , , , , , , , , , , , , , , , 
26,26,37,46,Rb,1343, ,2.5, , , , , , , , , , , , , , , , , , , , 
27,27,37,46,Rb,1366.1,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
28,28,37,46,Rb,1374.6,0.6,0.5, , , , , , , , , , , , , , , , , , , , 
29,29,37,46,Rb,1424.6,0.3,0.5, , , , , , , , , , , , , , , , , , , , 
30,30,37,46,Rb,1586.9,0.7,6.5, ,1.9,6,ps,0.0000000000019,0.0000000000006, , , , , , , , , , , , , , 
31,31,37,46,Rb,1597.68,0.1,3.5, , , , , , , , , , , , , , , , , , , , 
32,32,37,46,Rb,1606.2,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,37,46,Rb,1614.8,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
34,34,37,46,Rb,1629, ,2.5, , , , , , , , , , , , , , , , , , , , 
35,35,37,46,Rb,1649.4,0.5,3.5, , , , , , , , , , , , , , , , , , , , 
36,36,37,46,Rb,1695.45,0.13,4.5, , , , , , , , , , , , , , , , , , , , 
37,37,37,46,Rb,1749.33,0.08,3.5, , , , , , , , , , , , , , , , , , , , 
38,38,37,46,Rb,1753.64,0.16,5.5, ,0.69,14,ps,0.00000000000069,0.00000000000014, , , , , , , , , , , , , , 
39,39,37,46,Rb,1780.4,0.7,0.5, ,1.7,6,ps,0.0000000000017,0.0000000000006, , , , , , , , , , , , , , 
40,40,37,46,Rb,1798.56,0.08,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,37,46,Rb,1889.21,0.12,8.5, ,1.05,12,ps,0.00000000000105,0.00000000000012, , , , , , , , , , , , , , 
42,42,37,46,Rb,1916.41,0.19,3.5, , , , , , , , , , , , , , , , , , , , 
