,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,42,55,Mo,0, ,2.5, ,STABLE, , , , , , , , , , , , , , ,-0.9335, ,0.255, 
2,2,42,55,Mo,275,1,0.5, , , , , , , , , , , , , , , , , , , , 
3,3,42,55,Mo,320,1,14.5, , , , , , , , , , , , , , , , , , , , 
4,4,42,55,Mo,373,8,14.5, , , , , , , , , , , , , , , , , , , , 
5,5,42,55,Mo,480.91,0.06,1.5, ,12.9,19,ps,0.0000000000129,0.0000000000019, , , , , , , , , , , , , , 
6,6,42,55,Mo,528,5,2.5, , , , , , , , , , , , , , , , , , , , 
7,7,42,55,Mo,576,4,5.5, , , , , , , , , , , , , , , , , , , , 
8,8,42,55,Mo,658.13,0.05,3.5, ,2.0,5,ps,0.000000000002,0.0000000000005, , , , , , , , , , , , , , 
9,9,42,55,Mo,679.59,0.07,0.5, ,28.9,19,ps,0.0000000000289,0.0000000000019, , , , , , , , , , , , , , 
10,10,42,55,Mo,719.2,0.07,2.5, ,10,5,ps,0.00000000001,0.000000000005, , , , , , , , , , , , , , 
11,11,42,55,Mo,720.92,0.14,1.5, ,4,+5-3,ps,0.000000000004, , , , , , , , , , , , , , , 
12,12,42,55,Mo,753,5,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,42,55,Mo,787,5,5.5, , , , , , , , , , , , , , , , , , , , 
14,14,42,55,Mo,795,5,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,42,55,Mo,824,4,2.5, , , , , , , , , , , , , , , , , , , , 
16,16,42,55,Mo,888,0.1,0.5, ,2.7,9,ps,0.0000000000027,0.0000000000009, , , , , , , , , , , , , , 
17,17,42,55,Mo,993,5,2.5, , , , , , , , , , , , , , , , , , , , 
18,18,42,55,Mo,1004,1,14.5, , , , , , , , , , , , , , , , , , , , 
19,19,42,55,Mo,1024.45,0.08,3.5, ,0.55,12,ps,0.00000000000055,0.00000000000012, , , , , , , , , , , , , , 
20,20,42,55,Mo,1025,2,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,42,55,Mo,1092.63,0.14,1.5, ,1.3,+16-7,ps,0.0000000000013, , , , , , , , , , , , , , , 
22,22,42,55,Mo,1116,5,5.5, , , , , , , , , , , , , , , , , , , , 
23,23,42,55,Mo,1116.74,0.08,4.5, ,1.20,8,ps,0.0000000000012,0.00000000000008, , , , , , , , , , , , , , 
24,24,42,55,Mo,1120,10,2.5, , , , , , , , , , , , , , , , , , , , 
25,25,42,55,Mo,1134,3,4.5, , , , , , , , , , , , , , , , , , , , 
26,26,42,55,Mo,1222,3,2.5, , , , , , , , , , , , , , , , , , , , 
27,27,42,55,Mo,1264.9,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
28,28,42,55,Mo,1268,5,13.5, , , , , , , , , , , , , , , , , , , , 
29,29,42,55,Mo,1268.63,0.08,3.5, ,0.53,20,ps,0.00000000000053,0.0000000000002, , , , , , , , , , , , , , 
30,30,42,55,Mo,1270.7,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
31,31,42,55,Mo,1284.63,0.12,2.5, ,0.7,+5-6,ps,0.0000000000007, , , , , , , , , , , , , , , 
32,32,42,55,Mo,1321.5,0.9,1.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
33,33,42,55,Mo,1341,6,14.5, , , , , , , , , , , , , , , , , , , , 
34,34,42,55,Mo,1409.47,0.11,5.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
35,35,42,55,Mo,1436.91,0.15,5.5, ,2.5,3,ns,0.0000000025,0.0000000003, , , , , , , , , , , , , , 
36,36,42,55,Mo,1515.72,0.09,4.5, ,1.48,23,ps,0.00000000000148,0.00000000000023, , , , , , , , , , , , , , 
37,37,42,55,Mo,1516,0.4,1.5, , , , , , , , , , , , , , , , , , , , 
38,38,42,55,Mo,1544.89,0.21,5.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
39,39,42,55,Mo,1547.6,0.5,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,42,55,Mo,1550,8,2.5, , , , , , , , , , , , , , , , , , , , 
41,41,42,55,Mo,1556.6,0.7,3.5, , , , , , , , , , , , , , , , , , , , 
42,42,42,55,Mo,1563,4,2.5, , , , , , , , , , , , , , , , , , , , 
43,43,42,55,Mo,1565.6,0.3,3.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
44,44,42,55,Mo,1621,2,14.5, , , , , , , , , , , , , , , , , , , , 
45,45,42,55,Mo,1629.91,0.16,3.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
46,46,42,55,Mo,1697.9,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
47,47,42,55,Mo,1700.7,0.9,0.5, , , , , , , , , , , , , , , , , , , , 
48,48,42,55,Mo,1724.1,0.5,2.5, , , , , , , , , , , , , , , , , , , , 
49,49,42,55,Mo,1727.54,0.2,3.5, , , , , , , , , , , , , , , , , , , , 
50,50,42,55,Mo,1758.3,1,2.5, , , , , , , , , , , , , , , , , , , , 
51,51,42,55,Mo,1762.5,0.6,4.5, , , , , , , , , , , , , , , , , , , , 
52,52,42,55,Mo,1782.95,0.13,5.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
53,53,42,55,Mo,1786.5,0.5,4.5, , , , , , , , , , , , , , , , , , , , 
54,54,42,55,Mo,1790.3,0.5,1.5, , , , , , , , , , , , , , , , , , , , 
55,55,42,55,Mo,1847.8,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
56,56,42,55,Mo,1848,5,0.5, , , , , , , , , , , , , , , , , , , , 
57,57,42,55,Mo,1871,8,14.5, , , , , , , , , , , , , , , , , , , , 
58,58,42,55,Mo,1921,0.3,6.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
59,59,42,55,Mo,1930.2,0.3,2.5, , , , , , , , , , , , , , , , , , , , 
60,60,42,55,Mo,1939.93,0.14,2.5,LT,7, ,ns,0.000000007, , , , , , , , , , , , , , , 
61,61,42,55,Mo,1955,3,2.5, , , , , , , , , , , , , , , , , , , , 
62,62,42,55,Mo,1961.6,0.4,3.5, , , , , , , , , , , , , , , , , , , , 
63,63,42,55,Mo,1986.1,0.8,3.5, , , , , , , , , , , , , , , , , , , , 
64,64,42,55,Mo,1989.8,0.4,2.5, , , , , , , , , , , , , , , , , , , , 
65,65,42,55,Mo,2002,5,4.5, , , , , , , , , , , , , , , , , , , , 
66,66,42,55,Mo,2002.3,0.4,7.5, , , , , , , , , , , , , , , , , , , , 
67,67,42,55,Mo,2033.7,1,0.5, , , , , , , , , , , , , , , , , , , , 
68,68,42,55,Mo,2040.9,0.3,3.5, , , , , , , , , , , , , , , , , , , , 
69,69,42,55,Mo,2049.8,0.4,4.5, , , , , , , , , , , , , , , , , , , , 
70,70,42,55,Mo,2055,0.9,3.5, , , , , , , , , , , , , , , , , , , , 
71,71,42,55,Mo,2061,1,0.5, , , , , , , , , , , , , , , , , , , , 
72,72,42,55,Mo,2073.8,0.4,0.5, , , , , , , , , , , , , , , , , , , , 
73,73,42,55,Mo,2092.1,0.9,1.5, , , , , , , , , , , , , , , , , , , , 
