,Unnamed: 0,Unnamed: 0.1,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,0,Z,N,symbol,, unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,1,42,57,Mo,0.0, ,0.5, ,65.924,6,h,237326.4,21.6,B-,100, , , , , , , , ,0.375, , , 
2,2,2,42,57,Mo,97.785,0.003,2.5, ,15.5,2,us,0.0000155,0.0000002, , , , , , , , , , ,-0.775, , , 
3,3,3,42,57,Mo,235.508,0.008,3.5, ,0.87,15,ns,0.00000000087,0.00000000015, , , , , , , , , , , , , , 
4,4,4,42,57,Mo,351.22,0.06,1.5, ,0.23,17,ns,0.00000000023,0.00000000017, , , , , , , , , , , , , , 
5,5,5,42,57,Mo,525.193,0.016,0.5, , , , , , , , , , , , , , , , , , , , 
6,6,6,42,57,Mo,548.73,0.08,1.5, ,0.030,25,ns,0.00000000003,0.000000000025, , , , , , , , , , , , , , 
7,7,7,42,57,Mo,615.02,0.09,2.5, , , , , , , , , , , , , , , , , , , , 
8,8,8,42,57,Mo,631.78,0.12,1.5, , , , , , , , , , , , , , , , , , , , 
9,9,9,42,57,Mo,684.1,0.19,5.5, ,0.76,6,us,0.00000076,0.00000006, , , , , , , , , , , , , , 
10,10,10,42,57,Mo,698.09,0.16,3.5, , , , , , , , , , , , , , , , , , , , 
11,11,11,42,57,Mo,752.41,0.22,2.5, , , , , , , , , , , , , , , , , , , , 
12,12,12,42,57,Mo,754.18,0.2,3.5, , , , , , , , , , , , , , , , , , , , 
13,13,13,42,57,Mo,792.93,0.12,1.5, , , , , , , , , , , , , , , , , , , , 
14,14,14,42,57,Mo,798.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
15,15,15,42,57,Mo,865.87,0.12,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,16,42,57,Mo,890.58,0.14,1.5, , , , , , , , , , , , , , , , , , , , 
17,17,17,42,57,Mo,905.43,0.14,0.5, , , , , , , , , , , , , , , , , , , , 
18,18,18,42,57,Mo,905.99,0.19,4.5, , , , , , , , , , , , , , , , , , , , 
19,19,19,42,57,Mo,924.0,12,2.5, , , , , , , , , , , , , , , , , , , , 
20,20,20,42,57,Mo,944.61,0.14,2.5, , , , , , , , , , , , , , , , , , , , 
21,21,21,42,57,Mo,952.0, ,0.5, , , , , , , , , , , , , , , , , , , , 
22,22,22,42,57,Mo,1025.68,0.12,2.5, , , , , , , , , , , , , , , , , , , , 
23,23,23,42,57,Mo,1030.0,3,1.5, , , , , , , , , , , , , , , , , , , , 
24,24,24,42,57,Mo,1048.03,0.16,3.5, , , , , , , , , , , , , , , , , , , , 
