,Unnamed: 0,Z,N,symbol, energy [keV] ,unc, jp,half-life operator,half_life,unc.1,unit,half_life[s],unc.2,decay,decay %,unc.3,decay.1,decay %.1,unc.4,decay.2,decay %.2,unc.5,isospin,magn. dipole,unc.6,elect.quadrupole ,unc.7
0,0,Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
1,1,44,55,Ru,0, ,2.5, ,STABLE, , , , , , , , , , , , , , ,-0.641, ,0.079, 
2,2,44,55,Ru,89.57,0.06,1.5, ,20.5,1,ns,0.0000000205,0.0000000001, , , , , , , , , , ,-0.284, ,0.231, 
3,3,44,55,Ru,321.99,0.09,1.5, , , , , , , , , , , , , , , , , , , , 
4,4,44,55,Ru,340.9,0.06,3.5, , , , , , , , , , , , , , , , , , , , 
5,5,44,55,Ru,442.59,0.07,1.5, ,11,3,ps,0.000000000011,0.000000000003, , , , , , , , , , , , , , 
6,6,44,55,Ru,575.83,0.11,2.5, ,1.1,3,ps,0.0000000000011,0.0000000000003, , , , , , , , , , , , , , 
7,7,44,55,Ru,617.89,0.07,3.5, ,0.7,3,ps,0.0000000000007,0.0000000000003, , , , , , , , , , , , , , 
8,8,44,55,Ru,618.13,0.07,0.5, ,1.04,8,ns,0.00000000104,0.00000000008, , , , , , , , , , , , , , 
9,9,44,55,Ru,719.87,0.07,4.5, ,2.25,23,ps,0.00000000000225,0.00000000000023, , , , , , , , , , , , , , 
10,10,44,55,Ru,734.09,0.19,2.5, , , , , , , , , , , , , , , , , , , , 
11,11,44,55,Ru,896.85,0.1,2.5,LT,0.15, ,ns,0.00000000015, , , , , , , , , , , , , , , 
12,12,44,55,Ru,998.71,0.15,2.5, , , , , , , , , , , , , , , , , , , , 
13,13,44,55,Ru,1048.5,0.08,5.5, ,4.5,25,ps,0.0000000000045,0.0000000000025, , , , , , , , , , , , , , 
14,14,44,55,Ru,1069.88,0.07,5.5, ,2.8,2,ns,0.0000000028,0.0000000002, , , , , , , , , , , , , , 
15,15,44,55,Ru,1118.4,0.6,3.5, , , , , , , , , , , , , , , , , , , , 
16,16,44,55,Ru,1200.8,0.6,2.5, , , , , , , , , , , , , , , , , , , , 
17,17,44,55,Ru,1261.3,0.22,3.5, , , , , , , , , , , , , , , , , , , , 
18,18,44,55,Ru,1277.87,0.1,4.5, , , , , , , , , , , , , , , , , , , , 
19,19,44,55,Ru,1290.78, ,3.5, , , , , , , , , , , , , , , , , , , , 
20,20,44,55,Ru,1306.4,0.7,3.5, , , , , , , , , , , , , , , , , , , , 
21,21,44,55,Ru,1319.67,0.09,5.5, ,2.4,11,ps,0.0000000000024,0.0000000000011, , , , , , , , , , , , , , 
22,22,44,55,Ru,1382.95,0.11,1.5, , , , , , , , , , , , , , , , , , , , 
23,23,44,55,Ru,1407.5,1,0.5, ,0.21,10,ps,0.00000000000021,0.0000000000001, , , , , , , , , , , , , , 
24,24,44,55,Ru,1414.05,0.2,2.5, , , , , , , , , , , , , , , , , , , , 
25,25,44,55,Ru,1473.9,1,2.5, ,0.17,10,ps,0.00000000000017,0.0000000000001, , , , , , , , , , , , , , 
26,26,44,55,Ru,1497.06,0.09,6.5, ,0.62,21,ps,0.00000000000062,0.00000000000021, , , , , , , , , , , , , , 
27,27,44,55,Ru,1499.2,0.5,4.5, ,0.24,11,ps,0.00000000000024,0.00000000000011, , , , , , , , , , , , , , 
28,28,44,55,Ru,1531.46,0.11,1.5, , , , , , , , , , , , , , , , , , , , 
29,29,44,55,Ru,1571.94,0.12,7.5, , , , , , , , , , , , , , , , , , , , 
30,30,44,55,Ru,1583.2,1,2.5, ,0.14,5,ps,0.00000000000014,0.00000000000005, , , , , , , , , , , , , , 
31,31,44,55,Ru,1662.05,0.15,1.5, , , , , , , , , , , , , , , , , , , , 
32,32,44,55,Ru,1685.2,1,3.5, , , , , , , , , , , , , , , , , , , , 
33,33,44,55,Ru,1711.4,1,0.5, , , , , , , , , , , , , , , , , , , , 
34,34,44,55,Ru,1717.5,1,4.5, , , , , , , , , , , , , , , , , , , , 
35,35,44,55,Ru,1749.9,0.3,1.5, , , , , , , , , , , , , , , , , , , , 
36,36,44,55,Ru,1822.9,1,0.5, , , , , , , , , , , , , , , , , , , , 
37,37,44,55,Ru,1847,1,5.5, ,0.32,11,ps,0.00000000000032,0.00000000000011, , , , , , , , , , , , , , 
38,38,44,55,Ru,1861.76,0.14,6.5, ,0.49,18,ps,0.00000000000049,0.00000000000018, , , , , , , , , , , , , , 
39,39,44,55,Ru,1898.9,1.2,0.5, , , , , , , , , , , , , , , , , , , , 
40,40,44,55,Ru,1944.5,1,5.5, , , , , , , , , , , , , , , , , , , , 
