Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
83,129,Bi,0, ,1(-), ,60.55,6,m,3633,3.6,B-,64.06,0.06,A,35.94,0.06, , , , ,0.41, ,0.1, ,
83,129,Bi,115.183,0.005,2(-), ,8,4,ps,0.000000000008,0.000000000004, , , , , , , , , , , , , , ,
83,129,Bi,196,16, , , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,213.1,0.2,(3-), , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,238.632,0.002,0(-), ,1.0,2,ps,0.000000000001,0.0000000000002, , , , , , , , , , , , , , ,
83,129,Bi,250, ,(8- 9-), ,25.0,2,m,1500,12,A,67,1,B-,33,1,B-A,30,1, , , , , ,
83,129,Bi,250.7,0.5,(4-), , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,338,16, , , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,415.272,0.011,1(-),LE,10, ,ps,0.00000000001, , , , , , , , , , , , , , , ,
83,129,Bi,417.9,0.2, , , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,494.5,0.3, , , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,573,16, , , , , , , , , , , , , , , , , , , , , ,
83,129,Bi,1910, ,|>16, ,7.0,3,m,420,18,B-,100, , , , , , , , , , , , ,

