Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
89,135,Ac,0, ,(0-), ,2.78,16,h,10008,576,EC,90.9, ,A,9.1, , , , , , , , , ,
89,135,Ac,17.6,0.15,(1-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,23.4,0.11,(2-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,29.83,0.09,(1+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,34.2,0.8, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,37.17,0.09,(2-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,44.2,0.3, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,45.8,0.4,(-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,47.4,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,49.08,0.13,(3-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,52.2,0.11,(2+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,64.47,0.14,(3+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,65.2,0.6, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,75.9,0.6, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,78.51,0.12,(3-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,80.49,0.1,(3+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,84.1,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,90.56,0.13,(+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,92.6,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,100.44,0.23, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,103.31,0.13,(4+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,105.1,0.6, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,109.33,0.17,(4-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,110.53,0.15,(+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,116.46,0.13,(4-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,130.3,0.11,(4+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,133.4,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,142.5,0.3,(5+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,146.6,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,159.3,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,169,2, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,176.72,0.14,(5+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,183.4,0.13,(5-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,212,2, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,219.7,0.4, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,236.5,0.4,(6-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,252.68,0.17,(6+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,283.48,0.13,(3-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,300,2, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,317.2,0.5, , , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,333.04,0.12,(3+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,353.89,0.11,(3-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,360.25,0.11,(3+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,380.8,0.16,(+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,395.84,0.19,(4-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,402.92,0.16,(4+), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,448.08,0.2,(5-), , , , , , , , , , , , , , , , , , , , ,
89,135,Ac,452.1,0.4,(5+), , , , , , , , , , , , , , , , , , , , ,

