Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
94,144,Pu,0, ,0+, ,87.7,1,Y,2767542407.9717183,3155692.5974592,A,100, ,SF,0.00000019,0.00000001, , , , , , , , ,
94,144,Pu,44.065,0.015,2+, ,175,3,ps,0.000000000175,0.000000000003, , , , , , , , , , , , , , ,
94,144,Pu,145.936,0.021,4+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,303.36,0.06,6+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,512.55,0.15,8+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,605.18,0.03,1-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,661.44,0.04,3-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,763.24,0.11,5-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,771.9,0.5,10+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,911.6,0.8,7-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,941.47,0.08,0+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,962.783,0.023,1-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,968.2,0.4,(2-),LT,8.5, ,ns,0.0000000085, , , , , , , , , , , , , , , ,
94,144,Pu,983.09,0.07,2+, ,0.55,+15-11,ps,0.00000000000055, , , , , , , , , , , , , , , ,
94,144,Pu,985.45,0.05,2-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1018.6,0.3, , , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1028.537,0.016,2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1069.929,0.022,3+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1077.7,0.5,12+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1082.55,0.06,(4)-, ,8.5,5,ns,0.0000000085,0.0000000005, , , , , , , , , , , , , , ,
94,144,Pu,1102.4,0.5,9-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1125.75,0.17,(4+), , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1134,4,(0+), , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1174.4,0.4,(2+), , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1202.45,0.08,(3)-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1228.65,0.18,0+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1252,2, , , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1264.2,0.15,2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1310.3,0.3,1+ 2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1340.4,0.6,11-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1426.4,0.6,14+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1426.61,0.24,0+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1447.24,0.19,1-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1458.29,0.22,2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1559.82,0.14,1-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1596.3,0.3,(2+), , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1621.29,0.12,1-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1621.8,0.6,13-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1636.4,0.13,1-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1651.2,0.4,1 2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1726.34,0.22,1 2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1783.5,0.3,1 2+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1815.5,0.5,16+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1898.42,0.22,2-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,1944.6,0.4,15-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,2241.7,0.6,18+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,2308.2,0.5,17-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,2400, , , ,0.6,2,ns,0.0000000006,0.0000000002,SF,100, , , , , , , , , , , , ,
94,144,Pu,2702.3,0.8,20+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,2708.7,0.6,19-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,3143.8,0.8,21-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,3195.4,0.8,22+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,3500, ,(0+), ,6.0,15,ns,0.000000006,0.0000000015,SF,100, , , , , , , , , , , , ,
94,144,Pu,3610.6,1,23-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,3717.1,1,24+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,4105.2,1.1,25-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,4263.7,1.1,26+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,4623.2,1.3,27-, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,4833.3,1.3,28+, , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,5161.3, ,(29-), , , , , , , , , , , , , , , , , , , , ,
94,144,Pu,5426.5,0.9,(30+), , , , , , , , , , , , , , , , , , , , ,

