Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
47,62,Ag,0, ,1/2-, ,STABLE, , , , , , , , , , , , , , ,-0.1306906, , , ,
47,62,Ag,88.0337,0.001,7/2+, ,39.79,21,s,39.79,0.21,IT,100, , , , , , , , ,4.4, ,1.02, ,
47,62,Ag,132.762,0.008,9/2+, ,2.60,12,ns,0.0000000026,0.00000000012, , , , , , , , , , , , , , ,
47,62,Ag,311.378,0.006,3/2-, ,5.9,4,ps,0.0000000000059,0.0000000000004, , , , , , , , , , ,1.1, , , ,
47,62,Ag,415.193,0.008,5/2-, ,33.4,13,ps,0.0000000000334,0.0000000000013, , , , , , , , , , ,0.85, , , ,
47,62,Ag,420,10,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,697.38,0.14, , , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,701.877,0.009,3/2-, ,0.27,7,ps,0.00000000000027,0.00000000000007, , , , , , , , , , , , , , ,
47,62,Ag,706,5,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,706.971,0.01,(3/2 5/2-), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,724.381,0.006,3/2+, ,3.2,8,ns,0.0000000032,0.0000000008, , , , , , , , , , , , , , ,
47,62,Ag,735.32,0.007,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,773.42,0.12,11/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,789,11, , , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,811.74,0.19, , , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,862.633,0.009,5/2-, ,1.39,19,ps,0.00000000000139,0.00000000000019, , , , , , , , , , , , , , ,
47,62,Ag,869.426,0.006,5/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,890,10,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,910.902,0.011,7/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,912.205,0.025,7/2-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,929,8,(9/2+), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,930.75,0.1,13/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1070, , , , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1090.7,0.5,9/2-, ,1.9,3,ps,0.0000000000019,0.0000000000003, , , , , , , , , , , , , , ,
47,62,Ag,1099.11,0.04,(5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1200,10,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1260,2,1/2-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1310,10,1/2- 3/2-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1324.2,0.7,3/2-, ,0.31,9,ps,0.00000000000031,0.00000000000009, , , , , , , , , , , , , , ,
47,62,Ag,1430,10,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1490, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1500,5,3/2-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1524,5,(3/2 5/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1599,5, , , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1613,5,1/2-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1658,10,1/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1675,10, , , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1702.9,0.3,15/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1736,5,(3/2 5/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1792,5,(7/2 9/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1815,5,(3/2 5/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1839,5,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1841,10,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1860,10,(7/2+ 9/2+), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1891,5,(7/2 9/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1894.28,0.14,17/2+, ,0.57,5,ps,0.00000000000057,0.00000000000005, , , , , , , , , , , , , , ,
47,62,Ag,1950,5,(7/2 9/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1970,10,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,1993,5,(3/2 5/2)-, , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,2043,11,(9/2+), , , , , , , , , , , , , , , , , , , , ,
47,62,Ag,2062,10,(7/2 9/2)-, , , , , , , , , , , , , , , , , , , , ,
