Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
50,67,Sn,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-1.00104, , , ,
50,67,Sn,158.562,0.012,3/2+, ,0.279,9,ns,0.000000000279,0.000000000009, , , , , , , , , , ,0.66, , , ,
50,67,Sn,314.58,0.04,11/2-, ,14.00,5,d,1209600,4320,IT,100, , , , , , , , ,-1.39, ,-0.42, ,
50,67,Sn,360,10, , , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,678.5, , , , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,711.54,0.1,7/2+, ,980,30,ps,0.00000000098,0.00000000003, , , , , , , , , , , , , , ,
50,67,Sn,1004.53,0.14,3/2+, ,1.32,6,ps,0.00000000000132,0.00000000000006, , , , , , , , , , , , , , ,
50,67,Sn,1019.92,0.06,5/2+, ,0.46,4,ps,0.00000000000046,0.00000000000004, , , , , , , , , , , , , , ,
50,67,Sn,1179.7,0.5,5/2+,LT,0.4, ,ps,0.0000000000004, , , , , , , , , , , , , , , ,
50,67,Sn,1304.3,0.5,(7/2-), , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1340, ,+, , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1446.2,0.3,5/2+, ,0.42,3,ps,0.00000000000042,0.00000000000003, , , , , , , , , , , , , , ,
50,67,Sn,1468.6,0.3,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1496.8,1,(5/2+ 3/2+), , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1510.1,0.3, , ,0.0025,3,eV,0.00000000000018249508602855428,0.0000000000015207923835712857, , , , , , , , , , , , , , ,
50,67,Sn,1530, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1578.25,0.24,(3/2+), , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1588, ,(11/2-), , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1589,10,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
50,67,Sn,1593.1,0.3,(15/2-), , , , , , , , , , , , , , , , , , , , ,
