Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
52,71,Te,0, ,1/2+,GT,9.2E+16, ,Y,2.903237189662464e24, ,EC,100, , , , , , , , ,-0.7369478, , , ,
52,71,Te,159.024,0.021,3/2+, ,196,9,ps,0.000000000196,0.000000000009, , , , , , , , , , ,0.72, , , ,
52,71,Te,247.47,0.04,11/2-, ,119.2,1,d,10298880,8640,IT,100, , , , , , , , ,-0.927, , , ,
52,71,Te,384.35,0.05,(9/2 7/2)-, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,439.99,0.03,3/2+, ,22,3,ps,0.000000000022,0.000000000003, , , , , , , , , , ,0.6, , , ,
52,71,Te,489.81,0.05,(7/2+), ,30.7,4,ns,0.0000000307,0.0000000004, , , , , , , , , , ,0.787, , , ,
52,71,Te,505.37,0.03,(5/2)+, ,13.5,25,ps,0.0000000000135,0.0000000000025, , , , , , , , , , ,0.13, , , ,
52,71,Te,532.69,0.04,(7/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,599.12,0.07,1/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,687.97,0.04,3/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,697.55,0.05,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,769.27,0.14, , , , , , , , , , , , , , , , , , , , , ,
52,71,Te,783.61,0.04,3/2+ 5/2+, ,52,+33-21,fs,0.000000000000052, , , , , , , , , , , , , , , ,
52,71,Te,862.13,0.04,(5/2), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,871.21,0.1, , , , , , , , , , , , , , , , , , , , , ,
52,71,Te,879.67,0.07,(7/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,886.86,0.18,(15/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,894.78,0.06,3/2+ 5/2+, ,45,+24-14,fs,0.000000000000045, , , , , , , , , , , , , , , ,
52,71,Te,919.79,0.18,(13/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,996.06,0.11,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1036.67,0.05,3/2+, ,43,+16-12,fs,0.000000000000043, , , , , , , , , , , , , , , ,
52,71,Te,1068.19,0.07,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1081.7,1,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1097.79,0.08,(5/2- 7/2+), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1138.6,1.3, , , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1153,10, , , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1210,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1212.51,0.09, , , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1244.36,0.21,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1254,0.4,(5/2- 7/2 9/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1268,10,(+), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1318.12,0.13,(1/2+ 3/2+), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1327.63,0.09, , , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1330,5,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1344.78,0.05,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1353.7,0.07,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1414.18,0.09,(5/2+), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1418,5,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1422.83,0.11,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1427,10,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
52,71,Te,1446.38,0.2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
