Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
53,78,I,0, ,7/2+, ,8.0252,6,d,693377.28,51.84,B-,100, , , , , , , , ,2.742, ,-0.35, ,
53,78,I,149.716,0.003,5/2+, ,0.95,5,ns,0.00000000095,0.00000000005, , , , , , , , , , ,2.8, , , ,
53,78,I,492.664,0.004,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,602.0409,0.0025,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,773.68,0.019,9/2+ 11/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,852.243,0.018,9/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,876.724,0.005,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1005.772,0.019, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1059.721,0.018,9/2(+), , , , , , , , , , , , , , , , , , , , ,
53,78,I,1098.26,0.005,3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1146.947,0.006,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1148.952,0.018,5/2+ 7/2 9/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1283.9,0.3, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1298.223,0.019,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1315.187,0.02,5/2+ 7/2 9/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1346.48,0.05,1/2+ 3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1376.8,0.4, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1403.86,0.13,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1427.151,0.006,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1444.049,0.011,1/2+ 3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1494,6, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1500.622,0.009,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1547.82,0.04, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1556.166,0.021,+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1596.459,0.023,+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1622.6,0.2, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1646.01,0.017,11/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1677.455,0.02,1/2 3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1697.11,0.1, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1718,6,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1757.87,0.08,1/2 3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1761.5,0.09, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1797.093,0.02,9/2- 11/2- 13/2-, ,5.9,2,ns,0.0000000059,0.0000000002, , , , , , , , , , ,-1.2, ,0.65, ,
53,78,I,1800.61,0.05,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1831,8, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1880.26,0.1, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1887.68,0.05,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1899.153,0.019,9/2- 11/2- 13/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1915, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1924.582,0.022,11/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1931.943,0.024, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1936.15,0.07, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1974.25,0.2, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,1980.28,0.017,9/2- 11/2- 13/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,1985, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2001.079,0.023,9/2 11/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2011.052,0.023,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2040.83,0.1,3/2 5/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2063.33,0.15,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2072.73,0.08,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2114.22,0.03,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2134, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2168.46,0.04,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2170.74,0.04,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2175,10,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2176.64,0.1,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2235.2,1, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2241.68,0.06,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2270.64,0.08,9/2 11/2 13/2, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2308,10,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2329, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2332.7,0.4, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2346,10,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2352.2,1.5, , ,43,1,ns,0.000000043,0.000000001, , , , , , , , , , , , , , ,
53,78,I,2408,10,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2444,10, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2567, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2595, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2638, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2699,20, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2744,20,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2807,20,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2854, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2870,20, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2894, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,2940,20,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,2985, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,3040,20,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,3090, , , , , , , , , , , , , , , , , , , , , , ,
53,78,I,3170,20, , , , , , , , , , , , , , , , , , , , , ,
53,78,I,3700,20,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,7974,14,3/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,8278,14,1/2+, , , , , , , , , , , , , , , , , , , , ,
53,78,I,10205,14,7/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,10451,14,3/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,10507,14,3/2-, , , , , , , , , , , , , , , , , , , , ,
53,78,I,10906,14,1/2-, , , , , , , , , , , , , , , , , , , , ,

