Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
55,79,Cs,0, ,4+, ,2.0652,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,EC,0.0003,0.0001, , , , ,2.9937, ,0.389, ,
55,79,Cs,11.2442,0.0018,5+, ,46.6,6,ns,0.0000000466,0.0000000006, , , , , , , , , , ,3.35, , , ,
55,79,Cs,60.0297,0.0013,(3)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,138.7441,0.0026,8-, ,2.912,2,h,10483.2,7.2,IT,100, , , , , , , , ,1.0978, ,0.98, ,
55,79,Cs,173.7942,0.0016,(2 3)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,176.4044,0.0016,3- 4-, ,49.7,8,ns,0.0000000497,0.0000000008, , , , , , , , , , , , , , ,
55,79,Cs,176.64,0.0026,(1)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,190.2614,0.0018,(3)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,193.6162,0.002,4-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,197.7817,0.0017,(2)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,209.5458,0.0018,(4 5)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,234.3341,0.0018,(3)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,257.1075,0.0026,6-, ,12.3,11,ns,0.0000000123,0.0000000011, , , , , , , , , , , , , , ,
55,79,Cs,267.6618,0.0025,4- 5-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,271.3489,0.0016,(2 3)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,290.9669,0.0021,(2)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,344.3594,0.0025,7-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,377.1021,0.002,4+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,382.9834,0.0024,6-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,434.1746,0.003,6- 7-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,450.2381,0.0023,5-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,451.425,0.0018,(3)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,454.0876,0.0024,3+ 4+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,483.6574,0.003,(3 4)-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,502.8411,0.003,(3 4)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,519.3217,0.0026,(3 4)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,539.657,0.006,(3 4 5)+, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,570.8266,0.0027,4-, , , , , , , , , , , , , , , , , , , , ,
55,79,Cs,579.131,0.004,(2 3)+, , , , , , , , , , , , , , , , , , , , ,
