Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
61,86,Pm,0, ,7/2+, ,2.6234,2,Y,82786439.60174465,6311.3851949184,B-,100, , , , , , , , ,2.58, ,0.74, ,
61,86,Pm,91.1047,0.002,5/2+, ,2.50,5,ns,0.0000000025,0.00000000005, , , , , , , , , , ,3.22, ,0.6, ,
61,86,Pm,350, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,380, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,408.34,0.05,9/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,410.513,0.013,3/2+ 5/2+ 7/2+, ,0.139,14,ns,0.000000000139,0.000000000014, , , , , , , , , , , , , , ,
61,86,Pm,489.254,0.016,7/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,500, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,531.009,0.015,5/2+ 7/2+, ,0.083,15,ns,0.000000000083,0.000000000015, , , , , , , , , , , , , , ,
61,86,Pm,620, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,632.93,0.07,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,641.27,0.08,+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,649.14,0.06,11/2-, ,27,3,ns,0.000000027,0.000000003, , , , , , , , , , , , , , ,
61,86,Pm,660, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,667.3,0.08,11/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,680.39,0.04,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,685.892,0.015,5/2+ 7/2+, ,0.25,10,ns,0.00000000025,0.0000000001, , , , , , , , , , , , , , ,
61,86,Pm,730.68,0.13,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,807.25,0.13,5/2- 7/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,808, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,865.14,0.19, , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,880, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,910, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,931, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,940, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,970.33,0.14,11/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,973, ,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,984,0.3, , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1041.15,0.17,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1049,0.4, , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1051.03,0.09,15/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1072.59,0.12,13/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1077.5,0.16,+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1100, ,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1119.2,0.4, , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1145, ,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1159.51,0.14,13/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1187, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1213.9,0.4,-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1245.62,0.11,9/2- 11/2- 13/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1310, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1325, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1344, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1360, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1382,0.5,1/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1387, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1392.84,0.14,15/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1406.3,0.14,15/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1422, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1434.2,0.3, , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1440, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1476, ,7/2+ 9/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1505, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1543, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1580, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1587, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1596, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1627.66,0.12,19/2-, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1629, ,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1641, , , , , , , , , , , , , , , , , , , , , , ,
61,86,Pm,1656, ,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
