Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
63,90,Eu,0, ,5/2+, ,STABLE, , , , , , , , , , , , , , ,1.5324, ,2.412, ,
63,90,Eu,83.36728,0.00013,7/2+, ,0.793,17,ns,0.000000000793,0.000000000017, , , , , , , , , , ,1.81, ,0.44, ,
63,90,Eu,97.43098,0.00014,5/2-, ,0.198,16,ns,0.000000000198,0.000000000016, , , , , , , , , , , , , , ,
63,90,Eu,103.18017,0.00012,3/2+, ,3.85,5,ns,0.00000000385,0.00000000005, , , , , , , , , , ,2.048, ,1.254, ,
63,90,Eu,151.6239,0.0003,7/2-, ,0.36,7,ns,0.00000000036,0.00000000007, , , , , , , , , , , , , , ,
63,90,Eu,172.85316,0.00013,5/2+, ,0.14, ,ns,0.00000000014, , , , , , , , , , , , , , , ,
63,90,Eu,193.0654,0.0006,9/2+, ,0.204,14,ns,0.000000000204,0.000000000014, , , , , , , , , , , , , , ,
63,90,Eu,235.2805,0.0006,(9/2-), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,269.7361,0.0005,(7/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,321.8589,0.0006,(11/2)-, , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,325.0661,0.0009,11/2+, , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,396.4028,0.0008,(9/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,403.289,0.004, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,442.622,0.003,(+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,448.1384,0.0011, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,477.9272,0.0012,(13/2-), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,481.0512,0.0015,13/2+, , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,537.9413,0.0012,(11/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,552.4727,0.0014, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,559.739,0.0016, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,569.31,0.14,(7/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,585.02,0.15, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,589.34,0.11,(15/2-), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,617.18,0.24,(5/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,634.62,0.06,(1/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,636.516,0.018,3/2-, , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,641.587,0.003, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,654.7,0.009,(15/2+), , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,657.68,0.14, , , , , , , , , , , , , , , , , , , , , ,
63,90,Eu,681.9,0.06,(5/2-), , , , , , , , , , , , , , , , , , , , ,
