Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
68,97,Er,0, ,5/2-, ,10.36,4,h,37296,144,EC,100, , , , , , , , ,0.643, ,2.71, ,
68,97,Er,47.159,0.004,5/2+, ,4.0,1,ns,0.000000004,0.0000000001, , , , , , , , , , , , , , ,
68,97,Er,62.671,0.004,7/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,77.26,0.004,7/2-, ,0.96,8,ns,0.00000000096,0.00000000008, , , , , , , , , , , , , , ,
68,97,Er,97.963,0.009,9/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,167.1,0.6,(11/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,175.82,0.03,9/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,237.8,0.7,(13/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,242.934,0.004,3/2-, ,0.31,4,ns,0.00000000031,0.00000000004, , , , , , , , , , ,0.62, , , ,
68,97,Er,295.8,0.7,(11/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,296.127,0.004,5/2-,LE,0.24, ,ns,0.00000000024, , , , , , , , , , , , , , , ,
68,97,Er,297.371,0.004,1/2-, ,0.70,8,ns,0.0000000007,0.00000000008, , , , , , , , , , , , , , ,
68,97,Er,356.529,0.004,3/2-, ,0.35,6,ns,0.00000000035,0.00000000006, , , , , , , , , , , , , , ,
68,97,Er,372,0.8,(15/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,372.712,0.014,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,384.327,0.006,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,431,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,463.3,1,(17/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,465, ,7/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,467,2,(9/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,477.762,0.008,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,507.428,0.005,1/2+, ,0.70,12,ns,0.0000000007,0.00000000012, , , , , , , , , , , , , , ,
68,97,Er,514,3,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,519.153,0.006,5/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,534.561,0.009,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,551.3,0.6,11/2-, ,0.25,3,us,0.00000025,0.00000003, , , , , , , , , , , , , , ,
68,97,Er,573,2,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,589.773,0.005,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,589.927,0.007,1/2-,LE,0.6, ,ns,0.0000000006, , , , , , , , , , , , , , , ,
68,97,Er,599,2,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,605.511,0.008, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,608.497,0.007,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,648,2, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,674,2,5/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,677.9,1.1,(19/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,684,3,9/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,700,3, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,706.9,1,(13/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,721,2, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,730,3, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,745.955,0.008,1/2+, ,1.00,15,ns,0.000000001,0.00000000015, , , , , , , , , , , , , , ,
68,97,Er,760,2,(7/2- 5/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,769.4,1.4,(21/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,820,3,11/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,840,2,(1/2- 3/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,853.517,0.008,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,863,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,873,3, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,882.8,1,(15/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,896,3, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,920.731,0.007,1/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,955,2,(9/2+ 7/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,962.42,0.012,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,971,2,(3/2+ 5/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,999.893,0.024,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1024,5,(5/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1039,2,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1045,0.3, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1064,2,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1073,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1078.5,1.2,(17/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1079.8,1.5,(23/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1103.523,0.011,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1106,2,(7/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1139,2,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1153.1,1.7,(25/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1165,15, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1172,2,7/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1198,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1233,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1250,2, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1274,2,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1289.092,0.015,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1332,2, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1339.68,0.04,5/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1379,2,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1411.855,0.02,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1416.86,0.04,3/2-, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1427.405,0.009,3/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1474,5,(3/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1489,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1528.12,0.06,(3/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1539,5,(5/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1564,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1612,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1621.8,2,(29/2+), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1631,5,(7/2-), , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1656,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1728,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1761,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1780,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1805,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1819,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1851,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1889,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1901,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1940,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1951,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,1968,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,2004,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,2018,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,2033,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,2047,5, , , , , , , , , , , , , , , , , , , , , ,
68,97,Er,2057,5, , , , , , , , , , , , , , , , , , , , , ,

