Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
69,100,Tm,0, ,1/2+, ,STABLE, , , , , , , , , , , , , , ,-0.2316, , , ,
69,100,Tm,8.41017,0.00011,3/2+, ,4.09,5,ns,0.00000000409,0.00000000005, , , , , , , , , , ,0.5148, ,-1.2, ,
69,100,Tm,118.18945,0.00011,5/2+, ,62,3,ps,0.000000000062,0.000000000003, , , , , , , , , , ,0.761, , , ,
69,100,Tm,138.93315,0.00012,7/2+, ,302,2,ps,0.000000000302,0.000000000002, , , , , , , , , , ,1.39, , , ,
69,100,Tm,316.14633,0.00011,7/2+, ,659.9,23,ns,0.0000006599,0.0000000023, , , , , , , , , , ,0.156, , , ,
69,100,Tm,332.116,0.011,9/2+, ,18.8,5,ps,0.0000000000188,0.0000000000005, , , , , , , , , , ,1.56, , , ,
69,100,Tm,341.94,0.04,(1/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,345.028,0.003,5/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,367.67,0.05,11/2+, ,41.6,21,ps,0.0000000000416,0.0000000000021, , , , , , , , , , ,2.28, , , ,
69,100,Tm,379.26678,0.00012,7/2-, ,52.2,8,ns,0.0000000522,0.0000000008, , , , , , , , , , ,3.04, , , ,
69,100,Tm,430.122,0.011,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,433.521,0.018,(9/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,472.88128,0.00014,9/2-, ,0.14,7,ns,0.00000000014,0.00000000007, , , , , , , , , , , , , , ,
69,100,Tm,474.968,0.009,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,570.83,0.011,3/2+, ,10,7,ps,0.00000000001,0.000000000007, , , , , , , , , , , , , , ,
69,100,Tm,575.38,0.04,(11/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,588.2,0.05,11/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,602.82,0.19,(13/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,633.292,0.003,5/2+, ,0.27, ,ps,0.00000000000027, , , , , , , , , , , , , , , ,
69,100,Tm,637.08,0.13,13/2+, ,5.4,4,ps,0.0000000000054,0.0000000000004, , , , , , , , , , ,2.37, , , ,
69,100,Tm,646.758,0.01,(7/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,691.24,0.16,15/2+, ,8.1,4,ps,0.0000000000081,0.0000000000004, , , , , , , , , , ,3.2, , , ,
69,100,Tm,718.786,0.004,(7/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,725.44,0.07,13/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,741.25,0.06,(13/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,781.796,0.006,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,832.42,0.07,(9/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,865.9,0.4,(17/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,878.35,0.1,(7/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,883.75,0.14,15/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,884.62,0.2,(11/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,900, , , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,929.37,0.19,(15/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,938,2, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,964,0.4,(11/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1027.85,0.16,17/2+, ,1.91,18,ps,0.00000000000191,0.00000000000018, , , , , , , , , , ,3.1, , , ,
69,100,Tm,1039.95,0.15, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1058.54,0.21, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1063.57,0.16,17/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1104.18,0.25,19/2+, ,1.94,21,ps,0.00000000000194,0.00000000000021, , , , , , , , , , ,4.2, , , ,
69,100,Tm,1112.6,0.5, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1135.93,0.2, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1140.85,0.21,(17/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1152,2,(11/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1188.7,0.3,(15/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1190,20,+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1218.1,0.5,(21/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1223.04,0.15, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1243,2, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1262.4,0.21,19/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1300.8,0.6,(15/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1372,2,1/2+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1372.1,0.6,(19/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1400,2, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1482.94,0.22,21/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1497.8,0.4,21/2+, ,0.87,9,ps,0.00000000000087,0.00000000000009, , , , , , , , , , , , , , ,
69,100,Tm,1510.6,1,(1/2 3/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1515,2, , , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1527.5,1,(1/2 3/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1548.4,0.7,(19/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1598.4,0.4,(23/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1625.3,0.6,(21/2+), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1658.1,0.5,(25/2-), , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1716.9,0.3,23/2-, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1864.6,0.7,(1/2 3/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1910.5,0.6,(1/2 3/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1922.3,0.7,(1/2 3/2)+, , , , , , , , , , , , , , , , , , , , ,
69,100,Tm,1963.7,1,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
