Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
70,99,Yb,0, ,7/2+, ,32.018,5,d,2766355.2,432,EC,100, , , , , , , , ,-0.635, ,3.54, ,
70,99,Yb,24.1999,0.0016,1/2-, ,46,2,s,46,2,IT,100, , , , , , , , ,0.507, , , ,
70,99,Yb,70.8815,0.0008,9/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,86.9188,0.0016,3/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,99.2405,0.0015,5/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,161.6505,0.001,11/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,191.2142,0.0013,5/2-, ,3.35,15,ns,0.00000000335,0.00000000015, , , , , , , , , , , , , , ,
70,99,Yb,243.8163,0.0017,7/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,264.2538,0.0021,9/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,269.6554,0.0024,13/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,278.5983,0.0014,7/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,389.5279,0.0015,9/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,405.04,0.23,15/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,486.937,0.003,(11/2-), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,512.029,0.015,(13/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,523.085,0.003,11/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,547.14,0.25,17/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,569.834,0.003,5/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,590.689,0.006,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,647.276,0.009,7/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,647.836,0.003,7/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,659.63,0.006,3/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,677.111,0.006,13/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,707.054,0.008,9/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,719.953,0.006,3/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,722.279,0.006,5/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,736.2,0.3,19/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,749.026,0.005,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,757.871,0.018,(11/2+), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,761.846,0.007,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,807.074,0.01,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,807.6,0.5,(15/2-), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,813.337,0.009,(1/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,831.936,0.009,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,833.8,0.3,(17/2-), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,851.394,0.01,3/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,851.5,0.4,15/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,865.17,0.014,(11/2-), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,877,3,(13/2+), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,886.81,0.04,9/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,903.2,0.4,21/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,911.64,0.01,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,919.806,0.01,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,929.12,0.03,11/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,946.487,0.012, , , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,960.594,0.013,7/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,996.69,0.06,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1033.897,0.005,(1/2+ 3/2), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1042.6,0.5,(17/2-), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1061.101,0.015,(11/2-), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1064.76,0.01,(5/2+ 7/2 9/2+), , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1070.665,0.016,7/2+, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1078.338,0.019,9/2-, , , , , , , , , , , , , , , , , , , , ,
70,99,Yb,1110.706,0.008,3/2- 5/2-, , , , , , , , , , , , , , , , , , , , ,
