Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
71,104,Lu,0, ,7/2+, ,STABLE, , , , , , , , , , , , , , ,2.2327, ,3.49, ,
71,104,Lu,113.806,0.004,9/2+, ,90,4,ps,0.00000000009,0.000000000004, , , , , , , , , , ,2.01, , , ,
71,104,Lu,251.465,0.007,11/2+, ,32.4,16,ps,0.0000000000324,0.0000000000016, , , , , , , , , , ,2.6, , , ,
71,104,Lu,343.38,0.08,5/2+, ,0.281,10,ns,0.000000000281,0.00000000001, , , , , , , , , , , , , , ,
71,104,Lu,353.48,0.13,5/2-, ,1.49,7,us,0.00000149,0.00000007, , , , , , , , , , , , , , ,
71,104,Lu,370.79,0.15,(1/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,396.328,0.007,9/2-, ,3.28,6,ns,0.00000000328,0.00000000006, , , , , , , , , , , , , , ,
71,104,Lu,412.39,0.07,13/2+, ,12.7,4,ps,0.0000000000127,0.0000000000004, , , , , , , , , , , , , , ,
71,104,Lu,414.98,0.18,(9/2)-, , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,432.74,0.08,7/2+,LT,0.1, ,ns,0.0000000001, , , , , , , , , , , , , , , ,
71,104,Lu,514.66,0.14,(3/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,529.25,0.1,(11/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,546.4,0.3,(9/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,562.3,0.4,(13/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,595.25,0.08,15/2+, ,7.65,13,ps,0.00000000000765,0.00000000000013, , , , , , , , , , , , , , ,
71,104,Lu,626.53,0.15,(1/2+), ,10.6,5,ns,0.0000000106,0.0000000005, , , , , , , , , , , , , , ,
71,104,Lu,632.76,0.11,(3/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,672.83,0.15,(7/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,684.3,0.3,(11/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,685.32,0.14,(13/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,757.35,0.13,(5/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,773.44,0.14,(7/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,798.1,0.9,(17/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,799.95,0.09,17/2+, ,4.05,14,ps,0.00000000000405,0.00000000000014, , , , , , , , , , , , , , ,
71,104,Lu,845.1,0.7,(13/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,863.7,0.7,(15/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,866, , , , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,886.3,0.4,(11/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,960, , , , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,990.15,0.15,(9/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,998.9,0.4,(3/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1005.2,1,(7/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1019.59,0.17,(11/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1024.39,0.1,19/2+, ,2.25,17,ps,0.00000000000225,0.00000000000017, , , , , , , , , , , , , , ,
71,104,Lu,1028.2,0.9,15/2+, , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1063.3,0.3,(5/2)-, , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1064.2,0.8,(17/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1112.2,0.7,(9/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1121.8,1.3,(21/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1150.7,0.3,(3/2+), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1167.3,0.8,(15/2-), , , , , , , , , , , , , , , , , , , , ,
71,104,Lu,1180,2,(7/2)-, , , , , , , , , , , , , , , , , , , , ,
