Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
72,107,Hf,0, ,9/2+, ,STABLE, , , , , , , , , , , , , , ,-0.6409, ,3.79, ,
72,107,Hf,122.7904,0.0024,11/2+, ,37,3,ps,0.000000000037,0.000000000003, , , , , , , , , , , , ,1.88, ,
72,107,Hf,214.3395,0.0022,7/2-, ,1.85,4,ns,0.00000000185,0.00000000004, , , , , , , , , , , , , , ,
72,107,Hf,268.92,0.06,13/2+, ,21,3,ps,0.000000000021,0.000000000003, , , , , , , , , , , , , , ,
72,107,Hf,337.7178,0.0023,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,375.0352,0.0025,1/2-, ,18.67,4,s,18.67,0.04,IT,100, , , , , , , , , , , , ,
72,107,Hf,420.8943,0.0025,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,438.68,0.08,15/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,476.3341,0.0025,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,487.709,0.005,(11/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,518.3279,0.0024,5/2-,LT,0.2, ,ns,0.0000000002, , , , , , , , , , , , , , , ,
72,107,Hf,582.23,0.003,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,614.204,0.003,1/2-, ,0.50,15,ns,0.0000000005,0.00000000015, , , , , , , , , , , , , , ,
72,107,Hf,616.7562,0.0025,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,631.3,0.1,17/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,664.3,0.7,(13/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,679.516,0.003,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,681.036,0.003,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,701.0552,0.0025,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,720.613,0.003,3/2-,LE,0.3, ,ns,0.0000000003, , , , , , , , , , , , , , , ,
72,107,Hf,732.2,0.6, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,742.71,0.003,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,788.185,0.003,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,842.9,1,11/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,848.37,0.12,19/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,849.2,0.003,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,865.9,1,(15/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,870.222,0.008,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,889.1,1, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,896.7,0.7,11/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,912,1,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,935.643,0.003,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,958.6,1.4, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,985.7,1,13/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,992,1.5,(9/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1003.65,0.004,5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1024,1.7, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1030.8,0.6,9/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1073.565,0.013,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1074.7,1,(5/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1076.6,0.8,13/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1078.349,0.01,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1080.4,1.3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1084.73,0.15,21/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1087.8,0.8, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1092.7,1.3,(17/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1105.74,0.16,25/2-, ,25.05,25,d,2164320,21600,IT,100, , , , , , , , ,7.4, , , ,
72,107,Hf,1105.92,0.09,(7/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1120.816,0.019,9/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1138.8,0.6, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1150.411,0.005,1/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1162.4,0.7, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1168.95,0.03,(9/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1176.2,0.9,(9/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1185.848,0.005,3/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1196.2,1.5,15/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1198.4,1.3,(7/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1199.52,0.14,(7/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1235.44,0.004,5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1249.552,0.006,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1255.8,1,11/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1269.445,0.006,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1282.5,0.9,(11/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1283.7,1,15/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1296.64,0.12,(3/2- 5/2 7/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1309.8,0.6,(17/2+), ,3,1,ns,0.000000003,0.000000001, , , , , , , , , , , , , , ,
72,107,Hf,1313.5,0.013,5/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1343.8,1.5,(19/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1344.6,0.6,+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1348.6,1.3,(9/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1350.7,0.7,23/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1359,0.5,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1372.3,0.7,(17/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1375,2,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1381.9,1.5,17/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1386.5,0.6, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1393,0.8,(27/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1404.5,1.1,(23/2+), ,4,1,ns,0.000000004,0.000000001, , , , , , , , , , , , , , ,
72,107,Hf,1404.5,1.1,(21/2+), ,14,2,ns,0.000000014,0.000000002, , , , , , , , , , , , , , ,
72,107,Hf,1405.2,0.6,(7/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1428.6,0.5,(7/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1433.189,0.011,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1436.353,0.006,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1437,5,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1453.1,0.7, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1458.994,0.009,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1482.031,0.005,3/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1491,0.7,(17/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1498,2,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1509.2,0.8, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1520.6,1,(19/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1529,3,7/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1530.2,0.5,1/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1532.277,0.005,5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1534.6,0.5,(5/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1557.4,0.5,1/2 3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1570.1,0.7,(9/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1572.56,0.03,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1580.5,0.5, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1582.4,0.5, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1586,0.6, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1598.4,0.6, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1602.3,0.9, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1614.125,0.013,3/2- 1/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1617.7,1.6,(21/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1624.3,0.8,25/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1638.7,0.6,LE 7/2, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1658.4,0.5,(1/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1665.7,0.5,1/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1668.957,0.006,3/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1672,5,(11/2+ 13/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1675.3,1.2,(19/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1679.5,0.8,(23/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1687.13,0.04,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1687.8,1,(19/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1689,3,11/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1698.6,0.6, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1702.5,0.8,(29/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1706.062,0.01,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1713,1.3,(25/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1715.935,0.005,1/2+ 3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1725.786,0.012,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1731.438,0.011,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1748,5,11/2+ 13/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1753.1,1,(21/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1755.337,0.017,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1756.02,0.08,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1757.72,0.11,(3/2- 5/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1762.8,0.04,(3/2)-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1771,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1783.11,0.12,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1796.5,0.4,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1800.52,0.07,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1811.5,0.07,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1816,4, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1821.29,0.07,(1/2- 3/2), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1826.9,1,(21/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1829,5, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1839,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1846.32,0.15,(3/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1851.504,0.012,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1856,1.8,21/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1859.2,1.2,(21/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1861.238,0.007,5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1877,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1884,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1893.9,0.5,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1899.66,0.24,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1904,3,(5/2- 7/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1913.471,0.013,3/2-, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1915,1.8,(23/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1928.846,0.009,1/2+ 3/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1941.6,1,27/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1945.864,0.014,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1956.1,1.3,(21/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1957.58,0.09,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1965,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1974.1,0.8,(25/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1977,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,1987,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2007.2,1.2,(23/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2009,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2011,5,(13/2)+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2021,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2032,3, , , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2033.6,1,(31/2-), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2044.1,1.3,(27/2+), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2047,0.3,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2052.6,1.5,1/2 3/2 5/2+, , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2070.7,1.5,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
72,107,Hf,2082.8,1.5,(1/2 3/2), , , , , , , , , , , , , , , , , , , , ,
