Z,N,symbol,energy , unc, jp,half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quadrupole , unc
77,116,Ir,0, ,3/2+, ,STABLE, , , , , , , , , , , , , , ,0.1637, ,0.751, ,
77,116,Ir,73.041,0.005,1/2+, ,6.09,15,ns,0.00000000609,0.00000000015, , , , , , , , , , ,0.519, , , ,
77,116,Ir,80.238,0.006,11/2-, ,10.53,4,d,909792,3456,IT,100, , , , , , , , , , , , ,
77,116,Ir,138.941,0.005,5/2+, ,69.7,10,ps,0.0000000000697,0.000000000001, , , , , , , , , , ,0.89, , , ,
77,116,Ir,180.069,0.004,3/2+, ,44,15,ps,0.000000000044,0.000000000015, , , , , , , , , , ,1.1, , , ,
77,116,Ir,299.396,0.007,7/2-, ,0.19,3,ns,0.00000000019,0.00000000003, , , , , , , , , , , , , , ,
77,116,Ir,357.768,0.005,7/2+, ,18.7,7,ps,0.0000000000187,0.0000000000007, , , , , , , , , , ,1.54, , , ,
77,116,Ir,361.857,0.005,5/2+, ,27,3,ps,0.000000000027,0.000000000003, , , , , , , , , , , , , , ,
77,116,Ir,460.538,0.004,3/2+, ,13.4,10,ps,0.0000000000134,0.000000000001, , , , , , , , , , , , , , ,
77,116,Ir,469.384,0.011,(13/2-), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,478.988,0.014,(15/2-), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,516.414,0.006,(7/2)+, , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,521.926,0.006,(9/2)+, ,13.2,19,ps,0.0000000000132,0.0000000000019, , , , , , , , , , ,2.2, , , ,
77,116,Ir,557.413,0.006,(1/2)+, ,34,8,ps,0.000000000034,0.000000000008, , , , , , , , , , , , , , ,
77,116,Ir,559.298,0.005,5/2+, ,1.08,16,ps,0.00000000000108,0.00000000000016, , , , , , , , , , , , , , ,
77,116,Ir,563.402,0.007,(9/2-), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,598.22,0.006,3/2-, ,2.8,+28-9,ps,0.0000000000028, , , , , , , , , , , , , , , ,
77,116,Ir,620.991,0.007,7/2+, ,4.3,3,ps,0.0000000000043,0.0000000000003, , , , , , , , , , ,1.16, , , ,
77,116,Ir,695.142,0.005,5/2+, , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,712.18,0.005,3/2+, ,15,14,ps,0.000000000015,0.000000000014, , , , , , , , , , , , , , ,
77,116,Ir,740.38,0.006,5/2-, , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,806.902,0.008,(5/2)+, , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,828.92,0.09,(9/2-), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,832.893,0.01,(11/2-), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,838.918,0.008,(9/2+), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,848.967,0.013,3/2(+) 5/2(+), , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,857.027,0.007,(11/2)+, ,4.2,4,ps,0.0000000000042,0.0000000000004, , , , , , , , , , ,2.7, , , ,
77,116,Ir,874.29,0.008,3/2+ 5/2+, , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,879.49,0.17, , , , , , , , , , , , , , , , , , , , , ,
77,116,Ir,882.19,0.07, , , , , , , , , , , , , , , , , , , , , ,
